TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1662861631,9/11/2022 2:00:31 AM,82.58,111.2,42,950.1,5.04,67,0,
1662861691,9/11/2022 2:01:31 AM,82.76,111.02,42,950.1,5.76,339,0,
1662861752,9/11/2022 2:02:32 AM,82.76,111.02,41,950.1,6.84,81,0,
1662861812,9/11/2022 2:03:32 AM,82.58,111.38,41,950.1,6.12,13,0,
1662861872,9/11/2022 2:04:32 AM,82.22,110.84,42,950.1,6.48,278,0,
1662861932,9/11/2022 2:05:32 AM,82.4,110.66,41,950,3.96,19,0,
1662861992,9/11/2022 2:06:32 AM,82.22,110.66,42,950.1,5.76,317,0.1,
1662862052,9/11/2022 2:07:32 AM,82.22,111.74,42,950.1,4.32,357,0.06,
1662862112,9/11/2022 2:08:32 AM,82.22,111.74,42,950,3.6,91,0.06,
1662862172,9/11/2022 2:09:32 AM,82.4,112.1,42,950,6.12,327,0,
1662862232,9/11/2022 2:10:32 AM,82.4,112.1,42,949.9,6.48,359,0,
1662862292,9/11/2022 2:11:32 AM,82.22,112.1,42,950,6.48,260,0,
1662862352,9/11/2022 2:12:32 AM,81.86,112.1,42,949.8,7.56,321,0,
1662862413,9/11/2022 2:13:33 AM,82.22,113.0,42,949.9,2.16,348,0,
1662862473,9/11/2022 2:14:33 AM,82.04,113.0,43,949.9,5.76,319,0,
1662862533,9/11/2022 2:15:33 AM,82.04,113.0,43,949.9,5.04,270,0,
1662862593,9/11/2022 2:16:33 AM,81.86,112.64,43,950,6.12,278,0,
1662862653,9/11/2022 2:17:33 AM,81.5,111.2,43,949.9,3.24,251,0,
1662862713,9/11/2022 2:18:33 AM,81.86,111.2,43,949.9,5.76,293,0,
1662862773,9/11/2022 2:19:33 AM,82.22,111.2,43,949.9,2.52,64,0,
1662862833,9/11/2022 2:20:33 AM,82.76,114.44,43,949.9,4.68,147,0,
1662862893,9/11/2022 2:21:33 AM,82.76,114.98,42,949.9,2.52,306,0,
1662862953,9/11/2022 2:22:33 AM,82.94,115.16,42,949.9,6.84,69,0,
1662863014,9/11/2022 2:23:34 AM,82.94,115.34,42,949.9,5.4,0,0,
1662863074,9/11/2022 2:24:34 AM,83.12,114.62,42,949.8,2.52,242,0,
1662863134,9/11/2022 2:25:34 AM,83.12,114.44,42,949.9,1.44,5,0,
1662863194,9/11/2022 2:26:34 AM,83.12,115.34,42,949.8,4.68,20,0,
1662863254,9/11/2022 2:27:34 AM,83.12,115.34,42,949.8,4.68,348,0,
1662863314,9/11/2022 2:28:34 AM,83.48,115.52,42,949.9,2.16,191,0,
1662863374,9/11/2022 2:29:34 AM,83.3,115.16,42,949.8,2.88,15,0,
