TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1668322852,11/13/2022 7:00:52 AM,31.23,-999,47.49,1017.77,4.56,203,0,
1668322912,11/13/2022 7:01:52 AM,31.45,-999,46.88,1017.77,6.01,206,0,
1668322972,11/13/2022 7:02:52 AM,31.79,-999,46.49,1017.77,9.79,184,0,
1668323032,11/13/2022 7:03:52 AM,31.84,-999,46.34,1017.73,17.38,158,0,
1668323092,11/13/2022 7:04:52 AM,31.86,-999,46.62,1017.71,15.65,207,0,
1668323152,11/13/2022 7:05:52 AM,31.89,-999,46.76,1017.7,8.81,186,0,
1668323212,11/13/2022 7:06:52 AM,31.67,-999,47.52,1017.68,16.37,163,0,
1668323272,11/13/2022 7:07:52 AM,31.69,-999,47.5,1017.68,3.9,173,0,
1668323332,11/13/2022 7:08:52 AM,31.62,-999,47.58,1017.68,18.89,153,0,
1668323392,11/13/2022 7:09:52 AM,31.76,-999,47.01,1017.67,10.95,163,0,
1668323452,11/13/2022 7:10:52 AM,31.53,-999,47.42,1017.64,21.16,168,0,
1668323512,11/13/2022 7:11:52 AM,31.56,-999,47.54,1017.59,7.91,165,0,
1668323572,11/13/2022 7:12:52 AM,31.6,-999,48.06,1017.56,13.64,199,0,
1668323632,11/13/2022 7:13:52 AM,31.84,-999,48.51,1017.52,22.26,205,0,
1668323692,11/13/2022 7:14:52 AM,31.8,-999,49.53,1017.51,9.59,192,0,
1668323752,11/13/2022 7:15:52 AM,31.65,-999,50.46,1017.5,5.1,177,0,
1668323812,11/13/2022 7:16:52 AM,31.64,-999,50.34,1017.49,8.83,166,0,
1668323872,11/13/2022 7:17:52 AM,31.76,-999,50.26,1017.49,14.47,198,0,
1668323932,11/13/2022 7:18:52 AM,32.08,-999,50,1017.49,11.23,207,0,
1668323992,11/13/2022 7:19:52 AM,32,-999,50.95,1017.47,2.4,184,0,
1668324052,11/13/2022 7:20:52 AM,32.19,-999,50.59,1017.47,15.41,175,0,
1668324112,11/13/2022 7:21:52 AM,32.38,-999,50.7,1017.45,11.69,194,0,
1668324173,11/13/2022 7:22:53 AM,32.34,-999,51.13,1017.42,21.6,199,0,
1668324233,11/13/2022 7:23:53 AM,32.28,-999,50.84,1017.37,14.21,167,0,
1668324293,11/13/2022 7:24:53 AM,32.23,-999,50.92,1017.36,10.8,175,0,
1668324353,11/13/2022 7:25:53 AM,32.1,-999,51.21,1017.33,13.7,197,0,
1668324413,11/13/2022 7:26:53 AM,31.91,-999,51.67,1017.28,10.87,185,0,
1668324473,11/13/2022 7:27:53 AM,32.03,-999,51.4,1017.27,9.02,164,0,
1668324533,11/13/2022 7:28:53 AM,32.2,-999,50.86,1017.27,15.31,192,0,
1668324593,11/13/2022 7:29:53 AM,32.41,-999,49.92,1017.26,11.68,199,0,
