NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
10,2,1,2:16.069,0,B,42.370,0,48.275,0,45.424,0,159.2,3:09.560,10:58:09.560,0:42.370,0:48.275,0:45.424,259.9,Matthias KAISER,0:00:24.327,LMP2,,Vector Sport,Oreca,GF,42.370,48.275,45.424,
10,2,2,2:02.784,0,,36.446,0,42.425,0,43.913,0,176.5,5:12.344,11:00:12.344,0:36.446,0:42.425,0:43.913,261.4,Matthias KAISER,,LMP2,,Vector Sport,Oreca,GF,36.446,42.425,43.913,
10,2,3,1:59.775,0,,36.910,0,41.287,0,41.578,0,180.9,7:12.119,11:02:12.119,0:36.910,0:41.287,0:41.578,240.2,Matthias KAISER,,LMP2,,Vector Sport,Oreca,GF,36.910,41.287,41.578,
10,2,4,1:54.197,0,,33.920,0,39.316,0,40.961,0,189.7,9:06.316,11:04:06.316,0:33.920,0:39.316,0:40.961,268.6,Matthias KAISER,,LMP2,,Vector Sport,Oreca,GF,33.920,39.316,40.961,
10,2,5,1:52.755,0,,33.456,0,39.414,0,39.885,0,192.2,10:59.071,11:05:59.071,0:33.456,0:39.414,0:39.885,268.1,Matthias KAISER,,LMP2,,Vector Sport,Oreca,GF,33.456,39.414,39.885,
10,2,6,1:54.273,0,,34.121,0,40.200,0,39.952,0,189.6,12:53.344,11:07:53.344,0:34.121,0:40.200,0:39.952,268.6,Matthias KAISER,,LMP2,,Vector Sport,Oreca,GF,34.121,40.200,39.952,
10,2,7,1:52.100,2,,33.433,0,39.002,1,39.665,2,193.3,14:45.444,11:09:45.444,0:33.433,0:39.002,0:39.665,268.6,Matthias KAISER,,LMP2,,Vector Sport,Oreca,GF,33.433,39.002,39.665,
10,2,8,1:53.778,0,,33.241,0,39.666,0,40.871,0,190.4,16:39.222,11:11:39.222,0:33.241,0:39.666,0:40.871,267.0,Matthias KAISER,,LMP2,,Vector Sport,Oreca,GF,33.241,39.666,40.871,
10,2,9,1:52.548,0,,33.179,1,39.133,0,40.236,0,192.5,18:31.770,11:13:31.770,0:33.179,0:39.133,0:40.236,268.6,Matthias KAISER,,LMP2,,Vector Sport,Oreca,GF,33.179,39.133,40.236,
10,1,10,4:24.707,0,B,34.338,0,39.791,0,3:10.578,0,81.9,22:56.477,11:17:56.477,0:34.338,0:39.791,3:10.578,207.4,Ryan CULLEN,0:02:33.249,LMP2,,Vector Sport,Oreca,GF,34.338,39.791,190.578,
10,1,11,1:56.698,0,,34.873,0,40.495,0,41.330,0,185.7,24:53.175,11:19:53.175,0:34.873,0:40.495,0:41.330,266.0,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,34.873,40.495,41.330,
10,1,12,1:54.268,0,,33.820,0,39.801,0,40.647,0,189.6,26:47.443,11:21:47.443,0:33.820,0:39.801,0:40.647,267.0,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,33.820,39.801,40.647,
10,1,13,1:53.542,0,,33.527,0,39.725,0,40.290,0,190.8,28:40.985,11:23:40.985,0:33.527,0:39.725,0:40.290,266.0,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,33.527,39.725,40.290,
10,1,14,1:52.989,0,,33.401,0,39.456,1,40.132,0,191.8,30:33.974,11:25:33.974,0:33.401,0:39.456,0:40.132,267.0,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,33.401,39.456,40.132,
10,1,15,1:53.379,0,,33.415,0,39.721,0,40.243,0,191.1,32:27.353,11:27:27.353,0:33.415,0:39.721,0:40.243,266.5,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,33.415,39.721,40.243,
10,1,16,1:53.884,0,,34.126,0,39.679,0,40.079,1,190.3,34:21.237,11:29:21.237,0:34.126,0:39.679,0:40.079,266.5,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,34.126,39.679,40.079,
10,1,17,1:53.637,0,,33.396,0,39.562,0,40.679,0,190.7,36:14.874,11:31:14.874,0:33.396,0:39.562,0:40.679,267.5,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,33.396,39.562,40.679,
10,1,18,1:54.255,0,,33.636,0,40.147,0,40.472,0,189.6,38:09.129,11:33:09.129,0:33.636,0:40.147,0:40.472,268.6,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,33.636,40.147,40.472,
10,1,19,1:54.033,0,,33.712,0,40.101,0,40.220,0,190.0,40:03.162,11:35:03.162,0:33.712,0:40.101,0:40.220,266.5,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,33.712,40.101,40.220,
10,3,20,3:24.716,0,B,33.298,0,39.739,0,2:11.679,0,105.8,43:27.878,11:38:27.878,0:33.298,0:39.739,2:11.679,208.6,Gabriel AUBRY,0:01:33.703,LMP2,,Vector Sport,Oreca,GF,33.298,39.739,131.679,
10,3,21,1:55.072,0,,34.923,0,39.793,0,40.356,0,188.3,45:22.950,11:40:22.950,0:34.923,0:39.793,0:40.356,267.5,Gabriel AUBRY,,LMP2,,Vector Sport,Oreca,GF,34.923,39.793,40.356,
10,3,22,1:53.082,0,,33.409,0,39.313,0,40.360,0,191.6,47:16.032,11:42:16.032,0:33.409,0:39.313,0:40.360,268.1,Gabriel AUBRY,,LMP2,,Vector Sport,Oreca,GF,33.409,39.313,40.360,
10,3,23,1:52.942,0,,33.402,0,39.273,0,40.267,0,191.9,49:08.974,11:44:08.974,0:33.402,0:39.273,0:40.267,267.5,Gabriel AUBRY,,LMP2,,Vector Sport,Oreca,GF,33.402,39.273,40.267,
10,3,24,1:52.473,0,,33.087,2,39.072,0,40.314,0,192.7,51:01.447,11:46:01.447,0:33.087,0:39.072,0:40.314,268.1,Gabriel AUBRY,,LMP2,,Vector Sport,Oreca,GF,33.087,39.072,40.314,
10,3,25,1:52.634,0,,33.234,0,39.108,0,40.292,0,192.4,52:54.081,11:47:54.081,0:33.234,0:39.108,0:40.292,267.0,Gabriel AUBRY,,LMP2,,Vector Sport,Oreca,GF,33.234,39.108,40.292,
