NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
11B,1,1,4:46.103,0,B,3:11.129,0,41.989,0,52.985,0,55.2,4:46.103,12:24:46.103,3:11.129,0:41.989,0:52.985,,Manuel GIÃO,0:02:19.549,PROAM,997.2,BigGeorge,,GF,191.129,41.989,52.985,
11B,1,2,3:31.084,0,,2:13.285,0,36.217,2,41.582,2,79.4,8:17.187,12:28:17.187,2:13.285,0:36.217,0:41.582,,Manuel GIÃO,0:01:43.645,PROAM,997.2,BigGeorge,,GF,133.285,36.217,41.582,
11B,1,3,2:09.238,0,B,35.252,2,36.620,0,57.366,0,129.6,10:26.425,12:30:26.425,0:35.252,0:36.620,0:57.366,257.8,Manuel GIÃO,,PROAM,997.2,BigGeorge,,RF,35.252,36.620,57.366,
35,1,1,6:18.341,0,,4:36.652,0,47.013,2,54.676,0,41.7,6:18.341,12:26:18.341,4:36.652,0:47.013,0:54.676,,Francisca QUEIROZ,0:03:46.586,AM,991.1,P21 Motorsport,,GF,276.652,47.013,54.676,
35,1,2,2:26.487,2,,46.177,2,49.258,0,51.052,2,114.4,8:44.828,12:28:44.828,0:46.177,0:49.258,0:51.052,216.4,Francisca QUEIROZ,,AM,991.1,P21 Motorsport,,GF,46.177,49.258,51.052,
35,1,3,2:41.597,0,B,45.989,0,47.930,0,1:07.678,0,103.7,11:26.425,12:31:26.425,0:45.989,0:47.930,1:07.678,197.8,Francisca QUEIROZ,,AM,991.1,P21 Motorsport,,RF,45.989,47.930,67.678,
36,1,1,5:34.636,0,,3:52.268,0,48.197,0,54.171,0,47.2,5:34.636,12:25:34.636,3:52.268,0:48.197,0:54.171,,Tiago GONÇALVES,0:02:51.925,AM,991.1,P21 Motorsport,,GF,232.268,48.197,54.171,
36,1,2,2:09.523,2,,41.250,0,40.117,2,48.156,2,129.3,7:44.159,12:27:44.159,0:41.250,0:40.117,0:48.156,184.0,Tiago GONÇALVES,,AM,991.1,P21 Motorsport,,GF,41.250,40.117,48.156,
36,1,3,2:26.197,0,B,39.184,2,44.917,0,1:02.096,0,114.6,10:10.356,12:30:10.356,0:39.184,0:44.917,1:02.096,226.4,Tiago GONÇALVES,,AM,991.1,P21 Motorsport,,RF,39.184,44.917,62.096,
44,1,1,4:53.304,0,,3:02.448,0,54.173,0,56.683,0,53.8,4:53.304,12:24:53.304,3:02.448,0:54.173,0:56.683,,Nuno INOCÊNCIO,0:02:08.744,AM,991.1,Nuno Inocêncio,,GF,182.448,54.173,56.683,
44,1,2,2:08.907,2,,41.568,0,39.770,0,47.569,2,129.9,7:02.211,12:27:02.211,0:41.568,0:39.770,0:47.569,242.2,Nuno INOCÊNCIO,,AM,991.1,Nuno Inocêncio,,GF,41.568,39.770,47.569,
44,1,3,2:15.241,0,B,38.545,2,38.601,2,58.095,0,123.9,9:17.452,12:29:17.452,0:38.545,0:38.601,0:58.095,231.8,Nuno INOCÊNCIO,,AM,991.1,Nuno Inocêncio,,RF,38.545,38.601,58.095,
62,1,1,2:41.856,0,,1:18.709,0,39.345,0,43.802,0,97.5,2:41.856,12:22:41.856,1:18.709,0:39.345,0:43.802,,Francisco MORA,0:00:33.739,PROAM,991.2,Veloso Motorsport,,GF,78.709,39.345,43.802,
62,1,2,1:50.794,0,,35.144,0,35.360,0,40.290,0,151.2,4:32.650,12:24:32.650,0:35.144,0:35.360,0:40.290,262.1,Francisco MORA,,PROAM,991.2,Veloso Motorsport,,GF,35.144,35.360,40.290,
62,1,3,1:49.064,0,,34.113,2,34.039,3,40.912,0,153.6,6:21.714,12:26:21.714,0:34.113,0:34.039,0:40.912,262.8,Francisco MORA,,PROAM,991.2,Veloso Motorsport,,GF,34.113,34.039,40.912,
62,1,4,1:48.808,3,,34.320,0,34.210,0,40.278,2,153.9,8:10.522,12:28:10.522,0:34.320,0:34.210,0:40.278,263.4,Francisco MORA,,PROAM,991.2,Veloso Motorsport,,GF,34.320,34.210,40.278,
