NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
2,1,1,4:04.857,0,B,1:06.076,0,1:24.488,0,1:34.293,0,101.2,4:04.857,18:04:04.857,1:06.076,1:24.488,1:34.293,137.0,Earl BAMBER,0:00:14.991,HYPERCAR,H,Cadillac Racing,Cadillac,RF,66.076,84.488,94.293,
2,1,2,9:53.879,0,,8:05.045,0,1:12.418,0,36.416,0,42.5,13:58.736,18:13:58.736,8:05.045,1:12.418,0:36.416,176.8,Earl BAMBER,0:07:29.054,HYPERCAR,H,Cadillac Racing,Cadillac,GF,485.045,72.418,36.416,
2,1,3,2:26.800,0,,40.400,0,1:04.386,0,42.014,0,171.8,16:25.536,18:16:25.536,0:40.400,1:04.386,0:42.014,252.0,Earl BAMBER,,HYPERCAR,H,Cadillac Racing,Cadillac,GF,40.400,64.386,42.014,
2,1,4,2:11.602,0,,39.329,0,59.914,0,32.359,0,191.6,18:37.138,18:18:37.138,0:39.329,0:59.914,0:32.359,281.5,Earl BAMBER,,HYPERCAR,H,Cadillac Racing,Cadillac,GF,39.329,59.914,32.359,
2,1,5,2:01.114,0,,34.160,2,55.930,0,31.024,2,208.2,20:38.252,18:20:38.252,0:34.160,0:55.930,0:31.024,315.9,Earl BAMBER,,HYPERCAR,H,Cadillac Racing,Cadillac,GF,34.160,55.930,31.024,
2,1,6,2:01.043,2,,34.271,0,55.595,3,31.177,0,208.3,22:39.295,18:22:39.295,0:34.271,0:55.595,0:31.177,315.9,Earl BAMBER,,HYPERCAR,H,Cadillac Racing,Cadillac,GF,34.271,55.595,31.177,
2,1,7,2:15.284,0,B,34.402,0,59.980,0,40.902,0,186.4,24:54.579,18:24:54.579,0:34.402,0:59.980,0:40.902,315.9,Earl BAMBER,,HYPERCAR,H,Cadillac Racing,Cadillac,FF,34.402,59.980,40.902,
3,1,1,14:05.343,0,,12:01.894,0,1:21.830,0,41.619,0,29.3,14:05.343,18:14:05.343,12:01.894,1:21.830,0:41.619,171.5,Sébastien BOURDAIS,0:11:17.049,HYPERCAR,H,Cadillac Racing,Cadillac,GF,721.894,81.830,41.619,
3,1,2,2:28.412,0,,42.760,0,1:05.878,0,39.774,0,169.9,16:33.755,18:16:33.755,0:42.760,1:05.878,0:39.774,218.9,Sébastien BOURDAIS,,HYPERCAR,H,Cadillac Racing,Cadillac,GF,42.760,65.878,39.774,
3,1,3,2:11.332,0,,39.023,0,1:00.153,0,32.156,0,192.0,18:45.087,18:18:45.087,0:39.023,1:00.153,0:32.156,268.9,Sébastien BOURDAIS,,HYPERCAR,H,Cadillac Racing,Cadillac,GF,39.023,60.153,32.156,
3,1,4,2:02.138,2,,34.743,0,56.264,2,31.131,2,206.4,20:47.225,18:20:47.225,0:34.743,0:56.264,0:31.131,310.5,Sébastien BOURDAIS,,HYPERCAR,H,Cadillac Racing,Cadillac,GF,34.743,56.264,31.131,
3,1,5,2:05.415,0,,34.304,0,59.101,0,32.010,0,201.0,22:52.640,18:22:52.640,0:34.304,0:59.101,0:32.010,314.1,Sébastien BOURDAIS,,HYPERCAR,H,Cadillac Racing,Cadillac,GF,34.304,59.101,32.010,
3,1,6,2:14.375,0,B,34.277,2,56.559,0,43.539,0,187.6,25:07.015,18:25:07.015,0:34.277,0:56.559,0:43.539,315.0,Sébastien BOURDAIS,,HYPERCAR,H,Cadillac Racing,Cadillac,FF,34.277,56.559,43.539,
38,2,1,3:48.469,0,B,1:01.525,0,1:15.274,0,1:31.670,0,108.4,3:48.469,18:03:48.469,1:01.525,1:15.274,1:31.670,192.8,William STEVENS,0:00:19.957,HYPERCAR,H,Hertz Team JOTA,Porsche,RF,61.525,75.274,91.670,
38,2,2,10:18.040,0,,8:29.287,0,1:10.745,0,38.008,0,40.8,14:06.509,18:14:06.509,8:29.287,1:10.745,0:38.008,173.9,William STEVENS,0:07:51.797,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,509.287,70.745,38.008,
38,2,3,2:23.020,0,,37.955,0,1:02.511,0,42.554,0,176.3,16:29.529,18:16:29.529,0:37.955,1:02.511,0:42.554,264.9,William STEVENS,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,37.955,62.511,42.554,
38,2,4,2:12.152,0,,36.818,0,59.829,0,35.505,0,190.8,18:41.681,18:18:41.681,0:36.818,0:59.829,0:35.505,268.2,William STEVENS,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,36.818,59.829,35.505,
38,2,5,2:03.157,0,,34.642,0,56.811,0,31.704,0,204.7,20:44.838,18:20:44.838,0:34.642,0:56.811,0:31.704,303.5,William STEVENS,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,34.642,56.811,31.704,
38,2,6,2:02.907,2,,34.559,2,56.665,2,31.683,2,205.1,22:47.745,18:22:47.745,0:34.559,0:56.665,0:31.683,312.3,William STEVENS,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,34.559,56.665,31.683,
38,2,7,2:12.964,0,B,34.629,0,57.064,0,41.271,0,189.6,25:00.709,18:25:00.709,0:34.629,0:57.064,0:41.271,311.4,William STEVENS,,HYPERCAR,H,Hertz Team JOTA,Porsche,FF,34.629,57.064,41.271,
