TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1686405606,6/10/2023 2:00:06 PM,77.18,81.5,57,1005.7,2.16,238,0,
1686405666,6/10/2023 2:01:06 PM,77.18,81.5,57,1005.6,9,212,0,
1686405726,6/10/2023 2:02:06 PM,77.18,81.5,57,1005.7,7.2,215,0,
1686405786,6/10/2023 2:03:06 PM,77.9,81.5,56,1005.6,7.56,307,0,
1686405846,6/10/2023 2:04:06 PM,77.72,81.5,55,1005.6,2.88,193,0,
1686405906,6/10/2023 2:05:06 PM,77.54,80.24,56,1005.7,3.96,235,0,
1686405966,6/10/2023 2:06:06 PM,77.36,79.52,57,1005.6,4.32,226,0,
1686406026,6/10/2023 2:07:06 PM,77.36,79.52,57,1005.6,2.88,0,0,
1686406086,6/10/2023 2:08:06 PM,77.36,80.78,56,1005.6,5.76,335,0,
1686406147,6/10/2023 2:09:07 PM,77.18,80.78,57,1005.6,2.16,285,0,
1686406207,6/10/2023 2:10:07 PM,77.0,79.34,57,1005.6,3.6,44,0,
1686406267,6/10/2023 2:11:07 PM,77.0,79.34,57,1005.6,5.76,19,0,
1686406327,6/10/2023 2:12:07 PM,77.0,79.34,57,1005.6,3.6,62,0,
1686406387,6/10/2023 2:13:07 PM,77.0,80.24,57,1005.7,3.24,32,0,
1686406447,6/10/2023 2:14:07 PM,77.18,79.88,56,1005.6,2.16,55,0,
1686406507,6/10/2023 2:15:07 PM,77.36,80.42,56,1005.6,1.44,11,0,
1686406567,6/10/2023 2:16:07 PM,77.36,79.88,56,1005.6,4.68,54,0,
1686406627,6/10/2023 2:17:07 PM,77.36,79.88,56,1005.6,2.52,27,0,
1686406687,6/10/2023 2:18:07 PM,77.54,79.88,56,1005.5,3.6,22,0,
1686406747,6/10/2023 2:19:07 PM,77.54,79.7,56,1005.6,3.6,5,0,
1686406808,6/10/2023 2:20:08 PM,77.72,79.88,56,1005.6,1.8,220,0,
1686406868,6/10/2023 2:21:08 PM,77.72,80.78,55,1005.6,4.32,43,0,
1686406928,6/10/2023 2:22:08 PM,77.72,80.78,55,1005.5,4.68,60,0,
1686406988,6/10/2023 2:23:08 PM,77.72,81.32,55,1005.5,2.52,262,0,
1686407048,6/10/2023 2:24:08 PM,77.9,81.86,55,1005.7,4.32,225,0,
1686407108,6/10/2023 2:25:08 PM,78.08,84.02,54,1005.6,4.32,150,0,
1686407168,6/10/2023 2:26:08 PM,78.08,84.02,53,1005.6,5.04,232,0,
1686407228,6/10/2023 2:27:08 PM,78.08,87.08,54,1005.6,3.6,179,0,
1686407288,6/10/2023 2:28:08 PM,78.26,87.26,53,1005.6,4.68,131,0,
1686407348,6/10/2023 2:29:08 PM,78.44,88.88,52,1005.6,4.32,5,0,
1686407409,6/10/2023 2:30:09 PM,78.62,87.26,52,1005.6,4.32,68,0,
1686407469,6/10/2023 2:31:09 PM,78.62,87.62,53,1005.6,5.04,131,0,
1686407529,6/10/2023 2:32:09 PM,78.8,88.16,53,1005.6,4.68,221,0,
1686407589,6/10/2023 2:33:09 PM,78.62,88.7,54,1005.6,7.2,172,0,
1686407649,6/10/2023 2:34:09 PM,78.8,88.88,54,1005.6,3.6,166,0,
1686407709,6/10/2023 2:35:09 PM,78.62,88.7,53,1005.7,5.04,31,0,
1686407769,6/10/2023 2:36:09 PM,78.62,87.8,53,1005.6,2.52,302,0,
1686407829,6/10/2023 2:37:09 PM,78.8,87.26,53,1005.5,1.8,0,0,
1686407889,6/10/2023 2:38:09 PM,78.98,89.6,54,1005.6,1.8,349,0,
1686407949,6/10/2023 2:39:09 PM,78.98,89.78,53,1005.5,3.24,106,0,
1686408009,6/10/2023 2:40:09 PM,78.8,89.6,54,1005.5,3.96,115,0,
1686408070,6/10/2023 2:41:10 PM,78.62,87.62,54,1005.6,3.6,186,0,
1686408130,6/10/2023 2:42:10 PM,78.62,87.62,54,1005.6,3.6,215,0,
1686408190,6/10/2023 2:43:10 PM,78.62,86.36,54,1005.5,3.96,155,0,
1686408250,6/10/2023 2:44:10 PM,78.8,86.72,53,1005.6,4.68,175,0,
1686408310,6/10/2023 2:45:10 PM,78.62,87.8,54,1005.6,4.32,9,0,
1686408370,6/10/2023 2:46:10 PM,78.44,87.8,53,1005.6,6.84,203,0,
1686408430,6/10/2023 2:47:10 PM,78.62,87.8,53,1005.6,4.32,34,0,
1686408490,6/10/2023 2:48:10 PM,78.62,87.26,53,1005.6,3.24,176,0,
1686408550,6/10/2023 2:49:10 PM,78.44,86.72,53,1005.6,4.68,156,0,
1686408610,6/10/2023 2:50:10 PM,78.26,86.72,53,1005.7,6.12,127,0,
1686408670,6/10/2023 2:51:10 PM,78.26,87.62,53,1005.6,5.76,137,0,
1686408731,6/10/2023 2:52:11 PM,78.26,88.52,54,1005.6,2.88,257,0,
1686408791,6/10/2023 2:53:11 PM,78.44,88.52,54,1005.6,5.76,127,0,
1686408851,6/10/2023 2:54:11 PM,78.62,89.06,53,1005.7,3.24,195,0,
1686408911,6/10/2023 2:55:11 PM,78.8,90.5,54,1005.6,3.24,209,0,
1686408971,6/10/2023 2:56:11 PM,78.98,89.96,52,1005.6,7.56,218,0,
1686409031,6/10/2023 2:57:11 PM,78.98,90.86,53,1005.6,7.56,143,0,
1686409091,6/10/2023 2:58:11 PM,79.16,91.4,52,1005.6,5.76,192,0,
1686409151,6/10/2023 2:59:11 PM,78.8,91.4,53,1005.6,6.48,100,0,
1686409211,6/10/2023 3:00:11 PM,78.8,91.22,53,1005.7,6.48,165,0,
1686409271,6/10/2023 3:01:11 PM,78.98,91.22,52,1005.7,4.32,180,0,
1686409331,6/10/2023 3:02:11 PM,78.98,92.3,52,1005.7,3.6,194,0,
1686409392,6/10/2023 3:03:12 PM,79.16,92.66,52,1005.8,2.52,187,0,
1686409452,6/10/2023 3:04:12 PM,79.34,92.84,52,1005.7,5.76,84,0,
1686409512,6/10/2023 3:05:12 PM,79.34,93.02,51,1005.7,4.68,128,0,
1686409572,6/10/2023 3:06:12 PM,79.16,92.84,52,1005.8,6.12,225,0,
1686409632,6/10/2023 3:07:12 PM,78.98,92.48,51,1005.7,4.68,191,0,
1686409692,6/10/2023 3:08:12 PM,78.8,92.84,51,1005.7,5.4,0,0,
1686409752,6/10/2023 3:09:12 PM,78.8,93.02,52,1005.7,2.16,295,0,
1686409812,6/10/2023 3:10:12 PM,78.98,93.02,53,1005.7,2.52,86,0,
1686409872,6/10/2023 3:11:12 PM,79.16,93.02,52,1005.6,6.12,228,0,
1686409932,6/10/2023 3:12:12 PM,79.16,94.28,52,1005.7,6.48,210,0,
1686409993,6/10/2023 3:13:13 PM,78.98,93.02,52,1005.7,4.32,195,0,
1686410053,6/10/2023 3:14:13 PM,79.16,92.66,52,1005.6,3.6,154,0,
1686410113,6/10/2023 3:15:13 PM,79.16,92.48,51,1005.6,5.76,124,0,
1686410173,6/10/2023 3:16:13 PM,78.98,92.48,52,1005.7,3.96,129,0,
1686410233,6/10/2023 3:17:13 PM,78.98,90.32,52,1005.6,4.68,102,0,
1686410293,6/10/2023 3:18:13 PM,78.8,89.96,52,1005.7,3.24,284,0,
1686410353,6/10/2023 3:19:13 PM,78.8,91.22,53,1005.7,5.76,115,0,
1686410413,6/10/2023 3:20:13 PM,78.8,91.4,53,1005.8,2.52,158,0,
1686410473,6/10/2023 3:21:13 PM,78.8,92.48,52,1005.6,5.04,211,0,
1686410533,6/10/2023 3:22:13 PM,78.98,92.84,52,1005.6,2.88,196,0,
1686410593,6/10/2023 3:23:13 PM,78.98,94.1,52,1005.6,6.12,147,0,
1686410654,6/10/2023 3:24:14 PM,79.34,94.64,52,1005.6,4.32,0,0,
1686410714,6/10/2023 3:25:14 PM,79.52,95.0,51,1005.5,3.6,229,0,
1686410774,6/10/2023 3:26:14 PM,79.52,95.36,50,1005.5,7.2,226,0,
1686410834,6/10/2023 3:27:14 PM,79.52,95.36,51,1005.5,6.12,185,0,
1686410894,6/10/2023 3:28:14 PM,79.34,95.72,51,1005.6,3.96,132,0,
1686410954,6/10/2023 3:29:14 PM,79.34,95.72,51,1005.5,4.32,199,0,
1686411014,6/10/2023 3:30:14 PM,79.52,95.9,51,1005.7,5.04,115,0,
1686411074,6/10/2023 3:31:14 PM,79.7,96.08,50,1005.6,4.68,190,0,
1686411134,6/10/2023 3:32:14 PM,79.7,96.08,50,1005.6,3.96,173,0,
1686411194,6/10/2023 3:33:14 PM,79.52,95.9,50,1005.6,5.04,240,0,
1686411254,6/10/2023 3:34:14 PM,79.52,95.54,51,1005.7,5.04,155,0,
1686411315,6/10/2023 3:35:15 PM,79.34,96.08,51,1005.6,4.32,174,0,
1686411375,6/10/2023 3:36:15 PM,79.52,96.44,50,1005.7,5.76,217,0,
1686411435,6/10/2023 3:37:15 PM,79.52,96.44,50,1005.6,4.68,52,0,
1686411495,6/10/2023 3:38:15 PM,79.34,96.44,51,1005.8,2.52,29,0,
1686411555,6/10/2023 3:39:15 PM,78.98,96.08,51,1005.6,5.04,62,0,
1686411615,6/10/2023 3:40:15 PM,78.98,95.72,51,1005.7,3.96,25,0,
