NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
100,1,1,2:56.732,0,,1:13.942,0,51.963,0,50.827,0,111.7,2:56.732,13:17:56.732,1:13.942,0:51.963,0:50.827,106.8,Mathias Körber,0:00:21.972,G2 TC 2000,,OKP Alfa Delta Racing Team,,GF,73.942,51.963,50.827,
100,1,2,2:25.126,0,,45.409,0,49.443,0,50.274,0,143.7,5:21.858,13:20:21.858,0:45.409,0:49.443,0:50.274,190.5,Mathias Körber,,G2 TC 2000,,OKP Alfa Delta Racing Team,,GF,45.409,49.443,50.274,
100,1,3,2:20.448,2,,44.518,2,47.263,2,48.667,2,148.5,7:42.306,13:22:42.306,0:44.518,0:47.263,0:48.667,203.0,Mathias Körber,,G2 TC 2000,,OKP Alfa Delta Racing Team,,GF,44.518,47.263,48.667,
100,1,4,2:42.528,0,B,48.517,0,51.723,0,1:02.288,0,128.3,10:24.834,13:25:24.834,0:48.517,0:51.723,1:02.288,182.7,Mathias Körber,,G2 TC 2000,,OKP Alfa Delta Racing Team,,GF,48.517,51.723,62.288,
100,1,5,4:17.755,0,,2:34.101,0,51.762,0,51.892,0,80.9,14:42.589,13:29:42.589,2:34.101,0:51.762,0:51.892,149.0,Mathias Körber,0:01:54.974,G2 TC 2000,,OKP Alfa Delta Racing Team,,GF,154.101,51.762,51.892,
100,1,6,2:24.300,0,,45.123,0,49.131,0,50.046,0,144.5,17:06.889,13:32:06.889,0:45.123,0:49.131,0:50.046,180.3,Mathias Körber,,G2 TC 2000,,OKP Alfa Delta Racing Team,,GF,45.123,49.131,50.046,
100,1,7,2:20.982,0,,44.721,0,47.338,0,48.923,0,147.9,19:27.871,13:34:27.871,0:44.721,0:47.338,0:48.923,194.6,Mathias Körber,,G2 TC 2000,,OKP Alfa Delta Racing Team,,GF,44.721,47.338,48.923,
100,1,8,2:20.989,0,,44.530,0,47.497,0,48.962,0,147.9,21:48.860,13:36:48.860,0:44.530,0:47.497,0:48.962,201.9,Mathias Körber,,G2 TC 2000,,OKP Alfa Delta Racing Team,,GF,44.530,47.497,48.962,
100,1,9,2:22.100,0,,45.477,0,47.533,0,49.090,0,146.8,24:10.960,13:39:10.960,0:45.477,0:47.533,0:49.090,197.1,Mathias Körber,,G2 TC 2000,,OKP Alfa Delta Racing Team,,GF,45.477,47.533,49.090,
100,1,10,3:35.913,0,B,1:03.044,0,1:09.524,0,1:23.345,0,96.6,27:46.873,13:42:46.873,1:03.044,1:09.524,1:23.345,99.5,Mathias Körber,,G2 TC 2000,,OKP Alfa Delta Racing Team,,RF,63.044,69.524,83.345,
101,1,1,3:10.952,0,,1:07.004,0,1:04.382,0,59.566,0,103.4,3:10.952,13:18:10.952,1:07.004,1:04.382,0:59.566,120.4,Ciprian Nistorica,,F GTS 1600,,Alficina,,GF,67.004,64.382,59.566,
101,1,2,2:55.548,0,,56.967,0,58.981,0,59.600,0,118.8,6:06.500,13:21:06.500,0:56.967,0:58.981,0:59.600,174.8,Ciprian Nistorica,,F GTS 1600,,Alficina,,GF,56.967,58.981,59.600,
101,1,3,2:54.084,0,,55.789,0,58.608,0,59.687,0,119.8,9:00.584,13:24:00.584,0:55.789,0:58.608,0:59.687,173.1,Ciprian Nistorica,,F GTS 1600,,Alficina,,GF,55.789,58.608,59.687,
101,1,4,3:04.298,0,B,56.094,0,59.541,0,1:08.663,0,113.2,12:04.882,13:27:04.882,0:56.094,0:59.541,1:08.663,164.6,Ciprian Nistorica,,F GTS 1600,,Alficina,,GF,56.094,59.541,68.663,
101,1,5,4:10.565,0,,2:14.117,0,57.639,0,58.809,0,83.2,16:15.447,13:31:15.447,2:14.117,0:57.639,0:58.809,127.2,Ciprian Nistorica,,F GTS 1600,,Alficina,,GF,134.117,57.639,58.809,
101,1,6,2:46.881,0,,53.436,0,55.863,0,57.582,0,125.0,19:02.328,13:34:02.328,0:53.436,0:55.863,0:57.582,159.1,Ciprian Nistorica,,F GTS 1600,,Alficina,,GF,53.436,55.863,57.582,
101,1,7,2:44.189,2,,52.933,0,55.002,0,56.254,2,127.0,21:46.517,13:36:46.517,0:52.933,0:55.002,0:56.254,165.1,Ciprian Nistorica,,F GTS 1600,,Alficina,,GF,52.933,55.002,56.254,
101,1,8,2:41.933,0,,52.289,2,54.063,2,55.581,0,128.8,24:28.450,13:39:28.450,0:52.289,0:54.063,0:55.581,175.3,Ciprian Nistorica,,F GTS 1600,,Alficina,,RF,52.289,54.063,55.581,
101,1,9,3:40.171,0,B,1:03.617,0,1:10.913,0,1:25.641,0,94.7,28:08.621,13:43:08.621,1:03.617,1:10.913,1:25.641,116.5,Ciprian Nistorica,,F GTS 1600,,Alficina,,RF,63.617,70.913,85.641,
