TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1688810751,7/8/2023 10:05:51 AM,28.8,43.5,43,1000.5,3.24,100,0,
1688810811,7/8/2023 10:06:51 AM,28.9,43.5,43,1000.6,2.88,149,0,
1688810871,7/8/2023 10:07:51 AM,28.7,43,43,1000.6,2.88,245,0,
1688810931,7/8/2023 10:08:51 AM,28.6,43,44,1000.6,2.16,192,0,
1688810992,7/8/2023 10:09:52 AM,28.7,44.2,44,1000.5,3.96,203,0,
1688811052,7/8/2023 10:10:52 AM,28.8,44.6,44,1000.5,3.6,181,0,
1688811112,7/8/2023 10:11:52 AM,28.8,44.6,44,1000.5,3.6,181,0,
1688811172,7/8/2023 10:12:52 AM,29.1,45.3,44,1000.6,3.96,133,0,
1688811232,7/8/2023 10:13:52 AM,29.2,45.9,45,1000.5,5.04,210,0,
1688811292,7/8/2023 10:14:52 AM,29.3,46.3,42,1000.6,4.32,6,0,
1688811352,7/8/2023 10:15:52 AM,29.3,46,43,1000.6,4.32,7,0,
1688811412,7/8/2023 10:16:52 AM,29.2,46.1,42,1000.5,6.48,320,0,
1688811472,7/8/2023 10:17:52 AM,29.2,46.1,42,1000.5,6.48,320,0,
1688811532,7/8/2023 10:18:52 AM,29,46,42,1000.5,3.96,49,0,
1688811592,7/8/2023 10:19:52 AM,29.1,46,43,1000.5,3.24,210,0,
1688811653,7/8/2023 10:20:53 AM,29.2,46.3,43,1000.5,2.88,0,0,
1688811713,7/8/2023 10:21:53 AM,29.3,46.3,43,1000.5,1.44,0,0,
1688811773,7/8/2023 10:22:53 AM,29.5,47.3,43,1000.5,1.44,331,0,
1688811833,7/8/2023 10:23:53 AM,29.6,47.5,43,1000.5,3.96,278,0,
1688811893,7/8/2023 10:24:53 AM,29.6,46.1,42,1000.5,2.16,172,0,
