TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1688898586,7/9/2023 10:29:46 AM,31,47.9,39,1000,2.88,85,0,
1688898646,7/9/2023 10:30:46 AM,31.1,47.7,40,999.9,3.6,321,0,
1688898706,7/9/2023 10:31:46 AM,31.1,47.1,40,1000,4.32,316,0,
1688898767,7/9/2023 10:32:47 AM,31.2,47.1,40,1000,2.16,178,0,
1688898827,7/9/2023 10:33:47 AM,31.3,47.7,39,1000,3.6,335,0,
1688898887,7/9/2023 10:34:47 AM,31.2,47.7,39,1000,2.88,170,0,
1688898947,7/9/2023 10:35:47 AM,31.4,47.7,40,1000.1,5.76,221,0,
1688899007,7/9/2023 10:36:47 AM,31.6,48.9,39,1000,5.76,226,0,
1688899067,7/9/2023 10:37:47 AM,31.8,48.8,39,1000,7.56,224,0,
1688899127,7/9/2023 10:38:47 AM,31.8,48.1,38,1000,7.56,229,0,
1688899187,7/9/2023 10:39:47 AM,31.7,48,39,1000,6.12,282,0,
1688899247,7/9/2023 10:40:47 AM,31.5,47.9,39,1000,4.68,234,0,
1688899307,7/9/2023 10:41:47 AM,31.5,48.2,40,1000,6.84,229,0,
1688899368,7/9/2023 10:42:48 AM,31.7,49,39,999.9,7.2,170,0,
1688899428,7/9/2023 10:43:48 AM,31.8,49,39,999.9,6.48,188,0,
1688899488,7/9/2023 10:44:48 AM,31.8,48.8,39,999.9,8.64,213,0,
1688899548,7/9/2023 10:45:48 AM,31.7,48.8,39,999.9,8.64,178,0,
1688899613,7/9/2023 10:46:53 AM,31.6,48.6,39,999.9,3.6,0,0,
1688899678,7/9/2023 10:47:58 AM,31.7,48.7,38,999.9,2.88,211,0,
1688899738,7/9/2023 10:48:58 AM,31.8,48.8,39,1000,6.48,265,0,
1688899798,7/9/2023 10:49:58 AM,31.8,49,38,999.9,2.52,19,0,
1688899858,7/9/2023 10:50:58 AM,31.8,48.9,37,999.9,2.52,259,0,
1688899918,7/9/2023 10:51:58 AM,31.8,48.9,38,999.9,4.32,319,0,
1688899978,7/9/2023 10:52:58 AM,31.7,49,37,999.9,2.88,252,0,
1688900038,7/9/2023 10:53:58 AM,31.7,49.2,38,999.8,3.24,147,0,
1688900099,7/9/2023 10:54:59 AM,31.8,50,38,999.8,2.52,131,0,
1688900159,7/9/2023 10:55:59 AM,31.9,50.3,38,999.8,0,8,0,
1688900219,7/9/2023 10:56:59 AM,32,50.4,37,999.8,4.32,19,0,
1688900279,7/9/2023 10:57:59 AM,32.1,50.3,37,999.9,2.88,221,0,
1688900339,7/9/2023 10:58:59 AM,32.1,50.2,39,999.8,2.16,220,0,
1688900399,7/9/2023 10:59:59 AM,32.3,50.2,39,999.7,3.6,155,0,
1688900459,7/9/2023 11:00:59 AM,32.3,50.3,38,999.7,7.2,135,0,
1688900519,7/9/2023 11:01:59 AM,31.9,50.1,39,999.7,7.2,211,0,
1688900579,7/9/2023 11:02:59 AM,32,50.2,40,999.7,5.76,190,0,
1688900639,7/9/2023 11:03:59 AM,32.2,51.1,38,999.7,6.48,129,0,
1688900700,7/9/2023 11:05:00 AM,32.3,51.1,37,999.8,5.04,206,0,
1688900760,7/9/2023 11:06:00 AM,32.3,51,38,999.7,4.32,215,0,
1688900820,7/9/2023 11:07:00 AM,32.3,50.9,37,999.6,5.4,208,0,
1688900880,7/9/2023 11:08:00 AM,32.2,50.9,38,999.7,6.12,211,0,
1688900940,7/9/2023 11:09:00 AM,32.1,50,38,999.7,7.2,206,0,
1688901000,7/9/2023 11:10:00 AM,32,49.7,38,999.7,5.76,155,0,
1688901060,7/9/2023 11:11:00 AM,32,49.7,38,999.7,5.76,239,0,
1688901120,7/9/2023 11:12:00 AM,32,50,39,999.6,8.64,185,0,
1688901180,7/9/2023 11:13:00 AM,31.9,50,38,999.7,4.32,100,0,
1688901240,7/9/2023 11:14:00 AM,31.9,50,39,999.7,1.8,161,0,
1688901300,7/9/2023 11:15:00 AM,31.9,50.9,39,999.7,4.68,143,0,
1688901361,7/9/2023 11:16:01 AM,31.9,50.9,39,999.6,7.56,171,0,
1688901421,7/9/2023 11:17:01 AM,31.9,51.3,39,999.7,7.2,182,0,
1688901481,7/9/2023 11:18:01 AM,32,51.3,39,999.6,4.68,189,0,
1688901541,7/9/2023 11:19:01 AM,32,51.4,39,999.6,5.76,213,0,
1688901601,7/9/2023 11:20:01 AM,32.3,51.4,37,999.6,8.64,202,0,
1688901661,7/9/2023 11:21:01 AM,32.2,50.8,37,999.6,7.56,162,0,
1688901721,7/9/2023 11:22:01 AM,31.9,50.6,38,999.6,6.48,133,0,
