TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1699017341,11/3/2023 1:15:41 PM,84.92,93.92,56,1012.8,8.28,12,0,
1699017401,11/3/2023 1:16:41 PM,84.92,93.56,56,1012.8,9,34,0,
1699017461,11/3/2023 1:17:41 PM,84.92,93.56,55,1012.9,8.28,30,0,
1699017522,11/3/2023 1:18:42 PM,84.74,94.1,55,1012.8,9,20,0,
1699017582,11/3/2023 1:19:42 PM,84.74,93.74,56,1012.9,7.2,42,0,
1699017642,11/3/2023 1:20:42 PM,84.92,94.1,56,1012.9,9.36,20,0,
1699017702,11/3/2023 1:21:42 PM,84.92,94.1,56,1012.8,7.56,13,0,
1699017762,11/3/2023 1:22:42 PM,84.92,93.92,56,1012.8,6.48,33,0,
1699017822,11/3/2023 1:23:42 PM,85.1,93.92,56,1012.9,4.68,37,0,
1699017882,11/3/2023 1:24:42 PM,85.28,94.28,56,1012.8,4.32,14,0,
1699017942,11/3/2023 1:25:42 PM,85.1,94.28,56,1012.9,5.76,12,0,
1699018002,11/3/2023 1:26:42 PM,85.1,93.92,56,1012.9,6.84,62,0,
1699018062,11/3/2023 1:27:42 PM,84.92,93.74,56,1012.9,6.48,42,0,
1699018122,11/3/2023 1:28:42 PM,84.92,93.74,55,1012.9,7.92,40,0,
1699018183,11/3/2023 1:29:43 PM,84.74,93.38,55,1012.8,8.28,40,0,
