NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
11,3,1,2:49.277,0,,1:32.213,0,39.599,0,37.465,0,109.3,2:49.277,18:02:49.277,1:32.213,0:39.599,0:37.465,118.0,Jean-Karl VERNAY,0:00:44.661,HYPERCAR,H,Isotta Fraschini,Isotta Fraschini,GF,92.213,39.599,37.465,
11,3,2,1:47.601,0,,39.594,0,35.728,0,32.279,0,181.3,4:36.878,18:04:36.878,0:39.594,0:35.728,0:32.279,288.8,Jean-Karl VERNAY,,HYPERCAR,H,Isotta Fraschini,Isotta Fraschini,GF,39.594,35.728,32.279,
11,3,3,1:46.703,0,,39.245,0,35.608,0,31.850,0,182.8,6:23.581,18:06:23.581,0:39.245,0:35.608,0:31.850,292.7,Jean-Karl VERNAY,,HYPERCAR,H,Isotta Fraschini,Isotta Fraschini,GF,39.245,35.608,31.850,
11,3,4,1:45.717,0,,39.008,0,35.056,0,31.653,0,184.5,8:09.298,18:08:09.298,0:39.008,0:35.056,0:31.653,292.7,Jean-Karl VERNAY,,HYPERCAR,H,Isotta Fraschini,Isotta Fraschini,GF,39.008,35.056,31.653,
11,3,5,3:02.297,0,B,1:08.099,0,1:10.063,0,44.135,0,107.0,11:11.595,18:11:11.595,1:08.099,1:10.063,0:44.135,292.7,Jean-Karl VERNAY,,HYPERCAR,H,Isotta Fraschini,Isotta Fraschini,RF,68.099,70.063,44.135,
11,3,6,3:47.264,0,,2:37.374,0,35.812,0,34.078,0,85.8,14:58.859,18:14:58.859,2:37.374,0:35.812,0:34.078,145.0,Jean-Karl VERNAY,0:02:04.713,HYPERCAR,H,Isotta Fraschini,Isotta Fraschini,GF,157.374,35.812,34.078,
11,3,7,1:49.963,0,,38.427,0,38.940,0,32.596,0,177.4,16:48.822,18:16:48.822,0:38.427,0:38.940,0:32.596,294.3,Jean-Karl VERNAY,,HYPERCAR,H,Isotta Fraschini,Isotta Fraschini,GF,38.427,38.940,32.596,
11,3,8,1:44.269,2,,38.085,0,34.841,0,31.343,2,187.1,18:33.091,18:18:33.091,0:38.085,0:34.841,0:31.343,293.5,Jean-Karl VERNAY,,HYPERCAR,H,Isotta Fraschini,Isotta Fraschini,GF,38.085,34.841,31.343,
11,3,9,1:48.392,0,,38.229,0,36.205,0,33.958,0,179.9,20:21.483,18:20:21.483,0:38.229,0:36.205,0:33.958,295.9,Jean-Karl VERNAY,,HYPERCAR,H,Isotta Fraschini,Isotta Fraschini,GF,38.229,36.205,33.958,
11,3,10,1:55.387,0,B,39.144,0,36.810,0,39.433,0,169.0,22:16.870,18:22:16.870,0:39.144,0:36.810,0:39.433,294.3,Jean-Karl VERNAY,,HYPERCAR,H,Isotta Fraschini,Isotta Fraschini,GF,39.144,36.810,39.433,
