TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1709017207,2/27/2024 7:00:07 AM,71.78,89.96,49,1015.9,4,307,0,
1709017267,2/27/2024 7:01:07 AM,71.78,88.88,48,1015.8,4,305,0,
1709017327,2/27/2024 7:02:07 AM,71.96,87.8,48,1015.8,4,299,0,
1709017387,2/27/2024 7:03:07 AM,72.14,87.08,47,1015.8,4,290,0,
1709017447,2/27/2024 7:04:07 AM,72.14,87.08,47,1015.8,4,272,0,
1709017508,2/27/2024 7:05:08 AM,72.14,87.08,47,1015.8,5,264,0,
1709017572,2/27/2024 7:06:12 AM,72.14,87.8,47,1015.8,4,263,0,
1709017633,2/27/2024 7:07:13 AM,72.32,89.42,47,1015.7,4,252,0,
1709017693,2/27/2024 7:08:13 AM,72.5,89.78,47,1015.8,4,257,0,
1709017753,2/27/2024 7:09:13 AM,72.68,90.5,47,1015.8,4,266,0,
1709017813,2/27/2024 7:10:13 AM,72.86,89.24,47,1015.8,4,265,0,
1709017873,2/27/2024 7:11:13 AM,72.86,89.96,47,1015.7,4,263,0,
1709017933,2/27/2024 7:12:13 AM,72.86,89.24,46,1015.7,4,282,0,
1709017993,2/27/2024 7:13:13 AM,72.86,89.24,46,1015.8,4,287,0,
1709018053,2/27/2024 7:14:13 AM,72.86,89.6,46,1015.8,5,303,0,
1709018113,2/27/2024 7:15:13 AM,73.04,90.14,46,1015.7,5,303,0,
1709018173,2/27/2024 7:16:13 AM,73.04,88.88,46,1015.7,5,306,0,
1709018234,2/27/2024 7:17:14 AM,73.04,89.42,46,1015.7,6,303,0,
1709018294,2/27/2024 7:18:14 AM,73.04,89.06,46,1015.7,6,306,0,
1709018354,2/27/2024 7:19:14 AM,73.04,89.06,46,1015.7,6,301,0,
1709018414,2/27/2024 7:20:14 AM,73.04,87.98,46,1015.7,7,302,0,
1709018474,2/27/2024 7:21:14 AM,72.86,87.62,46,1015.7,6,297,0,
1709018534,2/27/2024 7:22:14 AM,73.04,88.88,46,1015.6,5,289,0,
1709018594,2/27/2024 7:23:14 AM,73.04,89.06,46,1015.6,4,260,0,
1709018654,2/27/2024 7:24:14 AM,73.22,88.52,46,1015.6,4,261,0,
1709018714,2/27/2024 7:25:14 AM,73.22,87.98,47,1015.6,4,274,0,
1709018774,2/27/2024 7:26:14 AM,73.22,87.98,47,1015.6,4,290,0,
1709018835,2/27/2024 7:27:15 AM,73.22,88.16,47,1015.6,5,297,0,
1709018895,2/27/2024 7:28:15 AM,73.04,89.42,47,1015.6,5,313,0,
1709018955,2/27/2024 7:29:15 AM,73.04,89.78,47,1015.6,5,301,0,
1709019015,2/27/2024 7:30:15 AM,73.22,89.24,47,1015.6,5,293,0,
1709019075,2/27/2024 7:31:15 AM,73.22,89.96,47,1015.6,4,281,0,
1709019135,2/27/2024 7:32:15 AM,73.22,90.5,47,1015.6,4,270,0,
1709019195,2/27/2024 7:33:15 AM,73.22,91.58,47,1015.5,4,274,0,
1709019255,2/27/2024 7:34:15 AM,73.22,92.12,47,1015.5,3,278,0,
1709019315,2/27/2024 7:35:15 AM,73.22,90.14,47,1015.5,4,278,0,
1709019375,2/27/2024 7:36:15 AM,73.22,89.42,45,1015.5,5,282,0,
1709019435,2/27/2024 7:37:15 AM,73.4,89.06,44,1015.5,5,288,0,
1709019496,2/27/2024 7:38:16 AM,73.58,89.24,44,1015.4,6,280,0,
1709019556,2/27/2024 7:39:16 AM,73.76,88.34,44,1015.4,6,283,0,
1709019616,2/27/2024 7:40:16 AM,73.58,88.16,45,1015.5,6,273,0,
1709019676,2/27/2024 7:41:16 AM,73.58,87.44,44,1015.5,7,265,0,
1709019736,2/27/2024 7:42:16 AM,73.58,88.7,44,1015.5,7,268,0,
1709019796,2/27/2024 7:43:16 AM,73.58,88.7,44,1015.5,7,282,0,
1709019856,2/27/2024 7:44:16 AM,73.58,87.98,44,1015.5,7,289,0,
1709019916,2/27/2024 7:45:16 AM,73.58,87.62,44,1015.5,7,288,0,
1709019976,2/27/2024 7:46:16 AM,73.58,88.34,44,1015.4,6,289,0,
1709020036,2/27/2024 7:47:16 AM,73.58,88.52,44,1015.4,6,284,0,
1709020097,2/27/2024 7:48:17 AM,73.76,88.7,44,1015.4,5,269,0,
1709020157,2/27/2024 7:49:17 AM,73.76,89.78,44,1015.3,5,256,0,
1709020217,2/27/2024 7:50:17 AM,73.76,89.6,44,1015.3,5,253,0,
1709020277,2/27/2024 7:51:17 AM,73.94,91.4,44,1015.3,5,236,0,
1709020337,2/27/2024 7:52:17 AM,73.94,92.84,44,1015.3,4,194,0,
1709020397,2/27/2024 7:53:17 AM,73.94,91.94,44,1015.3,4,169,0,
1709020462,2/27/2024 7:54:22 AM,74.12,91.22,44,1015.3,4,166,0,
1709020522,2/27/2024 7:55:22 AM,74.12,91.94,44,1015.3,4,180,0,
1709020582,2/27/2024 7:56:22 AM,74.12,93.02,43,1015.2,4,204,0,
1709020647,2/27/2024 7:57:27 AM,74.3,92.66,43,1015.2,5,237,0,
1709020707,2/27/2024 7:58:27 AM,74.3,93.92,43,1015.2,4,258,0,
1709020767,2/27/2024 7:59:27 AM,74.12,94.46,43,1015.2,4,246,0,
1709020828,2/27/2024 8:00:28 AM,74.3,93.56,43,1015.1,4,231,0,
1709020888,2/27/2024 8:01:28 AM,74.3,92.48,43,1015.1,4,228,0,
1709020948,2/27/2024 8:02:28 AM,74.3,91.4,43,1015.1,4,223,0,
1709021008,2/27/2024 8:03:28 AM,74.48,90.14,42,1015.1,5,239,0,
1709021068,2/27/2024 8:04:28 AM,74.3,90.5,43,1015.1,6,267,0,
1709021128,2/27/2024 8:05:28 AM,74.3,91.58,43,1015.1,7,277,0,
1709021188,2/27/2024 8:06:28 AM,74.48,90.14,42,1015.1,7,274,0,
1709021248,2/27/2024 8:07:28 AM,74.48,89.24,42,1015.1,7,277,0,
1709021308,2/27/2024 8:08:28 AM,74.48,88.16,42,1015,7,273,0,
1709021368,2/27/2024 8:09:28 AM,74.48,87.62,42,1015,8,273,0,
1709021428,2/27/2024 8:10:28 AM,74.3,88.16,42,1015,8,282,0,
1709021489,2/27/2024 8:11:29 AM,74.3,90.86,42,1014.9,7,286,0,
1709021549,2/27/2024 8:12:29 AM,74.3,91.76,42,1014.9,6,286,0,
1709021609,2/27/2024 8:13:29 AM,74.48,91.4,41,1014.9,5,295,0,
1709021669,2/27/2024 8:14:29 AM,74.66,90.5,41,1014.9,4,289,0,
1709021729,2/27/2024 8:15:29 AM,74.84,89.06,41,1015,4,274,0,
1709021789,2/27/2024 8:16:29 AM,74.84,90.14,41,1014.9,5,275,0,
1709021849,2/27/2024 8:17:29 AM,74.66,92.84,41,1014.9,5,237,0,
1709021909,2/27/2024 8:18:29 AM,74.48,94.82,41,1014.9,4,206,0,
1709021969,2/27/2024 8:19:29 AM,74.66,96.26,41,1014.9,4,183,0,
1709022029,2/27/2024 8:20:29 AM,74.84,94.82,41,1014.9,3,160,0,
1709022089,2/27/2024 8:21:29 AM,75.02,92.84,41,1014.8,3,151,0,
1709022150,2/27/2024 8:22:30 AM,75.02,95.0,41,1014.8,3,177,0,
1709022210,2/27/2024 8:23:30 AM,75.02,94.28,41,1014.8,4,192,0,
1709022270,2/27/2024 8:24:30 AM,75.2,93.56,41,1014.7,4,220,0,
1709022330,2/27/2024 8:25:30 AM,75.2,90.68,41,1014.7,5,257,0,
1709022390,2/27/2024 8:26:30 AM,75.02,89.42,41,1014.7,6,267,0,
1709022450,2/27/2024 8:27:30 AM,74.84,89.78,41,1014.7,6,289,0,
1709022510,2/27/2024 8:28:30 AM,74.84,92.3,41,1014.6,6,298,0,
1709022570,2/27/2024 8:29:30 AM,74.84,93.38,42,1014.6,6,288,0,
1709022630,2/27/2024 8:30:30 AM,74.84,94.64,42,1014.6,5,276,0,
1709022690,2/27/2024 8:31:30 AM,74.84,92.84,42,1014.5,4,266,0,
1709022751,2/27/2024 8:32:31 AM,75.02,92.66,42,1014.5,4,247,0,
1709022811,2/27/2024 8:33:31 AM,75.2,91.04,41,1014.5,4,249,0,
1709022871,2/27/2024 8:34:31 AM,75.2,89.42,41,1014.5,5,233,0,
1709022931,2/27/2024 8:35:31 AM,75.2,88.34,41,1014.4,6,230,0,
1709022991,2/27/2024 8:36:31 AM,75.2,88.88,41,1014.4,6,245,0,
1709023051,2/27/2024 8:37:31 AM,75.38,87.98,41,1014.4,6,251,0,
1709023111,2/27/2024 8:38:31 AM,75.38,87.08,40,1014.3,7,239,0,
1709023171,2/27/2024 8:39:31 AM,75.38,87.08,40,1014.3,7,266,0,
1709023231,2/27/2024 8:40:31 AM,75.2,89.78,40,1014.3,6,279,0,
1709023291,2/27/2024 8:41:31 AM,75.02,90.86,41,1014.2,6,259,0,
1709023351,2/27/2024 8:42:31 AM,75.02,91.04,41,1014.2,6,264,0,
1709023412,2/27/2024 8:43:32 AM,75.02,88.52,41,1014.2,7,258,0,
1709023472,2/27/2024 8:44:32 AM,75.02,86.72,41,1014.2,7,266,0,
1709023532,2/27/2024 8:45:32 AM,75.2,85.82,41,1014.2,8,265,0,
1709023592,2/27/2024 8:46:32 AM,75.2,85.28,41,1014.2,9,297,0,
1709023652,2/27/2024 8:47:32 AM,75.2,84.74,41,1014.2,8,289,0,
1709023717,2/27/2024 8:48:37 AM,75.2,87.62,41,1014.2,7,299,0,
1709023777,2/27/2024 8:49:37 AM,75.2,87.8,41,1014.2,6,253,0,
1709023837,2/27/2024 8:50:37 AM,75.2,89.24,40,1014.1,5,217,0,
1709023897,2/27/2024 8:51:37 AM,75.38,87.8,40,1014.1,4,193,0,
1709023957,2/27/2024 8:52:37 AM,75.38,85.1,41,1014.1,5,203,0,
1709024017,2/27/2024 8:53:37 AM,75.38,83.3,41,1014,6,201,0,
1709024078,2/27/2024 8:54:38 AM,75.2,82.4,41,1014,6,221,0,
1709024138,2/27/2024 8:55:38 AM,75.02,82.4,41,1014,6,240,0,
1709024198,2/27/2024 8:56:38 AM,75.02,82.22,41,1014,6,259,0,
1709024258,2/27/2024 8:57:38 AM,75.2,82.58,41,1014,6,261,0,
1709024318,2/27/2024 8:58:38 AM,75.2,83.66,41,1014,5,269,0,
1709024378,2/27/2024 8:59:38 AM,75.2,85.1,41,1014,5,288,0,
1709024438,2/27/2024 9:00:38 AM,75.02,84.2,41,1014,4,304,0,
1709024498,2/27/2024 9:01:38 AM,75.02,82.94,40,1013.9,5,307,0,
1709024558,2/27/2024 9:02:38 AM,75.02,82.4,40,1014,6,308,0,
1709024618,2/27/2024 9:03:38 AM,75.2,81.86,40,1014,7,312,0,
1709024678,2/27/2024 9:04:38 AM,75.38,81.5,40,1014,8,318,0,
1709024739,2/27/2024 9:05:39 AM,75.56,81.14,40,1013.9,8,309,0,
1709024799,2/27/2024 9:06:39 AM,75.74,82.22,40,1013.9,7,307,0,
1709024859,2/27/2024 9:07:39 AM,75.74,82.94,40,1013.9,6,301,0,
1709024919,2/27/2024 9:08:39 AM,75.74,83.3,40,1013.9,5,277,0,
1709024979,2/27/2024 9:09:39 AM,75.92,83.12,40,1013.9,4,253,0,
1709025039,2/27/2024 9:10:39 AM,75.92,83.84,39,1013.8,4,259,0,
1709025099,2/27/2024 9:11:39 AM,75.92,83.84,39,1013.8,4,249,0,
1709025159,2/27/2024 9:12:39 AM,76.1,83.3,40,1013.8,4,249,0,
1709025219,2/27/2024 9:13:39 AM,76.1,83.66,40,1013.8,4,256,0,
1709025279,2/27/2024 9:14:39 AM,76.28,83.84,40,1013.7,5,268,0,
1709025339,2/27/2024 9:15:39 AM,76.64,84.02,40,1013.7,4,256,0,
1709025400,2/27/2024 9:16:40 AM,76.82,84.38,39,1013.7,4,251,0,
1709025460,2/27/2024 9:17:40 AM,77.0,83.3,39,1013.7,4,250,0,
1709025520,2/27/2024 9:18:40 AM,77.0,83.12,39,1013.7,4,265,0,
1709025580,2/27/2024 9:19:40 AM,76.82,88.7,38,1013.7,5,271,0,
1709025640,2/27/2024 9:20:40 AM,76.82,87.8,38,1013.7,5,288,0,
1709025700,2/27/2024 9:21:40 AM,76.64,90.68,38,1013.7,6,305,0,
1709025760,2/27/2024 9:22:40 AM,76.64,89.78,38,1013.7,6,313,0,
1709025820,2/27/2024 9:23:40 AM,76.64,89.06,38,1013.7,6,289,0,
1709025880,2/27/2024 9:24:40 AM,76.82,88.52,38,1013.6,6,295,0,
1709025940,2/27/2024 9:25:40 AM,76.82,87.98,38,1013.7,7,299,0,
1709026000,2/27/2024 9:26:40 AM,76.64,87.98,38,1013.6,7,300,0,
1709026061,2/27/2024 9:27:41 AM,76.64,88.34,38,1013.6,7,295,0,
1709026121,2/27/2024 9:28:41 AM,76.64,88.34,38,1013.6,6,306,0,
1709026181,2/27/2024 9:29:41 AM,76.64,88.7,38,1013.5,5,303,0,
1709026241,2/27/2024 9:30:41 AM,76.82,89.06,38,1013.5,5,299,0,
1709026301,2/27/2024 9:31:41 AM,76.82,88.88,38,1013.5,4,272,0,
1709026361,2/27/2024 9:32:41 AM,77.0,88.88,37,1013.5,4,246,0,
1709026421,2/27/2024 9:33:41 AM,77.18,90.68,38,1013.5,4,256,0,
1709026481,2/27/2024 9:34:41 AM,77.36,91.04,38,1013.5,4,259,0,
1709026541,2/27/2024 9:35:41 AM,77.36,92.3,38,1013.4,4,261,0,
1709026601,2/27/2024 9:36:41 AM,77.18,92.12,38,1013.4,5,285,0,
1709026662,2/27/2024 9:37:42 AM,77.0,92.66,38,1013.4,6,290,0,
1709026722,2/27/2024 9:38:42 AM,77.0,92.48,38,1013.4,5,265,0,
1709026782,2/27/2024 9:39:42 AM,77.0,94.64,38,1013.4,5,260,0,
1709026842,2/27/2024 9:40:42 AM,77.18,94.64,37,1013.4,5,260,0,
1709026902,2/27/2024 9:41:42 AM,77.36,94.46,37,1013.4,5,261,0,
1709026962,2/27/2024 9:42:42 AM,77.36,96.08,37,1013.4,6,276,0,
1709027022,2/27/2024 9:43:42 AM,77.54,96.08,37,1013.3,6,301,0,
1709027082,2/27/2024 9:44:42 AM,77.54,96.44,37,1013.3,6,304,0,
1709027142,2/27/2024 9:45:42 AM,77.54,96.26,37,1013.3,5,305,0,
1709027202,2/27/2024 9:46:42 AM,77.36,96.44,37,1013.3,6,304,0,
1709027262,2/27/2024 9:47:42 AM,77.54,96.44,37,1013.3,5,307,0,
1709027323,2/27/2024 9:48:43 AM,77.72,95.9,37,1013.3,6,312,0,
1709027383,2/27/2024 9:49:43 AM,77.54,95.36,36,1013.3,6,315,0,
1709027443,2/27/2024 9:50:43 AM,77.36,95.36,36,1013.3,7,315,0,
1709027503,2/27/2024 9:51:43 AM,77.36,95.18,36,1013.3,7,312,0,
