TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1709273733,3/1/2024 6:15:33 AM,66.74,78.8,49,1017.8,10,260,0,
1709273793,3/1/2024 6:16:33 AM,66.74,78.62,49,1017.9,10,274,0,
1709273853,3/1/2024 6:17:33 AM,66.92,78.8,48,1017.9,10,273,0,
1709273913,3/1/2024 6:18:33 AM,66.92,79.34,48,1017.9,11,261,0,
1709273973,3/1/2024 6:19:33 AM,66.92,79.16,48,1017.9,10,277,0,
1709274033,3/1/2024 6:20:33 AM,66.92,78.98,48,1017.8,10,259,0,
1709274093,3/1/2024 6:21:33 AM,66.92,79.34,48,1017.7,10,237,0,
1709274154,3/1/2024 6:22:34 AM,66.92,80.06,48,1017.8,9,248,0,
1709274214,3/1/2024 6:23:34 AM,67.1,80.6,48,1017.7,9,259,0,
1709274274,3/1/2024 6:24:34 AM,67.1,80.24,49,1017.7,10,243,0,
1709274334,3/1/2024 6:25:34 AM,67.1,79.52,49,1017.9,10,250,0,
1709274394,3/1/2024 6:26:34 AM,67.1,78.8,49,1017.9,11,276,0,
1709274454,3/1/2024 6:27:34 AM,67.1,78.08,48,1017.9,11,282,0,
1709274514,3/1/2024 6:28:34 AM,67.1,78.62,49,1017.9,11,297,0,
1709274574,3/1/2024 6:29:34 AM,67.1,78.26,49,1018,10,313,0,
1709274634,3/1/2024 6:30:34 AM,67.1,77.72,49,1017.8,11,312,0,
1709274694,3/1/2024 6:31:34 AM,67.1,77.54,48,1017.9,11,312,0,
1709274755,3/1/2024 6:32:35 AM,66.92,77.9,47,1017.9,11,313,0,
1709274815,3/1/2024 6:33:35 AM,66.92,78.44,46,1017.8,12,309,0,
1709274875,3/1/2024 6:34:35 AM,66.92,78.98,47,1017.9,12,299,0,
1709274935,3/1/2024 6:35:35 AM,67.1,80.06,47,1017.8,12,309,0,
1709274995,3/1/2024 6:36:35 AM,67.1,80.78,45,1017.8,12,313,0,
1709275055,3/1/2024 6:37:35 AM,67.28,81.5,44,1017.8,13,311,0,
1709275115,3/1/2024 6:38:35 AM,67.46,82.4,44,1017.9,12,316,0,
1709275175,3/1/2024 6:39:35 AM,67.46,82.94,44,1017.8,13,325,0,
1709275235,3/1/2024 6:40:35 AM,67.64,83.12,43,1017.9,12,326,0,
1709275295,3/1/2024 6:41:35 AM,67.64,83.48,43,1017.9,12,316,0,
1709275355,3/1/2024 6:42:35 AM,67.64,83.48,43,1018,11,317,0,
1709275416,3/1/2024 6:43:36 AM,67.82,83.66,43,1018,11,312,0,
1709275476,3/1/2024 6:44:36 AM,68.0,84.02,43,1018,11,312,0,
