NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
27,1,1,2:29.181,0,,1:05.843,0,42.447,0,40.891,0,124.0,2:29.181,16:02:29.181,1:05.843,0:42.447,0:40.891,101.8,Ian JAMES,0:00:17.186,LMGT3,,Heart of Racing Team,Aston Martin,GF,65.843,42.447,40.891,
27,1,2,2:05.558,0,,46.485,0,40.262,0,38.811,0,155.3,4:34.739,16:04:34.739,0:46.485,0:40.262,0:38.811,222.7,Ian JAMES,,LMGT3,,Heart of Racing Team,Aston Martin,GF,46.485,40.262,38.811,
27,1,3,1:56.265,0,,42.739,0,38.133,0,35.393,0,167.8,6:31.004,16:06:31.004,0:42.739,0:38.133,0:35.393,248.8,Ian JAMES,,LMGT3,,Heart of Racing Team,Aston Martin,GF,42.739,38.133,35.393,
27,1,4,1:59.918,0,,42.519,0,39.035,0,38.364,0,162.7,8:30.922,16:08:30.922,0:42.519,0:39.035,0:38.364,248.8,Ian JAMES,,LMGT3,,Heart of Racing Team,Aston Martin,GF,42.519,39.035,38.364,
27,1,5,1:55.671,0,,42.470,0,37.799,0,35.402,0,168.6,10:26.593,16:10:26.593,0:42.470,0:37.799,0:35.402,247.7,Ian JAMES,,LMGT3,,Heart of Racing Team,Aston Martin,GF,42.470,37.799,35.402,
27,1,6,1:55.251,3,,42.242,3,37.739,2,35.270,2,169.2,12:21.844,16:12:21.844,0:42.242,0:37.739,0:35.270,251.2,Ian JAMES,,LMGT3,,Heart of Racing Team,Aston Martin,FF,42.242,37.739,35.270,
31,1,1,2:22.883,0,,1:00.204,0,41.562,0,41.117,0,129.5,2:22.883,16:02:22.883,1:00.204,0:41.562,0:41.117,117.4,Darren LEUNG,0:00:11.217,LMGT3,,Team WRT,BMW,GF,60.204,41.562,41.117,
31,1,2,2:04.295,0,,44.739,0,40.070,0,39.486,0,156.9,4:27.178,16:04:27.178,0:44.739,0:40.070,0:39.486,246.0,Darren LEUNG,,LMGT3,,Team WRT,BMW,GF,44.739,40.070,39.486,
31,1,3,1:59.665,0,,44.375,0,38.889,0,36.401,0,163.0,6:26.843,16:06:26.843,0:44.375,0:38.889,0:36.401,243.2,Darren LEUNG,,LMGT3,,Team WRT,BMW,GF,44.375,38.889,36.401,
31,1,4,1:57.206,0,,42.898,0,38.183,2,36.125,0,166.4,8:24.049,16:08:24.049,0:42.898,0:38.183,0:36.125,244.9,Darren LEUNG,,LMGT3,,Team WRT,BMW,GF,42.898,38.183,36.125,
31,1,5,1:57.169,0,,42.914,0,38.237,0,36.018,0,166.5,10:21.218,16:10:21.218,0:42.914,0:38.237,0:36.018,242.7,Darren LEUNG,,LMGT3,,Team WRT,BMW,GF,42.914,38.237,36.018,
31,1,6,1:56.770,2,,42.806,2,38.277,0,35.687,2,167.0,12:17.988,16:12:17.988,0:42.806,0:38.277,0:35.687,246.0,Darren LEUNG,,LMGT3,,Team WRT,BMW,FF,42.806,38.277,35.687,
46,1,1,2:27.877,0,B,55.574,0,44.725,0,47.578,0,125.1,2:27.877,16:02:27.877,0:55.574,0:44.725,0:47.578,107.2,Ahmad AL HARTHY,0:00:07.354,LMGT3,,Team WRT,BMW,GF,55.574,44.725,47.578,
46,1,2,3:23.489,0,,1:58.383,0,43.489,0,41.617,0,95.9,5:51.366,16:05:51.366,1:58.383,0:43.489,0:41.617,110.4,Ahmad AL HARTHY,0:01:13.446,LMGT3,,Team WRT,BMW,GF,118.383,43.489,41.617,
46,1,3,2:23.516,0,B,49.564,0,45.382,0,48.570,0,135.9,8:14.882,16:08:14.882,0:49.564,0:45.382,0:48.570,189.8,Ahmad AL HARTHY,,LMGT3,,Team WRT,BMW,GF,49.564,45.382,48.570,
46,1,4,2:58.071,0,,1:42.255,0,38.686,0,37.130,0,109.5,11:12.953,16:11:12.953,1:42.255,0:38.686,0:37.130,131.2,Ahmad AL HARTHY,0:01:03.908,LMGT3,,Team WRT,BMW,GF,102.255,38.686,37.130,
46,1,5,1:56.244,2,,42.464,2,38.000,2,35.780,2,167.8,13:09.197,16:13:09.197,0:42.464,0:38.000,0:35.780,246.6,Ahmad AL HARTHY,,LMGT3,,Team WRT,BMW,FF,42.464,38.000,35.780,
54,1,1,2:54.767,0,,1:23.369,0,47.871,0,43.527,0,105.8,2:54.767,16:02:54.767,1:23.369,0:47.871,0:43.527,114.9,Thomas FLOHR,0:00:38.104,LMGT3,,Vista AF Corse,Ferrari,GF,83.369,47.871,43.527,
54,1,2,2:00.963,0,,44.264,0,39.934,0,36.765,0,161.2,4:55.730,16:04:55.730,0:44.264,0:39.934,0:36.765,245.5,Thomas FLOHR,,LMGT3,,Vista AF Corse,Ferrari,GF,44.264,39.934,36.765,
54,1,3,1:55.666,2,,42.598,0,37.593,3,35.475,2,168.6,6:51.396,16:06:51.396,0:42.598,0:37.593,0:35.475,247.7,Thomas FLOHR,,LMGT3,,Vista AF Corse,Ferrari,GF,42.598,37.593,35.475,
54,1,4,1:55.893,0,,42.623,0,37.736,0,35.534,0,168.3,8:47.289,16:08:47.289,0:42.623,0:37.736,0:35.534,246.6,Thomas FLOHR,,LMGT3,,Vista AF Corse,Ferrari,GF,42.623,37.736,35.534,
54,1,5,1:57.679,0,,42.584,0,38.459,0,36.636,0,165.7,10:44.968,16:10:44.968,0:42.584,0:38.459,0:36.636,247.1,Thomas FLOHR,,LMGT3,,Vista AF Corse,Ferrari,GF,42.584,38.459,36.636,
54,1,6,1:56.073,0,,42.535,2,37.821,0,35.717,0,168.0,12:41.041,16:12:41.041,0:42.535,0:37.821,0:35.717,249.4,Thomas FLOHR,,LMGT3,,Vista AF Corse,Ferrari,FF,42.535,37.821,35.717,
55,1,1,2:58.576,0,,1:32.407,0,43.556,0,42.613,0,103.6,2:58.576,16:02:58.576,1:32.407,0:43.556,0:42.613,113.2,François HERIAU,0:00:44.959,LMGT3,,Vista AF Corse,Ferrari,GF,92.407,43.556,42.613,
