POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,43,20,1:41.550,-,-,174.0,22,Iron Lynx,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Edgar,MALOIGNE,S,,FRA,,,,,,,Georgi,DIMITROV,S,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,14,1:41.633,+0.083,+0.083,173.9,22,VSR,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Mattia,MICHELOTTO,S,,ITA,,,,,,,Gilles,STADSBADER,S,,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,28,14,1:41.752,+0.202,+0.119,173.7,20,BDR Competition by Grupo Prom,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Amaury,BONDUEL,S,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,50,19,1:41.931,+0.381,+0.179,173.4,21,DL Racing,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Riccardo,IANNIELLO,S,,ITA,,,,,,,Rodrigo,TESTA,S,,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,57,7,1:41.962,+0.412,+0.031,173.3,12,ART-Line,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Egor,ORUDZHEV,G,,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,17,1:42.134,+0.584,+0.172,173.0,23,Target Racing,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Oliver,SÖDERSTRÖM,S,,SWE,,,,,,,Largim,ALI,S,,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4,18,1:42.258,+0.708,+0.124,172.8,19,Iron Lynx,ProAm,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Claude-Yves,GOSSELIN,B,,BEL,,,,,,,Joran,LENEUTRE,S,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,41,19,1:42.347,+0.797,+0.089,172.7,21,Iron Lynx,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Pavel,LEFTEROV,S,,BGR,,,,,,,Stefan,BOSTANDJIEV,S,,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,42,14,1:42.548,+0.998,+0.201,172.3,21,Iron Lynx,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Giorgio,AMATI,S,,ITA,,,,,,,Jesse,SALMENAUTIO,S,,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,19,1:42.724,+1.174,+0.176,172.0,22,Lamborghini Stüttgart byTarget Racing,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Guido,LUCHETTI,S,,ITA,,,,,,,Calle,BERGMAN,S,,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,16,19,1:42.755,+1.205,+0.031,172.0,22,VSR,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Andrea,FRASSINETI,S,,ITA,,,,,,,Ignazio,ZANON,S,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,62,16,1:42.789,+1.239,+0.034,171.9,20,DL Racing,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Ibrahim,BADAWY,S,,EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15,9,1:43.122,+1.572,+0.333,171.4,21,Rexal Villorba Corse,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Benedetto,STRIGNANO,S,,ITA,,,,,,,Alberto,DI FOLCO,S,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,97,18,1:43.235,+1.685,+0.113,171.2,21,GG Magic Motorsport,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Giuseppe,GUIRRERI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,33,6,1:43.248,+1.698,+0.013,171.2,19,ASR,ProAm,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Milos,PAVLOVIC,G,,SCG,,,,,,,Alessio,RUFFINI,B,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,13,15,1:43.395,+1.845,+0.147,170.9,22,Schumacher CLRT,Am,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Stephan,GUERIN,B,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,71,21,1:43.507,+1.957,+0.112,170.7,23,Brutal Fish Racing Team,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Dougie,BOLGER,S,,JPN,,,,,,,Jacopo,GUIDETTI,S,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,61,6,1:43.635,+2.085,+0.128,170.5,24,Oregon Team,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Leonardo,CAGLIONI,S,,ITA,,,,,,,Enzo,GERACI,S,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,14,1:43.943,+2.393,+0.308,170.0,21,Boutsen VDS,ProAm,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Roee,MEYUHAS,S,,USA,,,,,,,Renaud,KUPPENS,B,,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
