NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
12,2,1,2:05.178,0,,40.028,0,37.273,0,47.877,0,134.9,2:05.178,15:51:05.178,0:40.028,0:37.273,0:47.877,153.0,Callum ILOTT,0:00:10.186,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,40.028,37.273,47.877,
12,2,2,1:37.876,0,,21.128,0,32.040,0,44.708,0,180.6,3:43.054,15:52:43.054,0:21.128,0:32.040,0:44.708,285.0,Callum ILOTT,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,21.128,32.040,44.708,
12,2,3,1:34.225,0,,19.739,0,30.593,0,43.893,0,187.6,5:17.279,15:54:17.279,0:19.739,0:30.593,0:43.893,312.1,Callum ILOTT,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,19.739,30.593,43.893,
12,2,4,1:31.925,0,,19.140,0,30.115,0,42.670,0,192.2,6:49.204,15:55:49.204,0:19.140,0:30.115,0:42.670,309.5,Callum ILOTT,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,19.140,30.115,42.670,
12,2,5,1:30.658,0,,18.708,0,29.721,0,42.229,2,194.9,8:19.862,15:57:19.862,0:18.708,0:29.721,0:42.229,313.0,Callum ILOTT,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,18.708,29.721,42.229,
12,2,6,1:30.656,2,,18.809,0,29.573,2,42.274,0,194.9,9:50.518,15:58:50.518,0:18.809,0:29.573,0:42.274,312.1,Callum ILOTT,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,18.809,29.573,42.274,
12,2,7,1:30.700,0,,18.675,2,29.655,0,42.370,0,194.8,11:21.218,16:00:21.218,0:18.675,0:29.655,0:42.370,311.2,Callum ILOTT,,HYPERCAR,H,Hertz Team JOTA,Porsche,FF,18.675,29.655,42.370,
20,3,1,2:17.572,0,,50.565,0,37.411,0,49.596,0,122.8,2:17.572,15:51:17.572,0:50.565,0:37.411,0:49.596,155.2,René RAST,0:00:22.434,HYPERCAR,H,BMW M Team WRT,BMW,GF,50.565,37.411,49.596,
20,3,2,1:40.543,0,,21.053,0,32.986,0,46.504,0,175.8,3:58.115,15:52:58.115,0:21.053,0:32.986,0:46.504,279.8,René RAST,,HYPERCAR,H,BMW M Team WRT,BMW,GF,21.053,32.986,46.504,
20,3,3,1:41.856,0,,19.734,0,31.923,0,50.199,0,173.5,5:39.971,15:54:39.971,0:19.734,0:31.923,0:50.199,310.3,René RAST,,HYPERCAR,H,BMW M Team WRT,BMW,GF,19.734,31.923,50.199,
