TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1713623421,4/20/2024 2:30:21 PM,16.8,22.1,48,1004.3,6,88,0,
1713623481,4/20/2024 2:31:21 PM,16.8,22,49,1004.4,6,92,0,
1713623541,4/20/2024 2:32:21 PM,16.7,21.7,49,1004.4,7,94,0,
1713623601,4/20/2024 2:33:21 PM,16.6,21.5,49,1004.4,7,97,0,
1713623662,4/20/2024 2:34:22 PM,16.6,21.7,50,1004.4,7,99,0,
1713623722,4/20/2024 2:35:22 PM,16.5,22.1,50,1004.4,7,97,0,
1713623782,4/20/2024 2:36:22 PM,16.5,21.8,50,1004.4,7,106,0,
1713623842,4/20/2024 2:37:22 PM,16.5,22,49,1004.4,7,106,0,
1713623902,4/20/2024 2:38:22 PM,16.6,21.8,49,1004.4,7,107,0,
1713623962,4/20/2024 2:39:22 PM,16.6,22,49,1004.4,7,106,0,
1713624022,4/20/2024 2:40:22 PM,16.6,22,50,1004.4,6,97,0,
1713624082,4/20/2024 2:41:22 PM,16.6,22.3,50,1004.4,6,98,0,
1713624142,4/20/2024 2:42:22 PM,16.6,22.7,50,1004.4,5,93,0,
1713624202,4/20/2024 2:43:22 PM,16.6,22.6,48,1004.4,5,91,0,
1713624262,4/20/2024 2:44:22 PM,16.6,22.7,49,1004.5,6,93,0,
1713624323,4/20/2024 2:45:23 PM,16.7,22.4,49,1004.5,6,89,0,
1713624383,4/20/2024 2:46:23 PM,16.6,22.8,49,1004.4,7,92,0,
1713624443,4/20/2024 2:47:23 PM,16.6,23.2,49,1004.4,6,111,0,
1713624503,4/20/2024 2:48:23 PM,16.5,23.8,50,1004.4,6,130,0,
1713624563,4/20/2024 2:49:23 PM,16.6,23.8,49,1004.4,6,124,0,
1713624623,4/20/2024 2:50:23 PM,16.6,24.1,49,1004.4,4,121,0,
1713624683,4/20/2024 2:51:23 PM,16.6,24.2,49,1004.4,4,102,0,
1713624743,4/20/2024 2:52:23 PM,16.7,23.7,49,1004.4,4,99,0,
1713624803,4/20/2024 2:53:23 PM,16.7,23.6,49,1004.4,4,76,0,
1713624863,4/20/2024 2:54:23 PM,16.7,23.8,49,1004.3,4,114,0,
1713624923,4/20/2024 2:55:23 PM,16.7,24.4,49,1004.4,4,175,0,
1713624984,4/20/2024 2:56:24 PM,16.7,24.5,49,1004.3,4,226,0,
1713625044,4/20/2024 2:57:24 PM,16.7,24.5,48,1004.3,3,247,0,
1713625104,4/20/2024 2:58:24 PM,16.7,24.1,49,1004.3,4,207,0,
1713625164,4/20/2024 2:59:24 PM,16.8,23.1,49,1004.3,4,192,0,
1713625224,4/20/2024 3:00:24 PM,16.8,22.7,49,1004.3,5,112,0,
1713625284,4/20/2024 3:01:24 PM,16.9,22,50,1004.3,7,95,0,
1713625344,4/20/2024 3:02:24 PM,16.8,21.5,50,1004.3,8,100,0,
