TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1715329545,5/10/2024 8:25:45 AM,18.2,24.8,52,974.6,5,268,0,
1715329605,5/10/2024 8:26:45 AM,18.2,24.6,53,974.6,6,293,0,
1715329665,5/10/2024 8:27:45 AM,18,24.5,51,974.6,6,303,0,
1715329726,5/10/2024 8:28:46 AM,17.9,24.4,52,974.6,6,310,0,
1715329786,5/10/2024 8:29:46 AM,17.9,24.3,53,974.6,5,286,0,
1715329846,5/10/2024 8:30:46 AM,18,24.1,54,974.6,5,256,0,
1715329906,5/10/2024 8:31:46 AM,18.1,24,54,974.6,4,250,0,
1715329966,5/10/2024 8:32:46 AM,18.2,23.9,53,974.6,3,212,0,
1715330026,5/10/2024 8:33:46 AM,18.2,23.8,54,974.6,3,202,0,
1715330086,5/10/2024 8:34:46 AM,18.2,23.8,54,974.6,3,218,0,
1715330146,5/10/2024 8:35:46 AM,18.2,23.8,54,974.7,3,212,0,
1715330206,5/10/2024 8:36:46 AM,18.3,24,54,974.6,2,191,0,
1715330266,5/10/2024 8:37:46 AM,18.4,24.1,53,974.6,3,176,0,
1715330326,5/10/2024 8:38:46 AM,18.3,24.1,53,974.6,3,151,0,
1715330387,5/10/2024 8:39:47 AM,18.3,24.1,54,974.6,4,122,0,
1715330447,5/10/2024 8:40:47 AM,18.2,24.3,54,974.6,4,123,0,
1715330507,5/10/2024 8:41:47 AM,18.2,24.3,53,974.6,4,141,0,
1715330567,5/10/2024 8:42:47 AM,18.2,24.5,52,974.6,3,165,0,
1715330627,5/10/2024 8:43:47 AM,18.3,24.6,53,974.6,3,171,0,
1715330687,5/10/2024 8:44:47 AM,18.5,24.9,53,974.6,2,188,0,
