TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1715345149,5/10/2024 12:45:49 PM,69.26,88.52,51,973.6,7,300,0,
1715345209,5/10/2024 12:46:49 PM,69.26,88.34,51,973.6,7,296,0,
1715345270,5/10/2024 12:47:50 PM,69.26,87.98,50,973.6,8,297,0,
1715345330,5/10/2024 12:48:50 PM,69.26,87.8,51,973.6,8,311,0,
1715345390,5/10/2024 12:49:50 PM,69.26,87.62,51,973.6,7,299,0,
1715345450,5/10/2024 12:50:50 PM,69.26,87.44,51,973.7,3,282,0,
1715345510,5/10/2024 12:51:50 PM,69.26,87.44,51,973.6,5,304,0,
1715345570,5/10/2024 12:52:50 PM,69.26,87.08,51,973.6,5,295,0,
1715345630,5/10/2024 12:53:50 PM,69.26,86.9,50,973.6,6,303,0,
1715345690,5/10/2024 12:54:50 PM,69.08,86.72,51,973.6,6,308,0,
1715345750,5/10/2024 12:55:50 PM,68.9,86.72,51,973.6,8,313,0,
1715345810,5/10/2024 12:56:50 PM,68.72,86.36,51,973.6,8,324,0,
1715345870,5/10/2024 12:57:50 PM,68.72,86.36,50,973.6,8,320,0,
1715345931,5/10/2024 12:58:51 PM,68.54,86.18,51,973.6,7,320,0,
1715345991,5/10/2024 12:59:51 PM,68.54,86.18,52,973.6,6,318,0,
