NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
10,3,1,30:28.638,0,,27:10.390,0,1:31.510,0,1:46.738,0,26.5,30:28.638,22:30:28.638,27:10.390,1:31.510,1:46.738,271.1,Stéphane RICHELMI,0:26:28.956,LMP2,,Vector Sport,Oreca,GF,1630.390,91.510,106.738,
10,3,2,3:43.004,0,,35.552,0,1:25.361,0,1:42.091,0,220.0,34:11.642,22:34:11.642,0:35.552,1:25.361,1:42.091,320.1,Stéphane RICHELMI,,LMP2,,Vector Sport,Oreca,GF,35.552,85.361,102.091,
10,3,3,3:51.712,0,B,35.065,0,1:26.424,0,1:50.223,0,211.7,38:03.354,22:38:03.354,0:35.065,1:26.424,1:50.223,320.1,Stéphane RICHELMI,,LMP2,,Vector Sport,Oreca,GF,35.065,86.424,110.223,
10,3,4,5:13.929,0,,2:02.911,0,1:25.959,0,1:45.059,0,156.3,43:17.283,22:43:17.283,2:02.911,1:25.959,1:45.059,310.9,Stéphane RICHELMI,0:01:37.975,LMP2,,Vector Sport,Oreca,GF,122.911,85.959,105.059,
10,3,5,3:41.925,0,,35.020,0,1:24.975,0,1:41.930,0,221.0,46:59.208,22:46:59.208,0:35.020,1:24.975,1:41.930,314.5,Stéphane RICHELMI,,LMP2,,Vector Sport,Oreca,GF,35.020,84.975,101.930,
10,3,6,3:48.811,0,B,35.025,0,1:25.488,0,1:48.298,0,214.4,50:48.019,22:50:48.019,0:35.025,1:25.488,1:48.298,318.2,Stéphane RICHELMI,,LMP2,,Vector Sport,Oreca,GF,35.025,85.488,108.298,
10,1,7,5:31.432,0,,2:21.049,0,1:26.761,0,1:43.622,0,148.0,56:19.451,22:56:19.451,2:21.049,1:26.761,1:43.622,312.7,Ryan CULLEN,0:01:55.983,LMP2,,Vector Sport,Oreca,GF,141.049,86.761,103.622,
10,1,8,3:45.128,0,,35.545,0,1:25.616,0,1:43.967,0,217.9,1:00:04.579,23:00:04.579,0:35.545,1:25.616,1:43.967,320.1,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,35.545,85.616,103.967,
10,1,9,3:42.148,0,,35.230,0,1:24.851,1,1:42.067,1,220.8,1:03:46.727,23:03:46.727,0:35.230,1:24.851,1:42.067,318.2,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,35.230,84.851,102.067,
10,1,10,3:43.201,0,,36.219,0,1:25.428,0,1:41.554,0,219.8,1:07:29.928,23:07:29.928,0:36.219,1:25.428,1:41.554,318.2,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,36.219,85.428,101.554,
10,1,11,3:47.899,0,B,34.977,1,1:24.901,0,1:48.021,0,215.2,1:11:17.827,23:11:17.827,0:34.977,1:24.901,1:48.021,317.2,Ryan CULLEN,,LMP2,,Vector Sport,Oreca,GF,34.977,84.901,108.021,
10,2,12,5:06.589,0,,1:56.874,0,1:26.182,0,1:43.533,0,160.0,1:16:24.416,23:16:24.416,1:56.874,1:26.182,1:43.533,315.4,Patrick PILET,0:01:31.286,LMP2,,Vector Sport,Oreca,GF,116.874,86.182,103.533,
10,2,13,3:39.866,0,,34.422,0,1:25.551,0,1:39.893,2,223.1,1:20:04.282,23:20:04.282,0:34.422,1:25.551,1:39.893,315.4,Patrick PILET,,LMP2,,Vector Sport,Oreca,GF,34.422,85.551,99.893,
10,2,14,3:46.219,0,,34.144,2,1:26.428,0,1:45.647,0,216.8,1:23:50.501,23:23:50.501,0:34.144,1:26.428,1:45.647,319.1,Patrick PILET,,LMP2,,Vector Sport,Oreca,GF,34.144,86.428,105.647,
10,2,15,3:38.893,2,,34.334,0,1:24.631,0,1:39.928,0,224.1,1:27:29.394,23:27:29.394,0:34.334,1:24.631,1:39.928,320.1,Patrick PILET,,LMP2,,Vector Sport,Oreca,GF,34.334,84.631,99.928,
10,2,16,3:45.372,0,B,35.174,0,1:24.424,1,1:45.774,0,217.7,1:31:14.766,23:31:14.766,0:35.174,1:24.424,1:45.774,316.3,Patrick PILET,,LMP2,,Vector Sport,Oreca,GF,35.174,84.424,105.774,
10,3,17,6:24.089,0,,2:03.021,0,1:26.225,0,2:54.843,0,127.7,1:37:38.855,23:37:38.855,2:03.021,1:26.225,2:54.843,315.4,Stéphane RICHELMI,0:01:37.217,LMP2,,Vector Sport,Oreca,GF,123.021,86.225,174.843,
10,3,18,3:41.118,0,,34.994,0,1:25.000,0,1:41.124,0,221.8,1:41:19.973,23:41:19.973,0:34.994,1:25.000,1:41.124,317.2,Stéphane RICHELMI,,LMP2,,Vector Sport,Oreca,GF,34.994,85.000,101.124,
10,3,19,3:40.944,0,,34.753,1,1:25.036,0,1:41.155,0,222.0,1:45:00.917,23:45:00.917,0:34.753,1:25.036,1:41.155,316.3,Stéphane RICHELMI,,LMP2,,Vector Sport,Oreca,GF,34.753,85.036,101.155,
10,3,20,3:42.066,0,,35.233,0,1:24.399,2,1:42.434,0,220.9,1:48:42.983,23:48:42.983,0:35.233,1:24.399,1:42.434,316.3,Stéphane RICHELMI,,LMP2,,Vector Sport,Oreca,GF,35.233,84.399,102.434,
10,3,21,3:40.511,0,,34.898,0,1:24.570,0,1:41.043,1,222.5,1:52:23.494,23:52:23.494,0:34.898,1:24.570,1:41.043,317.2,Stéphane RICHELMI,,LMP2,,Vector Sport,Oreca,GF,34.898,84.570,101.043,
