NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
27,1,1,2:39.363,0,,1:13.377,0,1:01.046,0,24.940,0,95.7,2:39.363,14:32:39.363,1:13.377,1:01.046,0:24.940,,Ian JAMES,0:00:42.905,LMGT3,,Heart of Racing Team,Aston Martin,GF,73.377,61.046,24.940,
27,1,2,1:48.273,0,,27.436,0,56.941,0,23.896,0,143.3,4:27.636,14:34:27.636,0:27.436,0:56.941,0:23.896,190.0,Ian JAMES,,LMGT3,,Heart of Racing Team,Aston Martin,GF,27.436,56.941,23.896,
27,1,3,1:40.853,0,,26.407,0,51.125,0,23.321,0,153.8,6:08.489,14:36:08.489,0:26.407,0:51.125,0:23.321,205.8,Ian JAMES,,LMGT3,,Heart of Racing Team,Aston Martin,GF,26.407,51.125,23.321,
27,1,4,1:35.879,0,,24.848,0,47.953,0,23.078,0,161.8,7:44.368,14:37:44.368,0:24.848,0:47.953,0:23.078,252.5,Ian JAMES,,LMGT3,,Heart of Racing Team,Aston Martin,GF,24.848,47.953,23.078,
27,1,5,1:35.660,2,,24.713,2,47.932,2,23.015,2,162.2,9:20.028,14:39:20.028,0:24.713,0:47.932,0:23.015,251.3,Ian JAMES,,LMGT3,,Heart of Racing Team,Aston Martin,GF,24.713,47.932,23.015,
27,1,6,1:45.264,0,,27.795,0,54.222,0,23.247,0,147.4,11:05.292,14:41:05.292,0:27.795,0:54.222,0:23.247,204.7,Ian JAMES,,LMGT3,,Heart of Racing Team,Aston Martin,GF,27.795,54.222,23.247,
27,1,7,1:51.215,0,B,25.604,0,53.459,0,32.152,0,139.5,12:56.507,14:42:56.507,0:25.604,0:53.459,0:32.152,250.8,Ian JAMES,,LMGT3,,Heart of Racing Team,Aston Martin,FF,25.604,53.459,32.152,
31,1,1,2:06.623,0,,41.113,0,58.660,0,26.850,0,120.4,2:06.623,14:32:06.623,0:41.113,0:58.660,0:26.850,,Darren LEUNG,0:00:11.604,LMGT3,,Team WRT,BMW,GF,41.113,58.660,26.850,
31,1,2,1:49.791,0,,33.317,0,53.254,0,23.220,0,141.3,3:56.414,14:33:56.414,0:33.317,0:53.254,0:23.220,180.0,Darren LEUNG,,LMGT3,,Team WRT,BMW,GF,33.317,53.254,23.220,
31,1,3,1:36.252,0,,24.937,0,48.113,0,23.202,2,161.2,5:32.666,14:35:32.666,0:24.937,0:48.113,0:23.202,240.3,Darren LEUNG,,LMGT3,,Team WRT,BMW,GF,24.937,48.113,23.202,
31,1,4,1:36.026,2,,24.763,2,48.057,0,23.206,0,161.5,7:08.692,14:37:08.692,0:24.763,0:48.057,0:23.206,246.8,Darren LEUNG,,LMGT3,,Team WRT,BMW,GF,24.763,48.057,23.206,
31,1,5,1:36.166,0,,24.772,0,48.045,2,23.349,0,161.3,8:44.858,14:38:44.858,0:24.772,0:48.045,0:23.349,247.9,Darren LEUNG,,LMGT3,,Team WRT,BMW,GF,24.772,48.045,23.349,
31,1,6,1:53.288,0,B,26.665,0,51.467,0,35.156,0,136.9,10:38.146,14:40:38.146,0:26.665,0:51.467,0:35.156,235.6,Darren LEUNG,,LMGT3,,Team WRT,BMW,GF,26.665,51.467,35.156,
46,1,1,2:52.360,0,,1:30.806,0,56.926,0,24.628,0,88.5,2:52.360,14:32:52.360,1:30.806,0:56.926,0:24.628,,Ahmad AL HARTHY,0:01:01.189,LMGT3,,Team WRT,BMW,GF,90.806,56.926,24.628,
46,1,2,1:43.436,0,,26.441,0,53.384,0,23.611,0,150.0,4:35.796,14:34:35.796,0:26.441,0:53.384,0:23.611,219.5,Ahmad AL HARTHY,,LMGT3,,Team WRT,BMW,GF,26.441,53.384,23.611,
46,1,3,1:36.726,0,,25.056,0,48.077,0,23.593,0,160.4,6:12.522,14:36:12.522,0:25.056,0:48.077,0:23.593,249.0,Ahmad AL HARTHY,,LMGT3,,Team WRT,BMW,GF,25.056,48.077,23.593,
46,1,4,1:36.454,0,,24.977,0,48.146,0,23.331,2,160.8,7:48.976,14:37:48.976,0:24.977,0:48.146,0:23.331,249.6,Ahmad AL HARTHY,,LMGT3,,Team WRT,BMW,GF,24.977,48.146,23.331,
46,1,5,1:36.163,2,,24.670,2,48.027,2,23.466,0,161.3,9:25.139,14:39:25.139,0:24.670,0:48.027,0:23.466,250.2,Ahmad AL HARTHY,,LMGT3,,Team WRT,BMW,GF,24.670,48.027,23.466,
46,1,6,1:47.697,0,B,24.714,0,48.463,0,34.520,0,144.0,11:12.836,14:41:12.836,0:24.714,0:48.463,0:34.520,249.6,Ahmad AL HARTHY,,LMGT3,,Team WRT,BMW,GF,24.714,48.463,34.520,
54,1,1,2:35.284,0,,1:13.600,0,56.772,0,24.912,0,98.2,2:35.284,14:32:35.284,1:13.600,0:56.772,0:24.912,,Thomas FLOHR,0:00:44.468,LMGT3,,Vista AF Corse,Ferrari,GF,73.600,56.772,24.912,
54,1,2,1:43.302,0,,26.344,0,53.250,0,23.708,0,150.2,4:18.586,14:34:18.586,0:26.344,0:53.250,0:23.708,217.3,Thomas FLOHR,,LMGT3,,Vista AF Corse,Ferrari,GF,26.344,53.250,23.708,
54,1,3,1:38.066,0,,25.435,0,49.051,0,23.580,0,158.2,5:56.652,14:35:56.652,0:25.435,0:49.051,0:23.580,236.6,Thomas FLOHR,,LMGT3,,Vista AF Corse,Ferrari,GF,25.435,49.051,23.580,
54,1,4,1:35.877,2,,24.725,0,47.668,2,23.484,0,161.8,7:32.529,14:37:32.529,0:24.725,0:47.668,0:23.484,250.8,Thomas FLOHR,,LMGT3,,Vista AF Corse,Ferrari,GF,24.725,47.668,23.484,
54,1,5,1:39.087,0,,24.908,0,50.833,0,23.346,2,156.6,9:11.616,14:39:11.616,0:24.908,0:50.833,0:23.346,246.2,Thomas FLOHR,,LMGT3,,Vista AF Corse,Ferrari,GF,24.908,50.833,23.346,
54,1,6,1:36.659,0,,24.637,2,48.480,0,23.542,0,160.5,10:48.275,14:40:48.275,0:24.637,0:48.480,0:23.542,249.6,Thomas FLOHR,,LMGT3,,Vista AF Corse,Ferrari,GF,24.637,48.480,23.542,
54,1,7,1:45.943,0,B,24.722,0,48.733,0,32.488,0,146.4,12:34.218,14:42:34.218,0:24.722,0:48.733,0:32.488,246.8,Thomas FLOHR,,LMGT3,,Vista AF Corse,Ferrari,FF,24.722,48.733,32.488,
55,1,1,2:54.520,0,,1:33.689,0,56.603,0,24.228,0,87.4,2:54.520,14:32:54.520,1:33.689,0:56.603,0:24.228,,François HERIAU,0:01:08.431,LMGT3,,Vista AF Corse,Ferrari,GF,93.689,56.603,24.228,
55,1,2,1:46.652,0,,26.537,0,56.729,0,23.386,0,145.4,4:41.172,14:34:41.172,0:26.537,0:56.729,0:23.386,216.9,François HERIAU,,LMGT3,,Vista AF Corse,Ferrari,GF,26.537,56.729,23.386,
55,1,3,1:35.620,2,,24.756,0,47.702,2,23.162,2,162.2,6:16.792,14:36:16.792,0:24.756,0:47.702,0:23.162,244.6,François HERIAU,,LMGT3,,Vista AF Corse,Ferrari,GF,24.756,47.702,23.162,
55,1,4,1:35.813,0,,24.612,2,47.913,0,23.288,0,161.9,7:52.605,14:37:52.605,0:24.612,0:47.913,0:23.288,251.3,François HERIAU,,LMGT3,,Vista AF Corse,Ferrari,GF,24.612,47.913,23.288,
55,1,5,1:45.269,0,B,25.250,0,50.124,0,29.895,0,147.4,9:37.874,14:39:37.874,0:25.250,0:50.124,0:29.895,245.1,François HERIAU,,LMGT3,,Vista AF Corse,Ferrari,GF,25.250,50.124,29.895,
59,1,1,2:20.478,0,,57.007,0,57.883,0,25.588,0,108.5,2:20.478,14:32:20.478,0:57.007,0:57.883,0:25.588,,James COTTINGHAM,0:00:16.279,LMGT3,,United Autosports,McLaren,GF,57.007,57.883,25.588,
59,1,2,1:55.807,0,,29.532,0,59.505,0,26.770,0,134.0,4:16.285,14:34:16.285,0:29.532,0:59.505,0:26.770,222.6,James COTTINGHAM,,LMGT3,,United Autosports,McLaren,GF,29.532,59.505,26.770,
59,1,3,1:38.255,0,,25.819,0,49.236,0,23.200,0,157.9,5:54.540,14:35:54.540,0:25.819,0:49.236,0:23.200,240.3,James COTTINGHAM,,LMGT3,,United Autosports,McLaren,GF,25.819,49.236,23.200,
59,1,4,1:35.810,2,,24.715,2,47.931,2,23.164,2,161.9,7:30.350,14:37:30.350,0:24.715,0:47.931,0:23.164,247.3,James COTTINGHAM,,LMGT3,,United Autosports,McLaren,GF,24.715,47.931,23.164,
59,1,5,1:36.104,0,,24.785,0,48.008,0,23.311,0,161.4,9:06.454,14:39:06.454,0:24.785,0:48.008,0:23.311,246.8,James COTTINGHAM,,LMGT3,,United Autosports,McLaren,GF,24.785,48.008,23.311,
59,1,6,1:38.557,0,,24.796,0,50.516,0,23.245,0,157.4,10:45.011,14:40:45.011,0:24.796,0:50.516,0:23.245,245.7,James COTTINGHAM,,LMGT3,,United Autosports,McLaren,GF,24.796,50.516,23.245,
