NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
02,1,1,3:11.562,0,,1:09.205,0,1:01.676,0,1:00.681,0,102.8,3:11.562,09:33:11.562,1:09.205,1:01.676,1:00.681,226.9,Mark Brummond,0:00:37.876,LBCup,,TPC Racing,Lamborghini,GF,
02,1,2,2:13.548,0,,29.078,0,50.995,0,53.475,0,147.5,5:25.110,09:35:25.110,0:29.078,0:50.995,0:53.475,263.4,Mark Brummond,,LBCup,,TPC Racing,Lamborghini,GF,
02,1,3,2:11.573,0,,28.713,0,50.229,0,52.631,0,149.7,7:36.683,09:37:36.683,0:28.713,0:50.229,0:52.631,266.0,Mark Brummond,,LBCup,,TPC Racing,Lamborghini,GF,
02,1,4,2:09.583,2,,28.015,0,49.276,0,52.292,2,152.0,9:46.266,09:39:46.266,0:28.015,0:49.276,0:52.292,266.0,Mark Brummond,,LBCup,,TPC Racing,Lamborghini,GF,
02,1,5,2:19.761,0,B,27.907,2,49.206,2,1:02.648,0,140.9,12:06.027,09:42:06.027,0:27.907,0:49.206,1:02.648,259.6,Mark Brummond,,LBCup,,TPC Racing,Lamborghini,GF,
1,1,1,2:24.771,0,,34.712,0,51.763,0,58.296,0,136.1,2:24.771,09:32:24.771,0:34.712,0:51.763,0:58.296,234.8,Danny Formal,0:00:08.007,Pro,,Wayne Taylor Racing with Andretti,Lamborghini,GF,
1,1,2,2:05.384,3,,26.606,0,47.605,0,51.173,2,157.1,4:30.155,09:34:30.155,0:26.606,0:47.605,0:51.173,271.4,Danny Formal,,Pro,,Wayne Taylor Racing with Andretti,Lamborghini,GF,
1,1,3,2:27.990,0,,28.623,0,55.602,0,1:03.765,0,133.1,6:58.145,09:36:58.145,0:28.623,0:55.602,1:03.765,230.8,Danny Formal,,Pro,,Wayne Taylor Racing with Andretti,Lamborghini,GF,
1,1,4,2:55.947,0,,26.561,0,1:03.810,0,1:25.576,0,112.0,9:54.092,09:39:54.092,0:26.561,1:03.810,1:25.576,101.7,Danny Formal,,Pro,,Wayne Taylor Racing with Andretti,Lamborghini,GF,
1,1,5,2:19.322,0,,26.665,0,48.437,0,1:04.220,0,141.4,12:13.414,09:42:13.414,0:26.665,0:48.437,1:04.220,192.9,Danny Formal,,Pro,,Wayne Taylor Racing with Andretti,Lamborghini,GF,
1,1,6,2:15.605,0,B,26.378,3,47.437,3,1:01.790,0,145.3,14:29.019,09:44:29.019,0:26.378,0:47.437,1:01.790,272.7,Danny Formal,,Pro,,Wayne Taylor Racing with Andretti,Lamborghini,GF,
10,2,1,2:36.716,0,,37.255,0,54.703,0,1:04.758,0,125.7,2:36.716,09:32:36.716,0:37.255,0:54.703,1:04.758,201.5,Graham Doyle,0:00:10.013,Am,,Wayne Taylor Racing with Andretti,Lamborghini,GF,
10,2,2,2:16.353,0,,29.108,0,51.928,0,55.317,0,144.5,4:53.069,09:34:53.069,0:29.108,0:51.928,0:55.317,267.3,Graham Doyle,,Am,,Wayne Taylor Racing with Andretti,Lamborghini,GF,
10,2,3,2:11.111,0,,27.745,0,49.355,0,54.011,0,150.2,7:04.180,09:37:04.180,0:27.745,0:49.355,0:54.011,270.0,Graham Doyle,,Am,,Wayne Taylor Racing with Andretti,Lamborghini,GF,
10,2,4,2:09.233,2,,27.678,0,48.640,2,52.915,2,152.4,9:13.413,09:39:13.413,0:27.678,0:48.640,0:52.915,271.4,Graham Doyle,,Am,,Wayne Taylor Racing with Andretti,Lamborghini,GF,
