POSITION,NUMBER,TEAM,DRIVER_1,DRIVER_2,DRIVER_3,DRIVER_4,VEHICLE,TYRES,CLASS,GROUP,DIVISION,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DRIVER_5,
1,83,AF Corse,Robert KUBICA,Robert SHWARTZMAN,Yifei YE,,Ferrari 499P,M,HYPERCAR,H,,Classified,92,3:00'11.531,,,23,1'53.250,175.2,,
2,7,Toyota Gazoo Racing,Mike CONWAY,Kamui KOBAYASHI,Nyck DE VRIES,,Toyota GR010 - Hybrid,M,HYPERCAR,H,,Classified,92,3:00'20.491,8.960,8.960,85,1'52.994,175.6,,
3,2,Cadillac Racing,Earl BAMBER,Alex LYNN,,,Cadillac V-Series.R,M,HYPERCAR,H,,Classified,92,3:00'27.619,16.088,7.128,81,1'53.300,175.2,,
4,50,Ferrari AF Corse,Antonio FUOCO,Miguel MOLINA,Nicklas NIELSEN,,Ferrari 499P,M,HYPERCAR,H,,Classified,92,3:00'33.353,21.822,5.734,86,1'52.952,175.7,,
5,20,BMW M Team WRT,Sheldon VAN DER LINDE,Robin FRIJNS,René RAST,,BMW M HYBRID V8,M,HYPERCAR,H,,Classified,92,3:00'39.715,28.184,6.362,91,1'53.324,175.1,,
6,8,Toyota Gazoo Racing,Sébastien BUEMI,Brendon HARTLEY,Ryo HIRAKAWA,,Toyota GR010 - Hybrid,M,HYPERCAR,H,,Classified,92,3:01'00.213,48.682,20.498,87,1'53.157,175.4,,
7,35,Alpine Endurance Team,Paul-Loup CHATIN,Ferdinand HABSBURG,Charles MILESI,,Alpine A424,M,HYPERCAR,H,,Classified,92,3:01'35.899,1'24.368,35.686,91,1'53.023,175.6,,
8,93,Peugeot TotalEnergies,Mikkel JENSEN,Nico MÜLLER,Jean-Eric VERGNE,,Peugeot 9X8,M,HYPERCAR,H,,Classified,92,3:01'41.721,1'30.190,5.822,73,1'54.241,173.7,,
9,36,Alpine Endurance Team,Nicolas LAPIERRE,Mick SCHUMACHER,Matthieu VAXIVIERE,,Alpine A424,M,HYPERCAR,H,,Classified,92,3:01'42.994,1'31.463,1.273,53,1'53.791,174.4,,
10,63,Lamborghini Iron Lynx,Mirko BORTOLOTTI,Edoardo MORTARA,Daniil KVYAT,,Lamborghini SC63,M,HYPERCAR,H,,Classified,92,3:01'47.119,1'35.588,4.125,87,1'53.829,174.4,,
11,6,Porsche Penske Motorsport,Kévin ESTRE,André LOTTERER,Laurens VANTHOOR,,Porsche 963,M,HYPERCAR,H,,Classified,92,3:02'02.062,1'50.531,14.943,87,1'53.529,174.8,,
12,99,Proton Competition,Harry TINCKNELL,Neel JANI,Julien ANDLAUER,,Porsche 963,M,HYPERCAR,H,,Classified,92,3:02'03.086,1'51.555,1.024,88,1'53.486,174.9,,
13,15,BMW M Team WRT,Dries VANTHOOR,Raffaele MARCIELLO,Marco WITTMANN,,BMW M HYBRID V8,M,HYPERCAR,H,,Classified,91,3:00'21.960,1 Laps,1 Laps,82,1'53.231,175.3,,
14,38,Hertz Team JOTA,Jenson BUTTON,Philip HANSON,Oliver RASMUSSEN,,Porsche 963,M,HYPERCAR,H,,Classified,91,3:00'33.813,1 Laps,11.853,89,1'53.134,175.4,,
15,5,Porsche Penske Motorsport,Matt CAMPBELL,Michael CHRISTENSEN,Frédéric MAKOWIECKI,,Porsche 963,M,HYPERCAR,H,,Classified,91,3:01'00.717,1 Laps,26.904,73,1'53.591,174.7,,
16,94,Peugeot TotalEnergies,Paul DI RESTA,Loïc DUVAL,Stoffel VANDOORNE,,Peugeot 9X8,M,HYPERCAR,H,,Classified,91,3:01'13.043,1 Laps,12.326,80,1'54.322,173.6,,
17,27,Heart of Racing Team,Ian JAMES,Daniel MANCINELLI,Alex RIBERAS,,Aston Martin Vantage AMR LMGT3,G,LMGT3,,,Classified,82,3:00'32.164,10 Laps,9 Laps,52,2'05.761,157.8,,
18,92,Manthey PureRxcing,Aliaksandr MALYKHIN,Joel STURM,Klaus BACHLER,,Porsche 911 GT3 R LMGT3,G,LMGT3,,,Classified,82,3:00'49.624,10 Laps,17.460,74,2'06.599,156.8,,
19,81,TF Sport,Tom VAN ROMPUY,Rui ANDRADE,Charlie EASTWOOD,,Corvette Z06 LMGT3.R,G,LMGT3,,,Classified,82,3:01'13.308,10 Laps,23.684,73,2'06.683,156.7,,
20,59,United Autosports,James COTTINGHAM,Nicolas COSTA,Grégoire SAUCY,,McLaren 720S LMGT3 Evo,G,LMGT3,,,Classified,82,3:01'17.329,10 Laps,4.021,76,2'07.431,155.7,,
21,46,Team WRT,Ahmad AL HARTHY,Valentino ROSSI,Maxime MARTIN,,BMW M4 LMGT3,G,LMGT3,,,Classified,82,3:01'18.031,10 Laps,0.702,76,2'06.542,156.8,,
22,31,Team WRT,Darren LEUNG,Sean GELAEL,Augusto FARFUS,,BMW M4 LMGT3,G,LMGT3,,,Classified,82,3:01'20.952,10 Laps,2.921,51,2'06.351,157.1,,
23,55,Vista AF Corse,François HERIAU,Simon MANN,Alessio ROVERA,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,82,3:01'31.607,10 Laps,10.655,80,2'06.147,157.3,,
24,77,Proton Competition,Ryan HARDWICK,Zacharie ROBICHON,Benjamin BARKER,,Ford Mustang LMGT3,G,LMGT3,,,Classified,82,3:01'35.053,10 Laps,3.446,80,2'07.254,156.0,,
25,91,Manthey EMA,Yasser SHAHIN,Morris SCHURING,Richard LIETZ,,Porsche 911 GT3 R LMGT3,G,LMGT3,,,Classified,82,3:01'37.295,10 Laps,2.242,73,2'06.188,157.3,,
26,95,United Autosports,Joshua CAYGILL,Nicolas PINO,Marino SATO,,McLaren 720S LMGT3 Evo,G,LMGT3,,,Classified,82,3:01'41.698,10 Laps,4.403,62,2'05.922,157.6,,
27,88,Proton Competition,Ben KEATING,Mikkel PEDERSEN,Dennis OLSEN,,Ford Mustang LMGT3,G,LMGT3,,,Classified,82,3:01'43.447,10 Laps,1.749,53,2'06.648,156.7,,
28,78,Akkodis ASP Team,Arnold ROBIN,Clemens SCHMID,Kelvin VAN DER LINDE,,Lexus RC F LMGT3,G,LMGT3,,,Classified,82,3:01'46.254,10 Laps,2.807,51,2'06.039,157.5,,
29,60,Iron Lynx,Claudio SCHIAVONI,Matteo CRESSONI,Franck PERERA,,Lamborghini Huracan LMGT3 Evo2,G,LMGT3,,,Classified,82,3:02'02.114,10 Laps,15.860,65,2'06.320,157.1,,
30,82,TF Sport,Hiroshi KOIZUMI,Sébastien BAUD,Daniel JUNCADELLA,,Corvette Z06 LMGT3.R,G,LMGT3,,,Classified,81,3:00'19.794,11 Laps,1 Laps,56,2'06.002,157.5,,
31,87,Akkodis ASP Team,Takeshi KIMURA,Esteban MASSON,Jose Maria LOPEZ,,Lexus RC F LMGT3,G,LMGT3,,,Classified,81,3:01'07.691,11 Laps,47.897,53,2'06.672,156.7,,
32,85,Iron Dames,Sarah BOVY,Rahel FREY,Michelle GATTING,,Lamborghini Huracan LMGT3 Evo2,G,LMGT3,,,Classified,79,3:01'13.485,13 Laps,2 Laps,79,2'06.945,156.3,,
