TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1726204228,9/13/2024 5:10:28 AM,27.5,37,74,943.9,3,195,0,
1726204288,9/13/2024 5:11:28 AM,27.6,37.3,75,943.9,3,208,0,
1726204348,9/13/2024 5:12:28 AM,27.7,37.7,74,943.9,4,213,0,
1726204408,9/13/2024 5:13:28 AM,27.8,38,74,943.9,5,215,0,
1726204469,9/13/2024 5:14:29 AM,27.8,38.3,74,943.9,5,221,0,
1726204529,9/13/2024 5:15:29 AM,27.8,38.4,74,943.9,5,225,0,
1726204589,9/13/2024 5:16:29 AM,27.8,38.4,74,943.9,6,225,0,
1726204649,9/13/2024 5:17:29 AM,27.8,38.3,74,944,6,223,0,
1726204709,9/13/2024 5:18:29 AM,27.8,38.2,73,943.9,5,217,0,
1726204769,9/13/2024 5:19:29 AM,27.8,38.3,73,943.9,5,212,0,
1726204829,9/13/2024 5:20:29 AM,27.9,38.5,73,943.9,4,212,0,
1726204889,9/13/2024 5:21:29 AM,27.9,38.3,73,943.9,5,206,0,
1726204949,9/13/2024 5:22:29 AM,27.9,38.4,73,943.9,5,214,0,
1726205009,9/13/2024 5:23:29 AM,27.9,38.6,73,943.9,5,217,0,
1726205069,9/13/2024 5:24:29 AM,27.9,38.5,73,943.9,5,220,0,
1726205130,9/13/2024 5:25:30 AM,28,38.5,73,943.9,5,222,0,
1726205190,9/13/2024 5:26:30 AM,28.1,38.5,73,943.9,4,218,0,
1726205250,9/13/2024 5:27:30 AM,28.1,38.7,73,943.8,5,216,0,
1726205310,9/13/2024 5:28:30 AM,28.1,39,72,943.9,5,212,0,
1726205370,9/13/2024 5:29:30 AM,28,39,72,943.9,6,212,0,
1726205430,9/13/2024 5:30:30 AM,28.1,39.2,73,943.8,7,217,0,
1726205490,9/13/2024 5:31:30 AM,28.1,39.3,72,943.9,7,216,0,
1726205550,9/13/2024 5:32:30 AM,28,39.5,72,943.8,8,220,0,
1726205610,9/13/2024 5:33:30 AM,27.8,39.4,73,943.9,7,221,0,
1726205675,9/13/2024 5:34:35 AM,27.8,39.5,73,943.9,7,218,0,
1726205735,9/13/2024 5:35:35 AM,27.9,39.5,73,943.8,5,222,0,
1726205796,9/13/2024 5:36:36 AM,28,39.4,73,943.9,5,218,0,
1726205856,9/13/2024 5:37:36 AM,28,39.4,72,943.8,4,219,0,
1726205916,9/13/2024 5:38:36 AM,28,39.7,72,943.8,4,221,0,
1726205976,9/13/2024 5:39:36 AM,28,39.5,72,943.8,4,209,0,
1726206036,9/13/2024 5:40:36 AM,28,39.7,72,943.8,5,213,0,
1726206096,9/13/2024 5:41:36 AM,28,39.9,72,943.8,5,212,0,
1726206156,9/13/2024 5:42:36 AM,28.1,39.8,72,943.7,6,208,0,
1726206216,9/13/2024 5:43:36 AM,28,39.9,72,943.7,7,213,0,
1726206276,9/13/2024 5:44:36 AM,28,39.8,72,943.7,7,207,0,
1726206336,9/13/2024 5:45:36 AM,28,39.8,72,943.7,7,208,0,
1726206397,9/13/2024 5:46:37 AM,27.9,39.7,72,943.7,8,206,0,
1726206457,9/13/2024 5:47:37 AM,27.8,39.5,72,943.7,8,210,0,
1726206517,9/13/2024 5:48:37 AM,27.8,39.5,73,943.8,8,214,0,
1726206577,9/13/2024 5:49:37 AM,27.8,39.7,73,943.7,8,217,0,
1726206637,9/13/2024 5:50:37 AM,27.8,39.7,73,943.7,7,219,0,
1726206697,9/13/2024 5:51:37 AM,27.8,39.9,72,943.8,7,223,0,
1726206757,9/13/2024 5:52:37 AM,27.8,40,72,943.8,7,225,0,
1726206817,9/13/2024 5:53:37 AM,27.7,40.1,72,943.8,8,222,0,
1726206877,9/13/2024 5:54:37 AM,27.6,39.8,73,943.7,8,223,0,
1726206937,9/13/2024 5:55:37 AM,27.6,39.7,73,943.7,8,216,0,
1726206997,9/13/2024 5:56:37 AM,27.6,39.8,73,943.8,8,215,0,
1726207058,9/13/2024 5:57:38 AM,27.5,39.6,73,943.8,8,217,0,
1726207118,9/13/2024 5:58:38 AM,27.4,39.2,73,943.7,8,218,0,
1726207178,9/13/2024 5:59:38 AM,27.4,39.1,73,943.7,8,223,0,
1726207238,9/13/2024 6:00:38 AM,27.3,39,73,943.7,7,222,0,
1726207298,9/13/2024 6:01:38 AM,27.3,38.8,74,943.8,7,222,0,
1726207358,9/13/2024 6:02:38 AM,27.2,38.6,74,943.7,6,223,0,
1726207418,9/13/2024 6:03:38 AM,27.2,38.6,74,943.7,5,221,0,
1726207478,9/13/2024 6:04:38 AM,27.3,38.1,74,943.7,6,219,0,
1726207538,9/13/2024 6:05:38 AM,27.2,38.1,74,943.7,6,219,0,
1726207598,9/13/2024 6:06:38 AM,27.2,38.3,74,943.7,6,215,0,
1726207658,9/13/2024 6:07:38 AM,27.2,38.2,74,943.7,7,215,0,
1726207719,9/13/2024 6:08:39 AM,27.1,38.2,75,943.7,7,216,0,
1726207779,9/13/2024 6:09:39 AM,27.2,38.1,75,943.8,7,212,0,
