NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
12,3,1,2:08.784,0,,50.186,0,34.828,0,43.770,0,119.0,2:08.784,10:22:08.784,0:50.186,0:34.828,0:43.770,130.0,Norman NATO,0:00:25.170,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,50.186,34.828,43.770,
12,3,2,1:35.628,0,,23.909,0,30.238,0,41.481,0,171.8,3:44.412,10:23:44.412,0:23.909,0:30.238,0:41.481,269.3,Norman NATO,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,23.909,30.238,41.481,
12,3,3,1:39.944,0,,23.792,0,30.130,0,46.022,0,164.4,5:24.356,10:25:24.356,0:23.792,0:30.130,0:46.022,262.1,Norman NATO,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,23.792,30.130,46.022,
12,3,4,1:31.260,0,,22.355,0,28.607,0,40.298,2,180.0,6:55.616,10:26:55.616,0:22.355,0:28.607,0:40.298,312.1,Norman NATO,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,22.355,28.607,40.298,
12,3,5,1:31.058,2,,22.326,0,28.281,2,40.451,0,180.4,8:26.674,10:28:26.674,0:22.326,0:28.281,0:40.451,313.0,Norman NATO,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,22.326,28.281,40.451,
12,3,6,3:01.786,0,,30.570,0,1:09.395,0,1:21.821,0,90.4,11:28.460,10:31:28.460,0:30.570,1:09.395,1:21.821,237.9,Norman NATO,,HYPERCAR,H,Hertz Team JOTA,Porsche,FCY,30.570,69.395,81.821,
12,3,7,1:49.595,0,,29.732,0,36.725,0,43.138,0,149.9,13:18.055,10:33:18.055,0:29.732,0:36.725,0:43.138,232.3,Norman NATO,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,29.732,36.725,43.138,
12,3,8,1:31.154,0,,22.248,0,28.478,0,40.428,0,180.2,14:49.209,10:34:49.209,0:22.248,0:28.478,0:40.428,314.0,Norman NATO,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,22.248,28.478,40.428,
12,3,9,1:38.337,0,B,22.203,2,28.478,0,47.656,0,167.0,16:27.546,10:36:27.546,0:22.203,0:28.478,0:47.656,314.0,Norman NATO,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,22.203,28.478,47.656,
12,2,10,4:30.614,0,,3:19.951,0,29.148,0,41.515,0,60.7,20:58.160,10:40:58.160,3:19.951,0:29.148,0:41.515,157.9,Callum ILOTT,0:03:01.280,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,199.951,29.148,41.515,
12,2,11,1:32.661,0,,22.690,0,28.996,0,40.975,0,177.3,22:30.821,10:42:30.821,0:22.690,0:28.996,0:40.975,300.0,Callum ILOTT,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,22.690,28.996,40.975,
12,2,12,1:32.044,0,,22.614,0,28.803,0,40.627,1,178.5,24:02.865,10:44:02.865,0:22.614,0:28.803,0:40.627,297.5,Callum ILOTT,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,22.614,28.803,40.627,
12,2,13,1:32.330,0,,22.498,0,28.808,0,41.024,0,177.9,25:35.195,10:45:35.195,0:22.498,0:28.808,0:41.024,301.7,Callum ILOTT,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,22.498,28.808,41.024,
12,2,14,1:33.550,0,,22.549,0,29.180,0,41.821,0,175.6,27:08.745,10:47:08.745,0:22.549,0:29.180,0:41.821,305.1,Callum ILOTT,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,22.549,29.180,41.821,
12,2,15,1:32.083,0,,22.515,0,28.666,1,40.902,0,178.4,28:40.828,10:48:40.828,0:22.515,0:28.666,0:40.902,302.5,Callum ILOTT,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,22.515,28.666,40.902,
12,2,16,1:33.301,0,,22.390,0,30.096,0,40.815,0,176.1,30:14.129,10:50:14.129,0:22.390,0:30.096,0:40.815,303.4,Callum ILOTT,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,22.390,30.096,40.815,
12,2,17,1:32.804,0,,22.720,0,29.242,0,40.842,0,177.0,31:46.933,10:51:46.933,0:22.720,0:29.242,0:40.842,301.7,Callum ILOTT,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,22.720,29.242,40.842,
12,2,18,1:32.312,0,,22.325,1,28.938,0,41.049,0,177.9,33:19.245,10:53:19.245,0:22.325,0:28.938,0:41.049,303.4,Callum ILOTT,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,22.325,28.938,41.049,
12,2,19,1:33.026,0,,22.359,0,29.033,0,41.634,0,176.6,34:52.271,10:54:52.271,0:22.359,0:29.033,0:41.634,306.8,Callum ILOTT,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,22.359,29.033,41.634,
12,2,20,1:32.735,0,,22.532,0,29.100,0,41.103,0,177.1,36:25.006,10:56:25.006,0:22.532,0:29.100,0:41.103,306.8,Callum ILOTT,,HYPERCAR,H,Hertz Team JOTA,Porsche,GF,22.532,29.100,41.103,
12,2,21,2:32.507,0,B,22.488,0,52.077,0,1:17.942,0,107.7,38:57.513,10:58:57.513,0:22.488,0:52.077,1:17.942,307.7,Callum ILOTT,,HYPERCAR,H,Hertz Team JOTA,Porsche,RF,22.488,52.077,77.942,
15,3,1,2:02.051,0,,45.077,0,33.494,0,43.480,0,125.5,2:02.051,10:22:02.051,0:45.077,0:33.494,0:43.480,106.0,Marco WITTMANN,0:00:19.208,HYPERCAR,H,BMW M Team WRT,BMW,GF,45.077,33.494,43.480,
