TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1726300797,9/14/2024 7:59:57 AM,26.7,34.7,75,945.2,5,237,0,
1726300857,9/14/2024 8:00:57 AM,26.7,34.7,75,945.3,5,234,0,
1726300917,9/14/2024 8:01:57 AM,26.7,34.6,75,945.3,5,223,0,
1726300977,9/14/2024 8:02:57 AM,26.7,34.5,76,945.3,5,215,0,
1726301037,9/14/2024 8:03:57 AM,26.6,34.4,76,945.3,4,213,0,
1726301097,9/14/2024 8:04:57 AM,26.7,34.4,76,945.3,4,211,0,
1726301157,9/14/2024 8:05:57 AM,26.7,34.4,75,945.3,3,217,0,
1726301217,9/14/2024 8:06:57 AM,26.7,34.4,75,945.3,3,219,0,
1726301277,9/14/2024 8:07:57 AM,26.7,34.4,75,945.3,3,219,0,
1726301338,9/14/2024 8:08:58 AM,26.7,34.3,76,945.3,3,218,0,
1726301398,9/14/2024 8:09:58 AM,26.6,34.3,75,945.3,3,221,0,
1726301458,9/14/2024 8:10:58 AM,26.6,34.3,76,945.3,4,223,0,
1726301518,9/14/2024 8:11:58 AM,26.6,34.3,76,945.2,5,231,0,
1726301578,9/14/2024 8:12:58 AM,26.5,34.2,76,945.3,6,238,0,
1726301638,9/14/2024 8:13:58 AM,26.5,34.2,76,945.2,7,244,0,
1726301698,9/14/2024 8:14:58 AM,26.5,34.2,76,945.2,8,247,0,
1726301758,9/14/2024 8:15:58 AM,26.5,34.2,76,945.3,7,243,0,
1726301818,9/14/2024 8:16:58 AM,26.5,34.2,76,945.3,6,238,0,
1726301878,9/14/2024 8:17:58 AM,26.5,34.1,76,945.3,5,227,0,
1726301938,9/14/2024 8:18:58 AM,26.4,34.1,76,945.3,4,222,0,
1726301999,9/14/2024 8:19:59 AM,26.4,34.1,77,945.3,4,219,0,
1726302059,9/14/2024 8:20:59 AM,26.4,34,77,945.3,4,218,0,
1726302119,9/14/2024 8:21:59 AM,26.4,34,77,945.3,4,223,0,
1726302179,9/14/2024 8:22:59 AM,26.4,33.8,77,945.3,4,221,0,
1726302239,9/14/2024 8:23:59 AM,26.4,33.9,77,945.3,4,224,0,
