NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
27,1,1,3:13.104,0,,1:43.040,0,49.182,0,40.882,0,96.3,3:13.104,16:23:13.104,1:43.040,0:49.182,0:40.882,95.3,Ian JAMES,0:00:59.987,LMGT3,,Heart of Racing Team,Aston Martin,GF,103.040,49.182,40.882,
27,1,2,2:05.748,0,,39.076,0,46.667,0,40.005,0,154.9,5:18.852,16:25:18.852,0:39.076,0:46.667,0:40.005,247.4,Ian JAMES,,LMGT3,,Heart of Racing Team,Aston Martin,GF,39.076,46.667,40.005,
27,1,3,2:02.949,2,,39.025,2,44.687,2,39.237,2,158.5,7:21.801,16:27:21.801,0:39.025,0:44.687,0:39.237,246.8,Ian JAMES,,LMGT3,,Heart of Racing Team,Aston Martin,GF,39.025,44.687,39.237,
27,1,4,2:17.726,0,B,43.497,0,47.119,0,47.110,0,141.5,9:39.527,16:29:39.527,0:43.497,0:47.119,0:47.110,248.0,Ian JAMES,,LMGT3,,Heart of Racing Team,Aston Martin,GF,43.497,47.119,47.110,
54,1,1,3:28.288,0,,1:51.435,0,51.132,0,45.721,0,89.2,3:28.288,16:23:28.288,1:51.435,0:51.132,0:45.721,154.6,Thomas FLOHR,0:01:12.123,LMGT3,,Vista AF Corse,Ferrari,GF,111.435,51.132,45.721,
54,1,2,2:05.449,0,,39.420,0,45.851,0,40.178,0,155.3,5:33.737,16:25:33.737,0:39.420,0:45.851,0:40.178,244.6,Thomas FLOHR,,LMGT3,,Vista AF Corse,Ferrari,GF,39.420,45.851,40.178,
54,1,3,2:03.516,0,,38.970,0,45.074,0,39.472,0,157.7,7:37.253,16:27:37.253,0:38.970,0:45.074,0:39.472,250.3,Thomas FLOHR,,LMGT3,,Vista AF Corse,Ferrari,GF,38.970,45.074,39.472,
54,1,4,2:03.033,2,,39.009,0,44.846,2,39.178,2,158.4,9:40.286,16:29:40.286,0:39.009,0:44.846,0:39.178,249.7,Thomas FLOHR,,LMGT3,,Vista AF Corse,Ferrari,GF,39.009,44.846,39.178,
54,1,5,2:03.576,0,,38.855,2,45.499,0,39.222,0,157.7,11:43.862,16:31:43.862,0:38.855,0:45.499,0:39.222,250.8,Thomas FLOHR,,LMGT3,,Vista AF Corse,Ferrari,FF,38.855,45.499,39.222,
55,1,1,3:19.825,0,,1:47.164,0,49.776,0,42.885,0,93.0,3:19.825,16:23:19.825,1:47.164,0:49.776,0:42.885,153.5,François HERIAU,0:01:07.748,LMGT3,,Vista AF Corse,Ferrari,GF,107.164,49.776,42.885,
