TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1740655933,2/27/2025 11:32:13 AM,59.36,66.92,59,1018.1,11,309,0,
1740655993,2/27/2025 11:33:13 AM,59.36,66.92,59,1018.2,11,303,0,
1740656053,2/27/2025 11:34:13 AM,59.36,66.74,57,1018.2,11,308,0,
1740656113,2/27/2025 11:35:13 AM,59.54,66.92,56,1018.2,11,302,0,
1740656178,2/27/2025 11:36:18 AM,59.54,66.74,55,1018.1,12,313,0,
1740656238,2/27/2025 11:37:18 AM,59.54,66.56,55,1018.1,11,324,0,
1740656303,2/27/2025 11:38:23 AM,59.72,66.74,55,1018.1,11,325,0,
1740656363,2/27/2025 11:39:23 AM,59.72,66.56,55,1018.1,11,324,0,
1740656423,2/27/2025 11:40:23 AM,59.72,66.56,56,1018.1,12,330,0,
1740656484,2/27/2025 11:41:24 AM,59.72,66.38,58,1018.1,12,330,0,
1740656544,2/27/2025 11:42:24 AM,59.72,66.56,59,1018.2,12,336,0,
1740656604,2/27/2025 11:43:24 AM,59.54,66.38,60,1018.2,12,341,0,
1740656664,2/27/2025 11:44:24 AM,59.54,66.2,61,1018.2,13,335,0,
1740656724,2/27/2025 11:45:24 AM,59.54,66.38,61,1018.2,13,334,0,
1740656784,2/27/2025 11:46:24 AM,59.36,66.2,62,1018.2,13,321,0,
1740656844,2/27/2025 11:47:24 AM,59.54,66.38,62,1018.2,12,320,0,
1740656904,2/27/2025 11:48:24 AM,59.54,66.56,62,1018.2,12,321,0,
1740656964,2/27/2025 11:49:24 AM,59.54,66.56,62,1018.1,12,327,0,
1740657024,2/27/2025 11:50:24 AM,59.54,66.38,63,1018.1,12,327,0,
1740657085,2/27/2025 11:51:25 AM,59.54,66.74,63,1018.1,11,339,0,
1740657145,2/27/2025 11:52:25 AM,59.54,66.74,63,1018.1,11,339,0,
1740657210,2/27/2025 11:53:30 AM,59.54,66.74,63,1018.1,11,333,0,
1740657270,2/27/2025 11:54:30 AM,59.54,66.56,63,1018,11,332,0,
1740657330,2/27/2025 11:55:30 AM,59.54,66.56,63,1018,11,333,0,
1740657390,2/27/2025 11:56:30 AM,59.54,66.56,63,1018.1,11,332,0,
1740657450,2/27/2025 11:57:30 AM,59.54,66.56,63,1018.1,11,332,0,
1740657510,2/27/2025 11:58:30 AM,59.54,66.56,63,1018.2,12,338,0,
1740657570,2/27/2025 11:59:30 AM,59.36,66.38,63,1018.2,12,338,0,
1740657630,2/27/2025 12:00:30 PM,59.36,66.38,63,1018.3,12,338,0,
1740657690,2/27/2025 12:01:30 PM,59.36,66.38,64,1018.2,13,328,0,
1740657751,2/27/2025 12:02:31 PM,59.36,66.38,64,1018.3,13,321,0,
