NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
1,1,1,1:56.573,0,,43.744,0,38.130,0,34.699,0,158.7,1:56.573,21:00:55.946,0:43.744,0:38.130,0:34.699,,Enzo DELIGNY,,,,R-ace GP,,GF,43.744,38.130,34.699,
1,1,2,1:53.886,0,,42.134,0,37.420,0,34.332,0,171.3,3:50.459,21:02:49.832,0:42.134,0:37.420,0:34.332,236.8,Enzo DELIGNY,,,,R-ace GP,,GF,42.134,37.420,34.332,
1,1,3,1:54.363,0,,41.956,0,37.531,0,34.876,0,170.6,5:44.822,21:04:44.195,0:41.956,0:37.531,0:34.876,233.8,Enzo DELIGNY,,,,R-ace GP,,GF,41.956,37.531,34.876,
1,1,4,1:53.655,0,,41.872,0,37.566,0,34.217,0,171.6,7:38.477,21:06:37.850,0:41.872,0:37.566,0:34.217,234.8,Enzo DELIGNY,,,,R-ace GP,,GF,41.872,37.566,34.217,
1,1,5,1:54.209,0,,42.230,0,37.507,0,34.472,0,170.8,9:32.686,21:08:32.059,0:42.230,0:37.507,0:34.472,235.3,Enzo DELIGNY,,,,R-ace GP,,GF,42.230,37.507,34.472,
1,1,6,1:53.169,0,,41.825,0,37.239,0,34.105,0,172.4,11:25.855,21:10:25.228,0:41.825,0:37.239,0:34.105,233.8,Enzo DELIGNY,,,,R-ace GP,,GF,41.825,37.239,34.105,
1,1,7,1:53.374,0,,41.572,0,37.511,0,34.291,0,172.0,13:19.229,21:12:18.602,0:41.572,0:37.511,0:34.291,234.3,Enzo DELIGNY,,,,R-ace GP,,GF,41.572,37.511,34.291,
1,1,8,1:53.410,0,,41.522,0,37.466,0,34.422,0,172.0,15:12.639,21:14:12.012,0:41.522,0:37.466,0:34.422,233.8,Enzo DELIGNY,,,,R-ace GP,,GF,41.522,37.466,34.422,
1,1,9,1:54.471,0,,41.607,0,37.745,0,35.119,0,170.4,17:07.110,21:16:06.483,0:41.607,0:37.745,0:35.119,233.8,Enzo DELIGNY,,,,R-ace GP,,GF,41.607,37.745,35.119,
1,1,10,1:54.262,0,,41.885,0,37.658,0,34.719,0,170.7,19:01.372,21:18:00.745,0:41.885,0:37.658,0:34.719,237.4,Enzo DELIGNY,,,,R-ace GP,,GF,41.885,37.658,34.719,
1,1,11,1:52.330,0,,41.195,0,37.113,0,34.022,0,173.6,20:53.702,21:19:53.075,0:41.195,0:37.113,0:34.022,234.3,Enzo DELIGNY,,,,R-ace GP,,GF,41.195,37.113,34.022,
1,1,12,1:53.014,0,,41.121,0,37.282,0,34.611,0,172.6,22:46.716,21:21:46.089,0:41.121,0:37.282,0:34.611,236.3,Enzo DELIGNY,,,,R-ace GP,,GF,41.121,37.282,34.611,
1,1,13,1:53.044,0,,41.181,0,37.444,0,34.419,0,172.5,24:39.760,21:23:39.133,0:41.181,0:37.444,0:34.419,238.9,Enzo DELIGNY,,,,R-ace GP,,GF,41.181,37.444,34.419,
1,1,14,1:51.295,0,,40.885,0,36.762,0,33.648,3,175.3,26:31.055,21:25:30.428,0:40.885,0:36.762,0:33.648,240.0,Enzo DELIGNY,,,,R-ace GP,,GF,40.885,36.762,33.648,
1,1,15,1:51.241,0,,40.627,3,36.611,0,34.003,0,175.3,28:22.296,21:27:21.669,0:40.627,0:36.611,0:34.003,233.8,Enzo DELIGNY,,,,R-ace GP,,GF,40.627,36.611,34.003,
1,1,16,1:51.166,3,,40.850,0,36.592,3,33.724,0,175.5,30:13.462,21:29:12.835,0:40.850,0:36.592,0:33.724,233.3,Enzo DELIGNY,,,,R-ace GP,,FF,40.850,36.592,33.724,
10,1,1,1:59.817,0,,45.501,0,38.478,0,35.838,0,154.4,1:59.817,21:00:59.190,0:45.501,0:38.478,0:35.838,,Nikita BEDRIN,,,,SAINTELOC RACING,,GF,45.501,38.478,35.838,
10,1,2,1:55.612,0,,42.309,0,38.031,0,35.272,0,168.7,3:55.429,21:02:54.802,0:42.309,0:38.031,0:35.272,235.8,Nikita BEDRIN,,,,SAINTELOC RACING,,GF,42.309,38.031,35.272,
