TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1744967743,4/18/2025 9:15:43 AM,14.7,16.2,68,1009.3,6,261,0,
1744967803,4/18/2025 9:16:43 AM,14.7,16.2,68,1009.3,6,261,0,
1744967864,4/18/2025 9:17:44 AM,14.8,16.3,68,1009.3,6,247,0,
1744967924,4/18/2025 9:18:44 AM,14.8,16.2,67,1009.3,9,271,0,
1744967984,4/18/2025 9:19:44 AM,14.9,16.3,67,1009.3,7,258,0,
1744968044,4/18/2025 9:20:44 AM,15,16.6,68,1009.3,4,218,0,
1744968104,4/18/2025 9:21:44 AM,15.2,16.8,67,1009.3,5,194,0,
1744968164,4/18/2025 9:22:44 AM,15.3,17.2,67,1009.3,5,232,0,
1744968224,4/18/2025 9:23:44 AM,15.3,17.2,67,1009.3,5,232,0,
1744968284,4/18/2025 9:24:44 AM,15.4,17.2,66,1009.4,3,234,0,
1744968344,4/18/2025 9:25:44 AM,15.4,17.2,66,1009.4,3,234,0,
1744968404,4/18/2025 9:26:44 AM,15.6,17.3,66,1009.3,2,176,0,
1744968464,4/18/2025 9:27:44 AM,15.7,17.5,66,1009.3,3,270,0,
1744968525,4/18/2025 9:28:45 AM,15.7,17.5,66,1009.3,3,270,0,
1744968585,4/18/2025 9:29:45 AM,15.7,17.3,66,1009.4,6,205,0,
1744968645,4/18/2025 9:30:45 AM,15.6,17.2,66,1009.4,3,321,0,
1744968705,4/18/2025 9:31:45 AM,15.6,17.2,66,1009.3,4,184,0,
1744968765,4/18/2025 9:32:45 AM,15.7,17.1,66,1009.4,5,228,0,
1744968825,4/18/2025 9:33:45 AM,15.5,17,66,1009.4,6,262,0,
1744968885,4/18/2025 9:34:45 AM,15.5,17.1,65,1009.4,4,278,0,
1744968945,4/18/2025 9:35:45 AM,15.6,16.8,65,1009.4,6,238,0,
1744969005,4/18/2025 9:36:45 AM,15.3,16.7,65,1009.4,7,263,0,
1744969065,4/18/2025 9:37:45 AM,15.4,16.7,65,1009.5,5,265,0,
1744969126,4/18/2025 9:38:46 AM,15.4,16.7,66,1009.4,5,257,0,
1744969186,4/18/2025 9:39:46 AM,15.4,16.7,64,1009.4,3,255,0,
1744969246,4/18/2025 9:40:46 AM,15.5,16.7,65,1009.4,5,227,0,
1744969306,4/18/2025 9:41:46 AM,15.4,16.7,65,1009.4,8,245,0,
1744969366,4/18/2025 9:42:46 AM,15.5,16.7,65,1009.3,6,243,0,
1744969426,4/18/2025 9:43:46 AM,15.5,16.7,64,1009.3,6,241,0,
1744969486,4/18/2025 9:44:46 AM,15.3,16.6,64,1009.3,8,277,0,
1744969546,4/18/2025 9:45:46 AM,15.4,16.6,64,1009.4,7,273,0,
1744969606,4/18/2025 9:46:46 AM,15.6,16.7,65,1009.3,4,201,0,
1744969666,4/18/2025 9:47:46 AM,15.5,16.8,64,1009.4,4,178,0,
1744969726,4/18/2025 9:48:46 AM,15.3,16.7,64,1009.3,10,247,0,
1744969787,4/18/2025 9:49:47 AM,15.6,16.7,64,1009.4,5,178,0,
1744969847,4/18/2025 9:50:47 AM,15.6,16.7,64,1009.4,5,178,0,
1744969907,4/18/2025 9:51:47 AM,15.5,16.6,64,1009.4,7,237,0,
1744969967,4/18/2025 9:52:47 AM,15.4,16.6,64,1009.4,5,221,0,
1744970027,4/18/2025 9:53:47 AM,15.5,16.7,64,1009.4,4,250,0,
1744970087,4/18/2025 9:54:47 AM,15.5,16.8,64,1009.4,6,229,0,
1744970147,4/18/2025 9:55:47 AM,15.6,17,64,1009.4,3,317,0,
1744970207,4/18/2025 9:56:47 AM,15.3,17,63,1009.4,8,268,0,
1744970267,4/18/2025 9:57:47 AM,15.4,17.1,64,1009.4,4,271,0,
1744970327,4/18/2025 9:58:47 AM,15.4,17.1,64,1009.4,4,271,0,
1744970387,4/18/2025 9:59:47 AM,15.3,17.2,64,1009.4,6,256,0,
1744970448,4/18/2025 10:00:48 AM,15.3,17.2,64,1009.4,6,256,0,
1744970508,4/18/2025 10:01:48 AM,15.5,17.2,64,1009.4,6,198,0,
1744970568,4/18/2025 10:02:48 AM,15.5,17.3,63,1009.4,3,192,0,
1744970628,4/18/2025 10:03:48 AM,15.7,17.5,63,1009.5,4,192,0,
1744970688,4/18/2025 10:04:48 AM,15.8,17.5,62,1009.4,6,219,0,
1744970748,4/18/2025 10:05:48 AM,15.8,17.5,62,1009.4,6,219,0,
1744970808,4/18/2025 10:06:48 AM,15.9,17.5,63,1009.4,8,182,0,
1744970868,4/18/2025 10:07:48 AM,15.9,17.6,62,1009.3,5,237,0,
1744970928,4/18/2025 10:08:48 AM,16,17.7,63,1009.3,4,177,0,
