TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1745069573,4/19/2025 1:32:53 PM,21.9,37,40,1009.9,5,276,0,
1745069633,4/19/2025 1:33:53 PM,21.6,36.6,42,1009.9,7,284,0,
1745069693,4/19/2025 1:34:53 PM,21.9,36.6,41,1010,3,202,0,
1745069753,4/19/2025 1:35:53 PM,22,36.8,40,1009.9,5,325,0,
1745069813,4/19/2025 1:36:53 PM,22.3,36.8,40,1009.9,3,320,0,
1745069873,4/19/2025 1:37:53 PM,22.3,37,40,1009.8,4,200,0,
1745069934,4/19/2025 1:38:54 PM,22.2,37,40,1009.8,5,272,0,
1745069994,4/19/2025 1:39:54 PM,22.6,37.1,40,1009.8,3,294,0,
1745070054,4/19/2025 1:40:54 PM,22.3,37.1,40,1009.9,4,145,0,
1745070114,4/19/2025 1:41:54 PM,22.1,37.1,40,1009.8,4,118,0,
