TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1746693060,5/8/2025 8:31:00 AM,53.6,52.16,37,969.5,13,327,0,
1746693120,5/8/2025 8:32:00 AM,53.42,52.16,37,969.5,12,325,0,
1746693180,5/8/2025 8:33:00 AM,53.6,52.16,37,969.5,12,323,0,
1746693240,5/8/2025 8:34:00 AM,53.6,52.16,36,969.5,12,324,0,
1746693300,5/8/2025 8:35:00 AM,54.14,52.16,36,969.5,5,324,0,
1746693361,5/8/2025 8:36:01 AM,54.68,52.34,35,969.5,2,178,0,
1746693421,5/8/2025 8:37:01 AM,54.68,52.34,35,969.4,6,108,0,
1746693481,5/8/2025 8:38:01 AM,54.14,52.34,36,969.4,8,96,0,
1746693541,5/8/2025 8:39:01 AM,53.96,52.7,36,969.4,11,93,0,
1746693601,5/8/2025 8:40:01 AM,54.14,52.7,36,969.4,10,122,0,
1746693661,5/8/2025 8:41:01 AM,54.14,52.88,36,969.4,10,74,0,
1746693721,5/8/2025 8:42:01 AM,54.32,52.88,36,969.5,8,52,0,
1746693781,5/8/2025 8:43:01 AM,55.04,52.88,36,969.4,4,96,0,
1746693841,5/8/2025 8:44:01 AM,54.86,52.88,35,969.4,3,50,0,
1746693901,5/8/2025 8:45:01 AM,55.22,52.88,35,969.4,6,334,0,
1746693961,5/8/2025 8:46:01 AM,55.04,52.88,35,969.4,8,74,0,
1746694022,5/8/2025 8:47:02 AM,54.68,52.88,36,969.4,8,64,0,
1746694082,5/8/2025 8:48:02 AM,54.86,52.88,36,969.4,5,67,0,
1746694142,5/8/2025 8:49:02 AM,54.86,52.88,35,969.4,8,60,0,
1746694202,5/8/2025 8:50:02 AM,55.4,52.88,35,969.4,3,53,0,
1746694262,5/8/2025 8:51:02 AM,55.58,52.88,34,969.5,3,74,0,
1746694322,5/8/2025 8:52:02 AM,55.04,53.06,35,969.5,7,322,0,
1746694382,5/8/2025 8:53:02 AM,54.68,52.88,35,969.5,6,278,0,
1746694442,5/8/2025 8:54:02 AM,55.04,52.88,35,969.5,3,154,0,
1746694502,5/8/2025 8:55:02 AM,55.04,52.88,34,969.4,4,87,0,
1746694562,5/8/2025 8:56:02 AM,55.58,52.88,35,969.4,3,73,0,
1746694622,5/8/2025 8:57:02 AM,55.76,52.88,35,969.4,5,94,0,
1746694683,5/8/2025 8:58:03 AM,55.4,53.06,35,969.5,6,55,0,
1746694743,5/8/2025 8:59:03 AM,55.22,53.06,36,969.4,7,80,0,
1746694803,5/8/2025 9:00:03 AM,55.94,53.24,35,969.4,4,93,0,
1746694863,5/8/2025 9:01:03 AM,56.3,53.24,35,969.5,3,104,0,
1746694923,5/8/2025 9:02:03 AM,55.94,53.6,35,969.4,5,129,0,
1746694983,5/8/2025 9:03:03 AM,54.86,53.6,36,969.3,7,129,0,
1746695043,5/8/2025 9:04:03 AM,55.04,53.6,36,969.3,7,87,0,
1746695103,5/8/2025 9:05:03 AM,55.22,53.78,36,969.4,8,92,0,
1746695163,5/8/2025 9:06:03 AM,55.58,53.78,36,969.5,8,39,0,
1746695223,5/8/2025 9:07:03 AM,54.86,53.78,36,969.4,7,301,0,
1746695284,5/8/2025 9:08:04 AM,55.58,53.96,35,969.4,4,137,0,
1746695344,5/8/2025 9:09:04 AM,55.22,53.96,35,969.4,9,75,0,
