NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
10,1,1,4:09.539,0,,2:14.865,0,1:14.100,0,40.574,0,99.3,4:09.539,14:44:09.539,2:14.865,1:14.100,0:40.574,105.6,Derek DEBOER,0:01:25.267,LMGT3,,Racing Spirit of Leman,Aston Martin,GF,134.865,74.100,40.574,
10,1,2,2:30.531,0,,41.674,0,1:07.102,0,41.755,0,167.5,6:40.070,14:46:40.070,0:41.674,1:07.102,0:41.755,250.3,Derek DEBOER,,LMGT3,,Racing Spirit of Leman,Aston Martin,GF,41.674,67.102,41.755,
10,1,3,2:20.586,0,,40.565,0,1:04.463,0,35.558,2,179.4,9:00.656,14:49:00.656,0:40.565,1:04.463,0:35.558,255.0,Derek DEBOER,,LMGT3,,Racing Spirit of Leman,Aston Martin,GF,40.565,64.463,35.558,
10,1,4,2:20.258,0,,40.142,0,1:04.427,0,35.689,0,179.8,11:20.914,14:51:20.914,0:40.142,1:04.427,0:35.689,255.6,Derek DEBOER,,LMGT3,,Racing Spirit of Leman,Aston Martin,GF,40.142,64.427,35.689,
10,1,5,2:19.736,2,,40.127,2,1:03.859,2,35.750,0,180.4,13:40.650,14:53:40.650,0:40.127,1:03.859,0:35.750,255.0,Derek DEBOER,,LMGT3,,Racing Spirit of Leman,Aston Martin,GF,40.127,63.859,35.750,
10,1,6,2:36.381,0,B,40.155,0,1:07.308,0,48.918,0,161.2,16:17.031,14:56:17.031,0:40.155,1:07.308,0:48.918,257.4,Derek DEBOER,,LMGT3,,Racing Spirit of Leman,Aston Martin,FF,40.155,67.308,48.918,
21,1,1,2:40.998,0,,42.737,0,1:13.985,0,44.276,0,153.9,2:40.998,14:42:40.998,0:42.737,1:13.985,0:44.276,229.1,François HERIAU,0:00:04.303,LMGT3,,Vista AF Corse,Ferrari,GF,42.737,73.985,44.276,
21,1,2,2:36.627,0,,42.494,0,1:12.626,0,41.507,0,161.0,5:17.625,14:45:17.625,0:42.494,1:12.626,0:41.507,153.9,François HERIAU,,LMGT3,,Vista AF Corse,Ferrari,GF,42.494,72.626,41.507,
21,1,3,2:19.462,0,,40.037,0,1:03.860,0,35.565,2,180.8,7:37.087,14:47:37.087,0:40.037,1:03.860,0:35.565,256.2,François HERIAU,,LMGT3,,Vista AF Corse,Ferrari,GF,40.037,63.860,35.565,
21,1,4,2:19.223,3,,39.963,2,1:03.689,2,35.571,0,181.1,9:56.310,14:49:56.310,0:39.963,1:03.689,0:35.571,256.8,François HERIAU,,LMGT3,,Vista AF Corse,Ferrari,GF,39.963,63.689,35.571,
