TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1746861590,5/10/2025 7:19:50 AM,56.48,51.98,41,973.3,4,148,0,
1746861650,5/10/2025 7:20:50 AM,57.02,52.16,41,973.3,4,142,0,
1746861710,5/10/2025 7:21:50 AM,56.66,52.16,40,973.3,7,160,0,
1746861771,5/10/2025 7:22:51 AM,56.48,52.16,41,973.4,5,171,0,
1746861831,5/10/2025 7:23:51 AM,56.84,52.16,41,973.3,7,177,0,
1746861891,5/10/2025 7:24:51 AM,56.66,52.34,40,973.4,5,165,0,
1746861951,5/10/2025 7:25:51 AM,56.3,52.34,41,973.4,4,156,0,
1746862011,5/10/2025 7:26:51 AM,56.48,52.34,42,973.3,5,147,0,
1746862071,5/10/2025 7:27:51 AM,56.66,52.34,43,973.3,4,152,0,
1746862131,5/10/2025 7:28:51 AM,57.02,52.34,41,973.3,7,164,0,
1746862191,5/10/2025 7:29:51 AM,56.84,52.7,42,973.3,6,140,0,
1746862251,5/10/2025 7:30:51 AM,56.66,52.7,41,973.3,7,102,0,
1746862311,5/10/2025 7:31:51 AM,56.84,52.7,40,973.4,6,79,0,
1746862371,5/10/2025 7:32:51 AM,56.84,52.7,41,973.3,6,119,0,
1746862432,5/10/2025 7:33:52 AM,57.2,52.7,41,973.3,4,107,0,
1746862492,5/10/2025 7:34:52 AM,57.56,52.7,40,973.3,2,92,0,
1746862552,5/10/2025 7:35:52 AM,57.92,52.7,39,973.3,7,136,0,
1746862612,5/10/2025 7:36:52 AM,57.2,52.88,40,973.3,7,158,0,
1746862672,5/10/2025 7:37:52 AM,57.56,52.88,41,973.3,6,170,0,
1746862732,5/10/2025 7:38:52 AM,57.56,52.88,40,973.3,6,167,0,
1746862792,5/10/2025 7:39:52 AM,57.74,52.88,39,973.3,5,107,0,
1746862852,5/10/2025 7:40:52 AM,58.1,52.88,39,973.2,3,85,0,
1746862912,5/10/2025 7:41:52 AM,57.92,52.88,39,973.3,5,93,0,
1746862972,5/10/2025 7:42:52 AM,58.28,52.88,39,973.3,5,122,0,
1746863033,5/10/2025 7:43:53 AM,57.74,53.06,39,973.4,6,160,0,
1746863093,5/10/2025 7:44:53 AM,57.74,53.06,40,973.3,4,160,0,
1746863153,5/10/2025 7:45:53 AM,58.1,53.06,40,973.3,3,125,0,
1746863213,5/10/2025 7:46:53 AM,57.92,53.06,39,973.3,6,158,0,
1746863273,5/10/2025 7:47:53 AM,58.28,53.06,39,973.3,7,184,0,
1746863333,5/10/2025 7:48:53 AM,58.1,53.06,39,973.3,3,171,0,
1746863393,5/10/2025 7:49:53 AM,58.28,53.24,40,973.2,8,155,0,
1746863453,5/10/2025 7:50:53 AM,57.92,53.24,38,973.3,7,160,0,
1746863513,5/10/2025 7:51:53 AM,57.56,53.24,39,973.3,5,153,0,
1746863573,5/10/2025 7:52:53 AM,58.28,53.24,40,973.2,7,149,0,
