NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,SCL2_time,SCL2_elapsed,Z4_time,Z4_elapsed,IP1_time,IP1_elapsed,Z12_time,Z12_elapsed,SCLC_time,SCLC_elapsed,A7-1_time,A7-1_elapsed,IP2_time,IP2_elapsed,A8-1_time,A8-1_elapsed,SCLB_time,SCLB_elapsed,PORIN_time,PORIN_elapsed,POROUT_time,POROUT_elapsed,PITREF_time,PITREF_elapsed,SCL1_time,SCL1_elapsed,FORDOUT_time,FORDOUT_elapsed,FL_time,FL_elapsed,
007,3,1,5:06.908,0,,1:59.055,0,1:27.215,0,1:40.638,0,158.1,5:06.908,14:05:06.908,1:59.055,1:27.215,1:40.638,253.3,Ross GUNN,0:01:16.877,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,119.055,87.215,100.638,1:23.038,1:23.038,15.093,1:38.131,20.924,1:59.055,37.860,2:36.915,4.930,2:41.845,26.960,3:08.805,17.465,3:26.270,6.926,3:33.196,37.798,4:10.994,17.203,4:28.197,17.359,4:45.556,7.891,4:53.447,2.818,4:56.265,7.172,5:03.437,3.471,5:06.908,
007,3,2,3:37.299,0,,33.338,0,1:19.976,1,1:43.985,0,225.7,8:44.207,14:08:44.207,0:33.338,1:19.976,1:43.985,337.0,Ross GUNN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,FCY,33.338,79.976,103.985,8.055,8.055,10.327,18.382,14.956,33.338,32.901,1:06.239,4.723,1:10.962,25.502,1:36.464,16.850,1:53.314,6.610,1:59.924,37.029,2:36.953,16.862,2:53.815,15.907,3:09.722,7.935,3:17.657,3.406,3:21.063,9.250,3:30.313,6.986,3:37.299,
007,3,3,5:33.102,0,,1:25.021,0,2:27.680,0,1:40.401,0,147.3,14:17.309,14:14:17.309,1:25.021,2:27.680,1:40.401,136.2,Ross GUNN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,85.021,147.680,100.401,25.738,25.738,20.897,46.635,38.386,1:25.021,1:36.592,3:01.613,4.816,3:06.429,27.821,3:34.250,18.451,3:52.701,6.829,3:59.530,37.170,4:36.700,17.073,4:53.773,17.896,5:11.669,8.252,5:19.921,2.818,5:22.739,6.817,5:29.556,3.546,5:33.102,
007,3,4,3:31.428,0,,33.194,0,1:20.547,0,1:37.687,0,232.0,17:48.737,14:17:48.737,0:33.194,1:20.547,1:37.687,330.8,Ross GUNN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.194,80.547,97.687,8.127,8.127,10.256,18.383,14.811,33.194,33.049,1:06.243,4.760,1:11.003,25.759,1:36.762,16.979,1:53.741,6.693,2:00.434,36.771,2:37.205,16.961,2:54.166,16.575,3:10.741,7.990,3:18.731,2.711,3:21.442,6.435,3:27.877,3.551,3:31.428,
007,3,5,3:30.095,0,,33.154,0,1:20.475,0,1:36.466,0,233.5,21:18.832,14:21:18.832,0:33.154,1:20.475,1:36.466,329.8,Ross GUNN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.154,80.475,96.466,8.126,8.126,10.229,18.355,14.799,33.154,33.140,1:06.294,4.758,1:11.052,25.582,1:36.634,16.995,1:53.629,6.717,2:00.346,36.604,2:36.950,16.909,2:53.859,15.742,3:09.601,7.814,3:17.415,2.635,3:20.050,6.417,3:26.467,3.628,3:30.095,
007,3,6,3:30.718,0,,33.062,1,1:20.851,0,1:36.805,0,232.8,24:49.550,14:24:49.550,0:33.062,1:20.851,1:36.805,330.8,Ross GUNN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.062,80.851,96.805,8.141,8.141,10.137,18.278,14.784,33.062,33.161,1:06.223,4.756,1:10.979,25.946,1:36.925,16.988,1:53.913,6.776,2:00.689,36.653,2:37.342,16.892,2:54.234,15.985,3:10.219,7.890,3:18.109,2.661,3:20.770,6.421,3:27.191,3.527,3:30.718,
007,3,7,3:31.816,0,,33.239,0,1:20.952,0,1:37.625,0,231.6,28:21.366,14:28:21.366,0:33.239,1:20.952,1:37.625,323.9,Ross GUNN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.239,80.952,97.625,8.089,8.089,10.204,18.293,14.946,33.239,33.325,1:06.564,4.807,1:11.371,25.861,1:37.232,16.959,1:54.191,6.782,2:00.973,36.835,2:37.808,17.056,2:54.864,16.288,3:11.152,7.919,3:19.071,2.720,3:21.791,6.442,3:28.233,3.583,3:31.816,
007,3,8,3:32.449,0,,33.457,0,1:20.740,0,1:38.252,0,230.9,31:53.815,14:31:53.815,0:33.457,1:20.740,1:38.252,322.0,Ross GUNN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.457,80.740,98.252,8.164,8.164,10.386,18.550,14.907,33.457,33.178,1:06.635,4.751,1:11.386,25.788,1:37.174,17.023,1:54.197,6.778,2:00.975,36.967,2:37.942,17.017,2:54.959,16.421,3:11.380,8.157,3:19.537,2.738,3:22.275,6.608,3:28.883,3.566,3:32.449,
007,3,9,3:36.925,0,,35.031,0,1:21.234,0,1:40.660,0,226.1,35:30.740,14:35:30.740,0:35.031,1:21.234,1:40.660,323.9,Ross GUNN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,35.031,81.234,100.660,8.143,8.143,11.343,19.486,15.545,35.031,33.395,1:08.426,4.734,1:13.160,26.019,1:39.179,17.086,1:56.265,6.748,2:03.013,39.568,2:42.581,17.284,2:59.865,16.135,3:16.000,7.917,3:23.917,2.794,3:26.711,6.559,3:33.270,3.655,3:36.925,
007,3,10,3:30.993,0,,33.847,0,1:20.702,0,1:36.444,1,232.5,39:01.733,14:39:01.733,0:33.847,1:20.702,1:36.444,333.9,Ross GUNN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.847,80.702,96.444,8.226,8.226,10.605,18.831,15.016,33.847,33.293,1:07.140,4.775,1:11.915,25.657,1:37.572,16.977,1:54.549,6.806,2:01.355,36.537,2:37.892,16.800,2:54.692,15.735,3:10.427,7.867,3:18.294,2.728,3:21.022,6.370,3:27.392,3.601,3:30.993,
007,3,11,3:40.530,0,B,34.207,0,1:21.071,0,1:45.252,0,222.4,42:42.263,14:42:42.263,0:34.207,1:21.071,1:45.252,327.8,Ross GUNN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,34.207,81.071,105.252,8.094,8.094,10.482,18.576,15.631,34.207,33.644,1:07.851,4.715,1:12.566,25.650,1:38.216,17.062,1:55.278,6.810,2:02.088,37.500,2:39.588,16.887,2:56.475,16.461,3:12.936,7.924,3:20.860,3.093,3:23.953,,,,3:40.530,
007,2,12,8:37.395,0,,5:36.595,0,1:22.751,0,1:38.049,0,94.8,51:19.658,14:51:19.658,5:36.595,1:22.751,1:38.049,326.8,Tom GAMBLE,0:05:11.636,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,336.595,82.751,98.049,5:08.357,5:08.357,12.511,5:20.868,15.727,5:36.595,34.375,6:10.970,4.802,6:15.772,26.093,6:41.865,17.481,6:59.346,6.887,7:06.233,37.093,7:43.326,16.954,8:00.280,16.182,8:16.462,7.949,8:24.411,2.801,8:27.212,6.614,8:33.826,3.569,8:37.395,
007,2,13,3:34.158,0,,34.207,0,1:21.512,0,1:38.439,0,229.1,54:53.816,14:54:53.816,0:34.207,1:21.512,1:38.439,332.9,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,34.207,81.512,98.439,8.167,8.167,10.534,18.701,15.506,34.207,33.584,1:07.791,4.793,1:12.584,26.151,1:38.735,16.984,1:55.719,6.785,2:02.504,36.918,2:39.422,16.897,2:56.319,16.204,3:12.523,7.959,3:20.482,3.333,3:23.815,6.790,3:30.605,3.553,3:34.158,
