NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,SCL2_time,SCL2_elapsed,Z4_time,Z4_elapsed,IP1_time,IP1_elapsed,Z12_time,Z12_elapsed,SCLC_time,SCLC_elapsed,A7-1_time,A7-1_elapsed,IP2_time,IP2_elapsed,A8-1_time,A8-1_elapsed,SCLB_time,SCLB_elapsed,PORIN_time,PORIN_elapsed,POROUT_time,POROUT_elapsed,PITREF_time,PITREF_elapsed,SCL1_time,SCL1_elapsed,FORDOUT_time,FORDOUT_elapsed,FL_time,FL_elapsed,
009,2,1,4:47.904,0,,1:21.720,0,1:31.930,0,1:54.254,0,168.6,4:47.904,21:10:47.904,1:21.720,1:31.930,1:54.254,219.4,Marco SORENSEN,0:00:37.321,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,81.720,91.930,114.254,44.148,44.148,16.462,1:00.610,21.110,1:21.720,38.445,2:00.165,4.874,2:05.039,30.795,2:35.834,17.816,2:53.650,7.078,3:00.728,42.637,3:43.365,21.258,4:04.623,16.444,4:21.067,8.959,4:30.026,5.366,4:35.392,9.099,4:44.491,3.413,4:47.904,
009,2,2,3:26.497,0,,32.668,0,1:19.194,0,1:34.635,0,237.6,8:14.401,21:14:14.401,0:32.668,1:19.194,1:34.635,330.8,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.668,79.194,94.635,8.004,8.004,10.168,18.172,14.496,32.668,32.583,1:05.251,4.684,1:09.935,25.206,1:35.141,16.721,1:51.862,6.551,1:58.413,36.349,2:34.762,16.729,2:51.491,15.091,3:06.582,7.676,3:14.258,2.624,3:16.882,6.223,3:23.105,3.392,3:26.497,
009,2,3,3:35.183,0,B,32.182,0,1:18.962,2,1:44.039,0,228.0,11:49.584,21:17:49.584,0:32.182,1:18.962,1:44.039,333.9,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.182,78.962,104.039,7.997,7.997,9.956,17.953,14.229,32.182,32.488,1:04.670,4.679,1:09.349,25.077,1:34.426,16.718,1:51.144,6.585,1:57.729,36.097,2:33.826,16.856,2:50.682,15.909,3:06.591,8.142,3:14.733,3.200,3:17.933,,,,3:35.183,
009,2,4,4:57.721,0,,1:56.067,0,1:23.574,0,1:38.080,0,164.8,16:47.305,21:22:47.305,1:56.067,1:23.574,1:38.080,297.2,Marco SORENSEN,0:01:24.651,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,116.067,83.574,98.080,1:22.027,1:22.027,13.985,1:36.012,20.055,1:56.067,35.332,2:31.399,4.765,2:36.164,26.281,3:02.445,17.196,3:19.641,6.803,3:26.444,37.257,4:03.701,17.001,4:20.702,15.827,4:36.529,7.875,4:44.404,3.229,4:47.633,6.737,4:54.370,3.351,4:57.721,
009,2,5,3:25.258,2,,32.124,2,1:19.042,0,1:34.092,2,239.0,20:12.563,21:26:12.563,0:32.124,1:19.042,1:34.092,329.8,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,FF,32.124,79.042,94.092,7.978,7.978,9.913,17.891,14.233,32.124,32.423,1:04.547,4.663,1:09.210,25.178,1:34.388,16.778,1:51.166,6.545,1:57.711,35.963,2:33.674,16.683,2:50.357,15.026,3:05.383,7.686,3:13.069,2.591,3:15.660,6.120,3:21.780,3.478,3:25.258,
101,1,1,4:35.049,0,,1:09.786,0,1:31.972,0,1:53.291,0,176.5,4:35.049,21:10:35.049,1:09.786,1:31.972,1:53.291,253.3,Ricky TAYLOR,0:00:24.701,HYPERCAR,H,Cadillac WTR,Cadillac,GF,69.786,91.972,113.291,31.402,31.402,16.099,47.501,22.285,1:09.786,40.262,1:50.048,5.025,1:55.073,27.506,2:22.579,19.179,2:41.758,7.265,2:49.023,40.407,3:29.430,18.520,3:47.950,16.371,4:04.321,10.114,4:14.435,5.423,4:19.858,11.660,4:31.518,3.531,4:35.049,
101,1,2,3:26.517,0,,32.511,0,1:18.943,0,1:35.063,0,237.5,8:01.566,21:14:01.566,0:32.511,1:18.943,1:35.063,338.1,Ricky TAYLOR,,HYPERCAR,H,Cadillac WTR,Cadillac,GF,32.511,78.943,95.063,8.069,8.069,9.977,18.046,14.465,32.511,32.336,1:04.847,4.711,1:09.558,25.146,1:34.704,16.750,1:51.454,6.503,1:57.957,36.347,2:34.304,16.816,2:51.120,14.917,3:06.037,7.970,3:14.007,2.503,3:16.510,6.517,3:23.027,3.490,3:26.517,
101,1,3,3:38.770,0,B,33.167,0,1:19.344,0,1:46.259,0,224.2,11:40.336,21:17:40.336,0:33.167,1:19.344,1:46.259,332.9,Ricky TAYLOR,,HYPERCAR,H,Cadillac WTR,Cadillac,GF,33.167,79.344,106.259,8.086,8.086,9.826,17.912,15.255,33.167,32.665,1:05.832,4.707,1:10.539,25.203,1:35.742,16.769,1:52.511,7.018,1:59.529,37.743,2:37.272,17.523,2:54.795,15.609,3:10.404,8.748,3:19.152,3.130,3:22.282,,,,3:38.770,
101,1,4,4:50.540,0,,1:44.316,0,1:27.469,0,1:38.755,0,168.8,16:30.876,21:22:30.876,1:44.316,1:27.469,1:38.755,273.2,Ricky TAYLOR,0:01:11.297,HYPERCAR,H,Cadillac WTR,Cadillac,GF,104.316,87.469,98.755,1:09.132,1:09.132,14.652,1:23.784,20.532,1:44.316,37.493,2:21.809,4.832,2:26.641,27.264,2:53.905,17.880,3:11.785,6.976,3:18.761,38.168,3:56.929,17.144,4:14.073,15.901,4:29.974,7.746,4:37.720,2.851,4:40.571,6.548,4:47.119,3.421,4:50.540,
101,1,5,3:24.811,2,,32.094,0,1:18.746,0,1:33.971,2,239.5,19:55.687,21:25:55.687,0:32.094,1:18.746,1:33.971,330.8,Ricky TAYLOR,,HYPERCAR,H,Cadillac WTR,Cadillac,GF,32.094,78.746,93.971,8.048,8.048,9.808,17.856,14.238,32.094,32.309,1:04.403,4.734,1:09.137,25.040,1:34.177,16.663,1:50.840,6.450,1:57.290,36.218,2:33.508,16.701,2:50.209,14.619,3:04.828,7.666,3:12.494,2.649,3:15.143,6.187,3:21.330,3.481,3:24.811,
