TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1752326451,7/12/2025 1:20:51 PM,17.7,22.3,80,938.8,5,191,0,
1752326511,7/12/2025 1:21:51 PM,17.6,22.3,80,938.8,3,153,0,
1752326571,7/12/2025 1:22:51 PM,17.8,22.5,80,938.9,4,154,0,
1752326631,7/12/2025 1:23:51 PM,18,22.5,80,938.9,3,219,0,
1752326691,7/12/2025 1:24:51 PM,18.1,22.5,79,939,3,276,0,
1752326751,7/12/2025 1:25:51 PM,18.2,22.6,79,938.9,1,101,0,
1752326812,7/12/2025 1:26:52 PM,18,22.6,79,938.8,5,147,0,
1752326872,7/12/2025 1:27:52 PM,18.1,22.6,79,939,5,235,0,
1752326932,7/12/2025 1:28:52 PM,18.4,22.6,78,938.8,4,285,0,
1752326992,7/12/2025 1:29:52 PM,18.3,22.5,78,938.9,4,144,0,
1752327052,7/12/2025 1:30:52 PM,18.4,22.6,78,938.9,3,182,0,
1752327112,7/12/2025 1:31:52 PM,18.4,22.7,78,938.8,3,304,0,
1752327172,7/12/2025 1:32:52 PM,18.2,22.7,78,938.9,3,241,0,
1752327232,7/12/2025 1:33:52 PM,18.3,22.7,78,938.9,4,175,0,
1752327292,7/12/2025 1:34:52 PM,18.3,22.8,78,938.8,3,221,0,
1752327352,7/12/2025 1:35:52 PM,18.3,22.8,78,938.8,4,200,0,
1752327412,7/12/2025 1:36:52 PM,18.4,22.8,78,938.7,2,211,0,
1752327473,7/12/2025 1:37:53 PM,18.5,22.8,78,938.8,3,207,0,
1752327533,7/12/2025 1:38:53 PM,18.6,23,77,938.7,3,237,0,
1752327593,7/12/2025 1:39:53 PM,18.6,23,77,938.8,3,187,0,
1752327653,7/12/2025 1:40:53 PM,17.9,23,79,938.8,7,155,0,
1752327713,7/12/2025 1:41:53 PM,18,23.1,79,938.7,5,160,0,
1752327773,7/12/2025 1:42:53 PM,17.8,23.1,80,938.7,7,147,0,
1752327833,7/12/2025 1:43:53 PM,17.9,23.1,79,938.7,4,150,0,
1752327893,7/12/2025 1:44:53 PM,18.1,23.1,79,938.7,5,136,0,
1752327953,7/12/2025 1:45:53 PM,18.4,23.2,78,938.8,2,226,0,
1752328013,7/12/2025 1:46:53 PM,18.4,23.2,77,938.7,3,254,0,
1752328073,7/12/2025 1:47:53 PM,18.1,23.2,78,938.7,6,154,0,
1752328134,7/12/2025 1:48:54 PM,18.2,23.2,79,938.7,4,160,0,
1752328194,7/12/2025 1:49:54 PM,18.1,23.3,79,938.7,5,136,0,
1752328254,7/12/2025 1:50:54 PM,18.4,23.3,78,938.7,3,153,0,
1752328314,7/12/2025 1:51:54 PM,18.5,23.5,77,938.7,2,347,0,
1752328374,7/12/2025 1:52:54 PM,18.6,23.5,77,938.8,3,328,0,
1752328434,7/12/2025 1:53:54 PM,18.7,23.5,77,938.7,5,266,0,
1752328494,7/12/2025 1:54:54 PM,18.8,23.5,76,938.8,4,272,0,
1752328554,7/12/2025 1:55:54 PM,18.9,23.5,76,938.7,4,253,0,
1752328614,7/12/2025 1:56:54 PM,18.8,23.5,76,938.7,4,293,0,
1752328674,7/12/2025 1:57:54 PM,18.9,23.5,76,938.7,5,276,0,
1752328734,7/12/2025 1:58:54 PM,18.5,23.3,77,938.7,5,202,0,
1752328795,7/12/2025 1:59:55 PM,18.3,23.3,77,938.7,6,204,0,
1752328855,7/12/2025 2:00:55 PM,18.3,23.3,77,938.7,6,172,0,
1752328915,7/12/2025 2:01:55 PM,18.2,23.3,78,938.6,5,165,0,
1752328975,7/12/2025 2:02:55 PM,18.3,23.3,78,938.6,5,198,0,
1752329035,7/12/2025 2:03:55 PM,18.3,23.3,78,938.6,6,143,0,
1752329095,7/12/2025 2:04:55 PM,18.4,23.5,77,938.6,4,202,0,
1752329155,7/12/2025 2:05:55 PM,18.7,23.5,77,938.6,3,269,0,
1752329215,7/12/2025 2:06:55 PM,19,23.6,76,938.6,2,293,0,
1752329275,7/12/2025 2:07:55 PM,19.2,23.6,75,938.6,2,303,0,
1752329335,7/12/2025 2:08:55 PM,19.2,23.7,75,938.6,3,233,0,
1752329396,7/12/2025 2:09:56 PM,18.7,23.6,76,938.6,6,199,0,
1752329456,7/12/2025 2:10:56 PM,18.8,23.7,76,938.6,3,192,0,
1752329516,7/12/2025 2:11:56 PM,18.8,23.7,76,938.6,3,197,0,
1752329576,7/12/2025 2:12:56 PM,18.5,23.7,77,938.6,5,166,0,
1752329636,7/12/2025 2:13:56 PM,18.8,23.8,76,938.6,4,275,0,
1752329696,7/12/2025 2:14:56 PM,19,24,76,938.6,1,358,0,
1752329756,7/12/2025 2:15:56 PM,19.1,24,75,938.6,2,357,0,
1752329816,7/12/2025 2:16:56 PM,18.7,24.1,76,938.6,4,138,0,
1752329876,7/12/2025 2:17:56 PM,19,24.1,76,938.6,6,222,0,
1752329936,7/12/2025 2:18:56 PM,19.1,24.1,75,938.6,5,226,0,
1752329996,7/12/2025 2:19:56 PM,19,24.1,76,938.6,4,205,0,
