POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_IMSA_DriverId,DRIVER_IMSA_DriverPlugId,DRIVER_IMSA_DriverRatingLong,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,13,3,2:18.756,-,-,143.0,13,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Robert,Noaker,,"Duncannon, PA",USA,,,,,,,
2,22,3,2:20.316,+1.560,+1.560,141.4,12,TechSport,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Devin,Anderson,,"Mooresville, NC",USA,,,,,,,
3,33,3,2:20.725,+1.969,+0.409,141.0,11,Spark Performance,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Alex,Bachoura,,"Houston, TX",USA,,,,,,,
4,18,5,2:20.889,+2.133,+0.164,140.9,12,McCumbee McAleer Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Marcos,Vento,Silver,"San Juan, PR",PRI,,,,,,,
5,7,2,2:21.010,+2.254,+0.121,140.7,13,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Sandy,Satullo,,Hillsboro Beach,USA,,,,,,,
6,34,2,2:21.189,+2.433,+0.179,140.6,9,Paley Motorsport,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Will,Lucas,,"Suwanee, GA",USA,,,,,,,
7,26,7,2:21.238,+2.482,+0.049,140.5,10,Paley Motorsport,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Sam,Paley,Silver,"Villa Hills, KY",USA,,,,,,,
8,91,2,2:22.144,+3.388,+0.906,139.6,12,Robert Noaker Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Britt,Casey,Silver,Inverness,USA,,,,,,,
9,98,3,2:22.462,+3.706,+0.318,139.3,12,Automatic Racing,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Tate,Pritt,,"Creston, CA",USA,,,,,,,
10,48,2,2:22.634,+3.878,+0.172,139.1,11,McCumbee McAleer Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Zachry,Lee,,"San Antonio, TX",USA,,,,,,,
11,15,9,2:22.636,+3.880,+0.002,139.1,11,TechSport,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Alfonso,Diaz,,"Guaynabo, Puerto Rico",PRI,,,,,,,
12,21,2,2:22.759,+4.003,+0.123,139.0,9,TechSport,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Colin,Harrison,Silver,Cleveland,USA,,,,,,,
13,8,7,2:23.811,+5.055,+1.052,138.0,12,Competition Motors,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Tom,Tait,Bronze,"Paradise Valley, AZ",USA,,,,,,,
14,10,7,2:24.626,+5.870,+0.815,137.2,13,NV Autosport,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Stephen,Vajda,,"Easton, PA",USA,,,,,,,
15,63,8,2:26.947,+8.191,+2.321,135.1,13,Robert Noaker Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Joseph,Dederichs,,"FORT WORTH, TX",USA,,,,,,,
16,84,0,,,,,0,Torre Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Paolo,Salvatore,,"San Antonio, TX",USA,,,,,,,
