NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
007,1,1,2:50.754,0,,43.992,0,1:03.692,0,1:03.070,0,110.0,2:50.754,15:42:50.754,0:43.992,1:03.692,1:03.070,175.3,Harry TINCKNELL,0:00:13.031,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,43.992,63.692,63.070,
007,1,2,2:24.564,0,,28.418,0,56.481,0,59.665,0,137.3,5:15.318,15:45:15.318,0:28.418,0:56.481,0:59.665,216.0,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,28.418,56.481,59.665,
007,1,3,2:17.097,0,,27.611,0,54.440,0,55.046,0,144.8,7:32.415,15:47:32.415,0:27.611,0:54.440,0:55.046,204.9,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,27.611,54.440,55.046,
007,1,4,2:10.062,0,,25.574,0,50.394,0,54.094,0,152.6,9:42.477,15:49:42.477,0:25.574,0:50.394,0:54.094,230.3,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,25.574,50.394,54.094,
007,1,5,2:05.553,0,,25.008,0,49.744,0,50.801,0,158.1,11:48.030,15:51:48.030,0:25.008,0:49.744,0:50.801,225.9,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,25.008,49.744,50.801,
007,1,6,2:01.100,2,,24.224,2,47.074,2,49.802,2,163.9,13:49.130,15:53:49.130,0:24.224,0:47.074,0:49.802,225.5,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,FF,24.224,47.074,49.802,
009,1,1,2:52.289,0,,43.026,0,1:04.789,0,1:04.474,0,109.0,2:52.289,15:42:52.289,0:43.026,1:04.789,1:04.474,160.2,Alex RIBERAS,0:00:09.989,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,43.026,64.789,64.474,
009,1,2,2:33.535,0,,28.234,0,1:00.594,0,1:04.707,0,129.3,5:25.824,15:45:25.824,0:28.234,1:00.594,1:04.707,171.4,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,28.234,60.594,64.707,
009,1,3,2:16.374,0,,26.649,0,52.484,0,57.241,0,145.5,7:42.198,15:47:42.198,0:26.649,0:52.484,0:57.241,203.0,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,26.649,52.484,57.241,
009,1,4,2:08.042,0,,24.982,0,49.534,0,53.526,0,155.0,9:50.240,15:49:50.240,0:24.982,0:49.534,0:53.526,215.1,Alex RIBERAS,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,24.982,49.534,53.526,
