NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
10,2,1,2:49.418,0,,1:30.962,0,33.764,0,44.692,0,90.4,2:49.418,14:42:49.418,1:30.962,0:33.764,0:44.692,134.0,Eduardo BARRICHELLO,0:01:07.314,LMGT3,,Racing Spirit of Leman,Aston Martin,GF,90.962,33.764,44.692,
10,2,2,1:40.216,0,,24.885,0,31.565,0,43.766,2,163.9,4:29.634,14:44:29.634,0:24.885,0:31.565,0:43.766,258.4,Eduardo BARRICHELLO,,LMGT3,,Racing Spirit of Leman,Aston Martin,GF,24.885,31.565,43.766,
10,2,3,1:40.139,0,,24.681,3,31.364,0,44.094,0,164.0,6:09.773,14:46:09.773,0:24.681,0:31.364,0:44.094,260.9,Eduardo BARRICHELLO,,LMGT3,,Racing Spirit of Leman,Aston Martin,GF,24.681,31.364,44.094,
10,2,4,1:39.981,3,,24.700,0,31.363,2,43.918,0,164.3,7:49.754,14:47:49.754,0:24.700,0:31.363,0:43.918,260.2,Eduardo BARRICHELLO,,LMGT3,,Racing Spirit of Leman,Aston Martin,GF,24.700,31.363,43.918,
10,2,5,2:16.551,0,B,24.838,0,37.803,0,1:13.910,0,120.3,10:06.305,14:50:06.305,0:24.838,0:37.803,1:13.910,260.2,Eduardo BARRICHELLO,,LMGT3,,Racing Spirit of Leman,Aston Martin,FF,24.838,37.803,73.910,
21,2,1,2:17.989,0,,49.094,0,37.795,0,51.100,0,111.0,2:17.989,14:42:17.989,0:49.094,0:37.795,0:51.100,105.4,Simon MANN,0:00:20.754,LMGT3,,Vista AF Corse,Ferrari,GF,49.094,37.795,51.100,
21,2,2,1:51.118,0,,26.530,0,34.076,0,50.512,0,147.8,4:09.107,14:44:09.107,0:26.530,0:34.076,0:50.512,242.7,Simon MANN,,LMGT3,,Vista AF Corse,Ferrari,GF,26.530,34.076,50.512,
21,2,3,1:44.130,0,,25.067,0,33.678,0,45.385,0,157.8,5:53.237,14:45:53.237,0:25.067,0:33.678,0:45.385,260.2,Simon MANN,,LMGT3,,Vista AF Corse,Ferrari,GF,25.067,33.678,45.385,
21,2,4,1:40.819,2,,24.922,0,31.782,2,44.115,2,162.9,7:34.056,14:47:34.056,0:24.922,0:31.782,0:44.115,260.9,Simon MANN,,LMGT3,,Vista AF Corse,Ferrari,GF,24.922,31.782,44.115,
21,2,5,1:40.955,0,,24.916,2,31.815,0,44.224,0,162.7,9:15.011,14:49:15.011,0:24.916,0:31.815,0:44.224,260.9,Simon MANN,,LMGT3,,Vista AF Corse,Ferrari,GF,24.916,31.815,44.224,
21,2,6,1:40.987,0,,24.921,0,31.819,0,44.247,0,162.7,10:55.998,14:50:55.998,0:24.921,0:31.819,0:44.247,260.9,Simon MANN,,LMGT3,,Vista AF Corse,Ferrari,FF,24.921,31.819,44.247,
27,2,1,2:47.254,0,,1:27.999,0,34.008,0,45.247,0,91.6,2:47.254,14:42:47.254,1:27.999,0:34.008,0:45.247,131.5,Zacharie ROBICHON,0:01:04.103,LMGT3,,Heart of Racing Team,Aston Martin,GF,87.999,34.008,45.247,
27,2,2,1:40.387,2,,25.024,0,31.623,0,43.740,3,163.6,4:27.641,14:44:27.641,0:25.024,0:31.623,0:43.740,257.8,Zacharie ROBICHON,,LMGT3,,Heart of Racing Team,Aston Martin,GF,25.024,31.623,43.740,
27,2,3,1:44.037,0,,24.763,2,31.561,0,47.713,0,157.9,6:11.678,14:46:11.678,0:24.763,0:31.561,0:47.713,261.5,Zacharie ROBICHON,,LMGT3,,Heart of Racing Team,Aston Martin,GF,24.763,31.561,47.713,
27,2,4,1:40.446,0,,24.776,0,31.700,0,43.970,0,163.5,7:52.124,14:47:52.124,0:24.776,0:31.700,0:43.970,262.1,Zacharie ROBICHON,,LMGT3,,Heart of Racing Team,Aston Martin,GF,24.776,31.700,43.970,
27,2,5,1:40.421,0,,24.825,0,31.503,2,44.093,0,163.6,9:32.545,14:49:32.545,0:24.825,0:31.503,0:44.093,262.1,Zacharie ROBICHON,,LMGT3,,Heart of Racing Team,Aston Martin,GF,24.825,31.503,44.093,
27,2,6,2:05.019,0,B,29.288,0,38.670,0,57.061,0,131.4,11:37.564,14:51:37.564,0:29.288,0:38.670,0:57.061,180.6,Zacharie ROBICHON,,LMGT3,,Heart of Racing Team,Aston Martin,FF,29.288,38.670,57.061,
33,2,1,2:12.929,0,,47.845,0,35.930,0,49.154,0,115.3,2:12.929,14:42:12.929,0:47.845,0:35.930,0:49.154,104.8,Jonny EDGAR,0:00:19.953,LMGT3,,TF Sport,Corvette,GF,47.845,35.930,49.154,
33,2,2,1:48.383,0,,26.590,0,34.373,0,47.420,0,151.6,4:01.312,14:44:01.312,0:26.590,0:34.373,0:47.420,234.8,Jonny EDGAR,,LMGT3,,TF Sport,Corvette,GF,26.590,34.373,47.420,
33,2,3,1:40.914,0,,25.135,0,31.718,0,44.061,2,162.8,5:42.226,14:45:42.226,0:25.135,0:31.718,0:44.061,264.1,Jonny EDGAR,,LMGT3,,TF Sport,Corvette,GF,25.135,31.718,44.061,
33,2,4,1:40.725,0,,24.873,0,31.728,0,44.124,0,163.1,7:22.951,14:47:22.951,0:24.873,0:31.728,0:44.124,264.7,Jonny EDGAR,,LMGT3,,TF Sport,Corvette,GF,24.873,31.728,44.124,
33,2,5,1:40.426,2,,24.800,2,31.526,2,44.100,0,163.6,9:03.377,14:49:03.377,0:24.800,0:31.526,0:44.100,264.7,Jonny EDGAR,,LMGT3,,TF Sport,Corvette,GF,24.800,31.526,44.100,
33,2,6,1:40.866,0,,24.840,0,31.901,0,44.125,0,162.9,10:44.243,14:50:44.243,0:24.840,0:31.901,0:44.125,264.1,Jonny EDGAR,,LMGT3,,TF Sport,Corvette,FF,24.840,31.901,44.125,
54,2,1,2:21.176,0,,51.185,0,40.243,0,49.748,0,108.5,2:21.176,14:42:21.176,0:51.185,0:40.243,0:49.748,108.4,Francesco CASTELLACCI,0:00:22.463,LMGT3,,Vista AF Corse,Ferrari,GF,51.185,40.243,49.748,
54,2,2,1:51.820,0,,25.748,0,33.201,0,52.871,0,146.9,4:12.996,14:44:12.996,0:25.748,0:33.201,0:52.871,259.6,Francesco CASTELLACCI,,LMGT3,,Vista AF Corse,Ferrari,GF,25.748,33.201,52.871,
54,2,3,1:41.093,0,,25.034,0,31.875,0,44.184,0,162.5,5:54.089,14:45:54.089,0:25.034,0:31.875,0:44.184,260.9,Francesco CASTELLACCI,,LMGT3,,Vista AF Corse,Ferrari,GF,25.034,31.875,44.184,
54,2,4,1:42.304,0,,24.838,0,31.921,0,45.545,0,160.6,7:36.393,14:47:36.393,0:24.838,0:31.921,0:45.545,262.8,Francesco CASTELLACCI,,LMGT3,,Vista AF Corse,Ferrari,GF,24.838,31.921,45.545,
54,2,5,1:40.600,2,,24.703,0,31.984,0,43.913,2,163.3,9:16.993,14:49:16.993,0:24.703,0:31.984,0:43.913,263.4,Francesco CASTELLACCI,,LMGT3,,Vista AF Corse,Ferrari,GF,24.703,31.984,43.913,
54,2,6,1:40.817,0,,24.690,2,31.859,2,44.268,0,162.9,10:57.810,14:50:57.810,0:24.690,0:31.859,0:44.268,262.8,Francesco CASTELLACCI,,LMGT3,,Vista AF Corse,Ferrari,FF,24.690,31.859,44.268,
59,2,1,2:10.547,0,,44.734,0,36.859,0,48.954,0,117.4,2:10.547,14:42:10.547,0:44.734,0:36.859,0:48.954,58.8,Sébastien BAUD,0:00:10.033,LMGT3,,United Autosports,McLaren,GF,44.734,36.859,48.954,
59,2,2,1:48.004,0,,26.022,0,33.678,0,48.304,0,152.1,3:58.551,14:43:58.551,0:26.022,0:33.678,0:48.304,236.3,Sébastien BAUD,,LMGT3,,United Autosports,McLaren,GF,26.022,33.678,48.304,
59,2,3,1:40.563,0,,24.753,0,31.856,0,43.954,0,163.3,5:39.114,14:45:39.114,0:24.753,0:31.856,0:43.954,262.1,Sébastien BAUD,,LMGT3,,United Autosports,McLaren,GF,24.753,31.856,43.954,
59,2,4,1:40.013,2,,24.713,2,31.488,2,43.812,0,164.2,7:19.127,14:47:19.127,0:24.713,0:31.488,0:43.812,262.8,Sébastien BAUD,,LMGT3,,United Autosports,McLaren,GF,24.713,31.488,43.812,
59,2,5,1:40.187,0,,24.734,0,31.606,0,43.847,0,164.0,8:59.314,14:48:59.314,0:24.734,0:31.606,0:43.847,262.8,Sébastien BAUD,,LMGT3,,United Autosports,McLaren,GF,24.734,31.606,43.847,
59,2,6,1:40.216,0,,24.746,0,31.702,0,43.768,2,163.9,10:39.530,14:50:39.530,0:24.746,0:31.702,0:43.768,262.8,Sébastien BAUD,,LMGT3,,United Autosports,McLaren,FF,24.746,31.702,43.768,
81,2,1,2:14.153,0,,48.079,0,36.697,0,49.377,0,114.2,2:14.153,14:42:14.153,0:48.079,0:36.697,0:49.377,79.8,Rui ANDRADE,0:00:17.414,LMGT3,,TF Sport,Corvette,GF,48.079,36.697,49.377,
81,2,2,1:49.193,0,,26.241,0,34.933,0,48.019,0,150.4,4:03.346,14:44:03.346,0:26.241,0:34.933,0:48.019,253.5,Rui ANDRADE,,LMGT3,,TF Sport,Corvette,GF,26.241,34.933,48.019,
81,2,3,1:40.908,0,,24.775,2,31.978,0,44.155,0,162.8,5:44.254,14:45:44.254,0:24.775,0:31.978,0:44.155,267.3,Rui ANDRADE,,LMGT3,,TF Sport,Corvette,GF,24.775,31.978,44.155,
81,2,4,1:41.507,0,,24.866,0,31.683,0,44.958,0,161.8,7:25.761,14:47:25.761,0:24.866,0:31.683,0:44.958,267.3,Rui ANDRADE,,LMGT3,,TF Sport,Corvette,GF,24.866,31.683,44.958,
81,2,5,1:40.672,0,,24.850,0,31.814,0,44.008,2,163.2,9:06.433,14:49:06.433,0:24.850,0:31.814,0:44.008,266.7,Rui ANDRADE,,LMGT3,,TF Sport,Corvette,GF,24.850,31.814,44.008,
81,2,6,1:40.490,2,,24.785,0,31.568,2,44.137,0,163.5,10:46.923,14:50:46.923,0:24.785,0:31.568,0:44.137,266.7,Rui ANDRADE,,LMGT3,,TF Sport,Corvette,FF,24.785,31.568,44.137,
88,2,1,2:30.433,0,,59.451,0,39.875,0,51.107,0,101.8,2:30.433,14:42:30.433,0:59.451,0:39.875,0:51.107,138.3,Giammarco LEVORATO,0:00:34.544,LMGT3,,Proton Competition,Ford,GF,59.451,39.875,51.107,
88,2,2,1:53.588,0,,27.039,0,36.675,0,49.874,0,144.6,4:24.021,14:44:24.021,0:27.039,0:36.675,0:49.874,210.9,Giammarco LEVORATO,,LMGT3,,Proton Competition,Ford,GF,27.039,36.675,49.874,
88,2,3,1:41.067,0,,24.896,0,31.824,0,44.347,0,162.5,6:05.088,14:46:05.088,0:24.896,0:31.824,0:44.347,259.6,Giammarco LEVORATO,,LMGT3,,Proton Competition,Ford,GF,24.896,31.824,44.347,
88,2,4,1:40.708,2,,24.849,2,31.711,2,44.148,2,163.1,7:45.796,14:47:45.796,0:24.849,0:31.711,0:44.148,260.2,Giammarco LEVORATO,,LMGT3,,Proton Competition,Ford,GF,24.849,31.711,44.148,
88,2,5,1:45.377,0,,24.967,0,31.789,0,48.621,0,155.9,9:31.173,14:49:31.173,0:24.967,0:31.789,0:48.621,260.2,Giammarco LEVORATO,,LMGT3,,Proton Competition,Ford,GF,24.967,31.789,48.621,
88,2,6,1:46.773,0,B,24.938,0,31.796,0,50.039,0,153.8,11:17.946,14:51:17.946,0:24.938,0:31.796,0:50.039,260.2,Giammarco LEVORATO,,LMGT3,,Proton Competition,Ford,FF,24.938,31.796,50.039,
92,2,1,2:11.845,0,,47.338,0,36.019,0,48.488,0,116.2,2:11.845,14:42:11.845,0:47.338,0:36.019,0:48.488,78.7,Riccardo PERA,0:00:16.398,LMGT3,,Manthey 1ST Phorm,Porsche,GF,47.338,36.019,48.488,
92,2,2,1:43.240,0,,25.481,0,32.581,0,45.178,0,159.1,3:55.085,14:43:55.085,0:25.481,0:32.581,0:45.178,254.1,Riccardo PERA,,LMGT3,,Manthey 1ST Phorm,Porsche,GF,25.481,32.581,45.178,
92,2,3,1:40.414,2,,24.893,0,31.587,0,43.934,2,163.6,5:35.499,14:45:35.499,0:24.893,0:31.587,0:43.934,258.4,Riccardo PERA,,LMGT3,,Manthey 1ST Phorm,Porsche,GF,24.893,31.587,43.934,
92,2,4,1:40.589,0,,24.856,2,31.610,0,44.123,0,163.3,7:16.088,14:47:16.088,0:24.856,0:31.610,0:44.123,259.6,Riccardo PERA,,LMGT3,,Manthey 1ST Phorm,Porsche,GF,24.856,31.610,44.123,
92,2,5,1:41.242,0,,25.123,0,31.597,0,44.522,0,162.3,8:57.330,14:48:57.330,0:25.123,0:31.597,0:44.522,259.6,Riccardo PERA,,LMGT3,,Manthey 1ST Phorm,Porsche,GF,25.123,31.597,44.522,
