NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
007,1,1,3:18.179,0,,1:59.207,0,34.227,0,44.745,0,77.3,3:18.179,15:03:18.179,1:59.207,0:34.227,0:44.745,119.6,Harry TINCKNELL,0:01:34.018,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,119.207,34.227,44.745,
007,1,2,1:35.773,0,,23.545,0,29.740,0,42.488,0,171.5,4:53.952,15:04:53.952,0:23.545,0:29.740,0:42.488,259.6,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,23.545,29.740,42.488,
007,1,3,1:34.859,0,,23.199,0,29.583,0,42.077,0,173.2,6:28.811,15:06:28.811,0:23.199,0:29.583,0:42.077,293.5,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,23.199,29.583,42.077,
007,1,4,1:29.555,0,,21.917,0,28.116,0,39.522,0,183.4,7:58.366,15:07:58.366,0:21.917,0:28.116,0:39.522,308.6,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.917,28.116,39.522,
007,1,5,1:38.259,0,,21.771,2,27.950,2,48.538,0,167.2,9:36.625,15:09:36.625,0:21.771,0:27.950,0:48.538,311.2,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,21.771,27.950,48.538,
007,1,6,1:46.017,0,,27.885,0,35.716,0,42.416,0,154.9,11:22.642,15:11:22.642,0:27.885,0:35.716,0:42.416,223.6,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,27.885,35.716,42.416,
007,1,7,1:29.424,2,,21.907,0,28.032,0,39.485,2,183.7,12:52.066,15:12:52.066,0:21.907,0:28.032,0:39.485,307.7,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,FF,21.907,28.032,39.485,
009,2,1,2:55.213,0,,1:36.752,0,34.454,0,44.007,0,87.4,2:55.213,15:02:55.213,1:36.752,0:34.454,0:44.007,128.0,Marco SORENSEN,0:01:08.669,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,96.752,34.454,44.007,
009,2,2,1:37.680,0,,23.757,0,30.824,0,43.099,0,168.2,4:32.893,15:04:32.893,0:23.757,0:30.824,0:43.099,243.8,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,23.757,30.824,43.099,
009,2,3,1:36.135,0,,23.286,0,29.560,0,43.289,0,170.9,6:09.028,15:06:09.028,0:23.286,0:29.560,0:43.289,269.3,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,23.286,29.560,43.289,
