NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
11,1,1,1:43.728,0,,27.526,0,32.131,0,44.071,0,147.7,1:43.728,17:02:35.949,0:27.526,0:32.131,0:44.071,,Yu ODA,,,,Rn-sports,,GF,27.526,32.131,44.071,
11,1,2,1:40.340,0,,25.462,0,31.349,0,43.529,0,163.7,3:24.068,17:04:16.289,0:25.462,0:31.349,0:43.529,252.3,Yu ODA,,,,Rn-sports,,GF,25.462,31.349,43.529,
11,1,3,1:38.940,0,,24.757,0,31.013,0,43.170,0,166.0,5:03.008,17:05:55.229,0:24.757,0:31.013,0:43.170,255.9,Yu ODA,,,,Rn-sports,,GF,24.757,31.013,43.170,
11,1,4,1:38.914,0,,24.740,0,30.989,0,43.185,0,166.1,6:41.922,17:07:34.143,0:24.740,0:30.989,0:43.185,255.9,Yu ODA,,,,Rn-sports,,GF,24.740,30.989,43.185,
11,1,5,1:38.757,0,,24.829,0,30.792,0,43.136,0,166.3,8:20.679,17:09:12.900,0:24.829,0:30.792,0:43.136,255.9,Yu ODA,,,,Rn-sports,,GF,24.829,30.792,43.136,
11,1,6,1:38.927,0,,24.785,0,30.811,0,43.331,0,166.0,9:59.606,17:10:51.827,0:24.785,0:30.811,0:43.331,255.3,Yu ODA,,,,Rn-sports,,GF,24.785,30.811,43.331,
11,1,7,1:38.743,0,,24.713,0,30.554,2,43.476,0,166.4,11:38.349,17:12:30.570,0:24.713,0:30.554,0:43.476,255.3,Yu ODA,,,,Rn-sports,,GF,24.713,30.554,43.476,
11,1,8,1:38.642,2,,24.784,0,30.785,0,43.073,2,166.5,13:16.991,17:14:09.212,0:24.784,0:30.785,0:43.073,255.3,Yu ODA,,,,Rn-sports,,GF,24.784,30.785,43.073,
11,1,9,1:38.934,0,,24.832,0,30.763,0,43.339,0,166.0,14:55.925,17:15:48.146,0:24.832,0:30.763,0:43.339,254.7,Yu ODA,,,,Rn-sports,,GF,24.832,30.763,43.339,
11,1,10,1:38.705,0,,24.804,0,30.677,0,43.224,0,166.4,16:34.630,17:17:26.851,0:24.804,0:30.677,0:43.224,255.3,Yu ODA,,,,Rn-sports,,GF,24.804,30.677,43.224,
11,1,11,1:38.821,0,,24.746,0,30.786,0,43.289,0,166.2,18:13.451,17:19:05.672,0:24.746,0:30.786,0:43.289,255.9,Yu ODA,,,,Rn-sports,,GF,24.746,30.786,43.289,
11,1,12,1:38.947,0,,24.719,0,30.997,0,43.231,0,166.0,19:52.398,17:20:44.619,0:24.719,0:30.997,0:43.231,255.9,Yu ODA,,,,Rn-sports,,GF,24.719,30.997,43.231,
11,1,13,1:38.880,0,,24.653,2,30.968,0,43.259,0,166.1,21:31.278,17:22:23.499,0:24.653,0:30.968,0:43.259,256.5,Yu ODA,,,,Rn-sports,,GF,24.653,30.968,43.259,
11,1,14,1:38.793,0,,24.669,0,30.623,0,43.501,0,166.3,23:10.071,17:24:02.292,0:24.669,0:30.623,0:43.501,255.3,Yu ODA,,,,Rn-sports,,GF,24.669,30.623,43.501,
11,1,15,1:39.048,0,,24.758,0,30.879,0,43.411,0,165.8,24:49.119,17:25:41.340,0:24.758,0:30.879,0:43.411,255.9,Yu ODA,,,,Rn-sports,,FF,24.758,30.879,43.411,
13,1,1,1:42.893,0,,26.893,0,32.139,0,43.861,0,148.9,1:42.893,17:02:35.114,0:26.893,0:32.139,0:43.861,,Ai MIURA,,,,AIWIN,,GF,26.893,32.139,43.861,
13,1,2,1:38.937,0,,24.843,0,30.929,0,43.165,0,166.0,3:21.830,17:04:14.051,0:24.843,0:30.929,0:43.165,256.5,Ai MIURA,,,,AIWIN,,GF,24.843,30.929,43.165,
13,1,3,1:38.457,0,,24.817,0,30.738,0,42.902,0,166.8,5:00.287,17:05:52.508,0:24.817,0:30.738,0:42.902,254.7,Ai MIURA,,,,AIWIN,,GF,24.817,30.738,42.902,
13,1,4,1:38.156,0,,24.684,0,30.603,0,42.869,0,167.4,6:38.443,17:07:30.664,0:24.684,0:30.603,0:42.869,256.5,Ai MIURA,,,,AIWIN,,GF,24.684,30.603,42.869,
13,1,5,1:37.703,2,,24.541,2,30.452,2,42.710,2,168.1,8:16.146,17:09:08.367,0:24.541,0:30.452,0:42.710,257.1,Ai MIURA,,,,AIWIN,,GF,24.541,30.452,42.710,
13,1,6,1:38.130,0,,24.544,0,30.538,0,43.048,0,167.4,9:54.276,17:10:46.497,0:24.544,0:30.538,0:43.048,256.5,Ai MIURA,,,,AIWIN,,GF,24.544,30.538,43.048,
13,1,7,1:38.190,0,,24.607,0,30.693,0,42.890,0,167.3,11:32.466,17:12:24.687,0:24.607,0:30.693,0:42.890,255.9,Ai MIURA,,,,AIWIN,,GF,24.607,30.693,42.890,
13,1,8,1:38.628,0,,24.640,0,30.756,0,43.232,0,166.6,13:11.094,17:14:03.315,0:24.640,0:30.756,0:43.232,255.9,Ai MIURA,,,,AIWIN,,GF,24.640,30.756,43.232,
13,1,9,1:38.348,0,,24.672,0,30.694,0,42.982,0,167.0,14:49.442,17:15:41.663,0:24.672,0:30.694,0:42.982,255.3,Ai MIURA,,,,AIWIN,,GF,24.672,30.694,42.982,
13,1,10,1:38.468,0,,24.694,0,30.697,0,43.077,0,166.8,16:27.910,17:17:20.131,0:24.694,0:30.697,0:43.077,255.3,Ai MIURA,,,,AIWIN,,GF,24.694,30.697,43.077,
13,1,11,1:38.292,0,,24.613,0,30.533,0,43.146,0,167.1,18:06.202,17:18:58.423,0:24.613,0:30.533,0:43.146,255.3,Ai MIURA,,,,AIWIN,,GF,24.613,30.533,43.146,
13,1,12,1:38.626,0,,24.663,0,30.889,0,43.074,0,166.6,19:44.828,17:20:37.049,0:24.663,0:30.889,0:43.074,255.3,Ai MIURA,,,,AIWIN,,GF,24.663,30.889,43.074,
13,1,13,1:38.169,0,,24.563,0,30.514,0,43.092,0,167.3,21:22.997,17:22:15.218,0:24.563,0:30.514,0:43.092,255.9,Ai MIURA,,,,AIWIN,,GF,24.563,30.514,43.092,
13,1,14,1:38.429,0,,24.672,0,30.621,0,43.136,0,166.9,23:01.426,17:23:53.647,0:24.672,0:30.621,0:43.136,256.5,Ai MIURA,,,,AIWIN,,GF,24.672,30.621,43.136,
13,1,15,1:38.614,0,,24.738,0,30.738,0,43.138,0,166.6,24:40.040,17:25:32.261,0:24.738,0:30.738,0:43.138,254.7,Ai MIURA,,,,AIWIN,,FF,24.738,30.738,43.138,
18,1,1,1:47.587,0,,29.526,0,33.293,0,44.768,0,142.4,1:47.587,17:02:39.808,0:29.526,0:33.293,0:44.768,, YUKI,,M,,NILZZ Racing,,GF,29.526,33.293,44.768,
18,1,2,1:40.867,0,,25.272,0,31.659,0,43.936,0,162.9,3:28.454,17:04:20.675,0:25.272,0:31.659,0:43.936,259.0, YUKI,,M,,NILZZ Racing,,GF,25.272,31.659,43.936,
18,1,3,1:40.560,0,,25.003,0,31.793,0,43.764,0,163.4,5:09.014,17:06:01.235,0:25.003,0:31.793,0:43.764,259.6, YUKI,,M,,NILZZ Racing,,GF,25.003,31.793,43.764,
18,1,4,1:39.975,0,,25.059,0,31.414,0,43.502,0,164.3,6:48.989,17:07:41.210,0:25.059,0:31.414,0:43.502,259.6, YUKI,,M,,NILZZ Racing,,GF,25.059,31.414,43.502,
