POSITION,NUMBER,TEAM,DRIVER_1,DRIVER_2,DRIVER_3,DRIVER_4,VEHICLE,TYRES,CLASS,GROUP,DIVISION,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DRIVER_5,
1,35,Alpine Endurance Team,Paul-Loup CHATIN,Ferdinand HABSBURG,Charles MILESI,,Alpine A424,M,HYPERCAR,H,,Classified,202,6:00'38.167,,,142,1'31.148,180.2,,
2,93,Peugeot TotalEnergies,Paul DI RESTA,Mikkel JENSEN,Jean-Eric VERGNE,,Peugeot 9X8,M,HYPERCAR,H,,Classified,202,6:00'45.849,7.682,7.682,3,1'31.052,180.4,,
3,6,Porsche Penske Motorsport,Kévin ESTRE,Laurens VANTHOOR,,,Porsche 963,M,HYPERCAR,H,,Classified,202,6:00'46.334,8.167,0.485,171,1'31.133,180.3,,
4,5,Porsche Penske Motorsport,Julien ANDLAUER,Mathieu JAMINET,,,Porsche 963,M,HYPERCAR,H,,Classified,202,6:00'54.250,16.083,7.916,4,1'31.043,180.4,,
5,009,Aston Martin Thor Team,Alex RIBERAS,Marco SORENSEN,,,Aston Martin Valkyrie,M,HYPERCAR,,,Classified,202,6:01'17.928,39.761,23.678,6,1'30.907,180.7,,
6,12,Cadillac Hertz Team JOTA,Alex LYNN,Norman NATO,Will STEVENS,,Cadillac V-Series.R,M,HYPERCAR,H,,Classified,202,6:01'21.734,43.567,3.806,2,1'30.507,181.5,,
7,7,Toyota Gazoo Racing,Mike CONWAY,Kamui KOBAYASHI,Nyck DE VRIES,,Toyota GR010 - Hybrid,M,HYPERCAR,H,,Classified,202,6:01'23.198,45.031,1.464,84,1'31.327,179.9,,
8,20,BMW M Team WRT,René RAST,Robin FRIJNS,Sheldon VAN DER LINDE,,BMW M Hybrid V8,M,HYPERCAR,H,,Classified,202,6:01'28.529,50.362,5.331,3,1'31.290,179.9,,
9,83,AF Corse,Robert KUBICA,Yifei YE,Philip HANSON,,Ferrari 499P,M,HYPERCAR,H,,Classified,202,6:01'37.156,58.989,8.627,173,1'31.566,179.4,,
10,94,Peugeot TotalEnergies,Loïc DUVAL,Malthe JAKOBSEN,Stoffel VANDOORNE,,Peugeot 9X8,M,HYPERCAR,H,,Classified,202,6:01'49.709,1'11.542,12.553,85,1'31.040,180.4,,
11,99,Proton Competition,Neel JANI,Nicolas PINO,Nicolas VARRONE,,Porsche 963,M,HYPERCAR,H,,Classified,202,6:01'52.993,1'14.826,3.284,84,1'31.518,179.5,,
12,50,Ferrari AF Corse,Antonio FUOCO,Miguel MOLINA,Nicklas NIELSEN,,Ferrari 499P,M,HYPERCAR,H,,Classified,202,6:02'47.045,2'08.878,54.052,153,1'31.736,179.1,,
13,38,Cadillac Hertz Team JOTA,Earl BAMBER,Sébastien BOURDAIS,Jenson BUTTON,,Cadillac V-Series.R,M,HYPERCAR,H,,Classified,201,6:00'38.623,1 Laps,1 Laps,2,1'31.006,180.5,,
14,36,Alpine Endurance Team,Jules GOUNON,Frédéric MAKOWIECKI,Mick SCHUMACHER,,Alpine A424,M,HYPERCAR,H,,Classified,201,6:01'29.019,1 Laps,50.396,140,1'31.085,180.3,,
15,51,Ferrari AF Corse,Alessandro PIER GUIDI,James CALADO,Antonio GIOVINAZZI,,Ferrari 499P,M,HYPERCAR,H,,Classified,201,6:02'34.297,1 Laps,1'05.278,3,1'31.023,180.5,,
16,8,Toyota Gazoo Racing,Sébastien BUEMI,Brendon HARTLEY,Ryo HIRAKAWA,,Toyota GR010 - Hybrid,M,HYPERCAR,H,,Classified,200,6:01'31.851,2 Laps,1 Laps,4,1'31.483,179.6,,
17,81,TF Sport,Tom VAN ROMPUY,Rui ANDRADE,Charlie EASTWOOD,,Corvette Z06 LMGT3.R,G,LMGT3,,,Classified,185,6:02'03.218,17 Laps,15 Laps,78,1'41.551,161.8,,
18,21,Vista AF Corse,François HERIAU,Simon MANN,Alessio ROVERA,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,185,6:02'06.228,17 Laps,3.010,120,1'41.167,162.4,,
19,31,The Bend Team WRT,Yasser SHAHIN,Timur BOGUSLAVSKIY,Augusto FARFUS,,BMW M4 LMGT3,G,LMGT3,,,Classified,185,6:02'08.106,17 Laps,1.878,151,1'41.442,161.9,,
