NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
007,1,1,1:57.061,0,,37.455,0,43.579,0,36.027,0,158.8,1:57.061,14:02:30.975,0:37.455,0:43.579,0:36.027,,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,37.455,43.579,36.027,
007,1,2,1:54.036,0,,35.984,0,42.690,0,35.362,0,170.9,3:51.097,14:04:25.011,0:35.984,0:42.690,0:35.362,245.2,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,35.984,42.690,35.362,
007,1,3,1:53.211,0,,35.662,0,42.144,0,35.405,0,172.1,5:44.308,14:06:18.222,0:35.662,0:42.144,0:35.405,264.9,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,35.662,42.144,35.405,
007,1,4,1:53.269,0,,36.056,0,42.007,0,35.206,0,172.0,7:37.577,14:08:11.491,0:36.056,0:42.007,0:35.206,243.5,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.056,42.007,35.206,
007,1,5,1:53.548,0,,35.850,0,42.377,0,35.321,0,171.6,9:31.125,14:10:05.039,0:35.850,0:42.377,0:35.321,256.8,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,35.850,42.377,35.321,
007,1,6,1:53.485,0,,35.862,0,42.104,0,35.519,0,171.7,11:24.610,14:11:58.524,0:35.862,0:42.104,0:35.519,253.2,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,35.862,42.104,35.519,
007,1,7,1:53.722,0,,36.119,0,42.337,0,35.266,0,171.3,13:18.332,14:13:52.246,0:36.119,0:42.337,0:35.266,248.0,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.119,42.337,35.266,
007,1,8,1:53.717,0,,35.956,0,42.429,0,35.332,0,171.3,15:12.049,14:15:45.963,0:35.956,0:42.429,0:35.332,255.0,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,35.956,42.429,35.332,
007,1,9,1:55.910,0,,36.421,0,43.455,0,36.034,0,168.1,17:07.959,14:17:41.873,0:36.421,0:43.455,0:36.034,270.2,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.421,43.455,36.034,
007,1,10,1:55.282,0,,36.359,0,43.035,0,35.888,0,169.0,19:03.241,14:19:37.155,0:36.359,0:43.035,0:35.888,247.4,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.359,43.035,35.888,
007,1,11,1:57.480,0,,37.414,0,43.463,0,36.603,0,165.8,21:00.721,14:21:34.635,0:37.414,0:43.463,0:36.603,230.6,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,37.414,43.463,36.603,
007,1,12,1:54.712,0,,36.262,0,42.762,0,35.688,0,169.8,22:55.433,14:23:29.347,0:36.262,0:42.762,0:35.688,250.8,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.262,42.762,35.688,
007,1,13,1:55.072,0,,36.369,0,43.018,0,35.685,0,169.3,24:50.505,14:25:24.419,0:36.369,0:43.018,0:35.685,255.6,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.369,43.018,35.685,
007,1,14,1:54.389,0,,36.107,0,42.605,0,35.677,0,170.3,26:44.894,14:27:18.808,0:36.107,0:42.605,0:35.677,253.2,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.107,42.605,35.677,
007,1,15,1:54.079,0,,36.066,0,42.442,0,35.571,0,170.8,28:38.973,14:29:12.887,0:36.066,0:42.442,0:35.571,263.0,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.066,42.442,35.571,
007,1,16,1:53.749,0,,36.071,0,42.425,0,35.253,0,171.3,30:32.722,14:31:06.636,0:36.071,0:42.425,0:35.253,258.6,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.071,42.425,35.253,
007,1,17,1:53.812,0,,36.015,0,42.379,0,35.418,0,171.2,32:26.534,14:33:00.448,0:36.015,0:42.379,0:35.418,264.3,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.015,42.379,35.418,
007,1,18,1:54.415,0,,36.070,0,42.711,0,35.634,0,170.3,34:20.949,14:34:54.863,0:36.070,0:42.711,0:35.634,269.6,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.070,42.711,35.634,
007,1,19,1:56.706,0,,36.842,0,44.002,0,35.862,0,166.9,36:17.655,14:36:51.569,0:36.842,0:44.002,0:35.862,258.0,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.842,44.002,35.862,
007,1,20,1:56.577,0,,36.361,0,43.126,0,37.090,0,167.1,38:14.232,14:38:48.146,0:36.361,0:43.126,0:37.090,259.9,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.361,43.126,37.090,
007,1,21,1:55.454,0,,36.607,0,42.750,0,36.097,0,168.8,40:09.686,14:40:43.600,0:36.607,0:42.750,0:36.097,246.3,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.607,42.750,36.097,
007,1,22,1:54.641,0,,36.442,0,42.694,0,35.505,0,169.9,42:04.327,14:42:38.241,0:36.442,0:42.694,0:35.505,270.9,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.442,42.694,35.505,
007,1,23,1:53.800,0,,35.836,0,42.468,0,35.496,0,171.2,43:58.127,14:44:32.041,0:35.836,0:42.468,0:35.496,272.3,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,35.836,42.468,35.496,
007,1,24,1:53.698,0,,35.947,0,42.413,0,35.338,0,171.4,45:51.825,14:46:25.739,0:35.947,0:42.413,0:35.338,273.6,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,35.947,42.413,35.338,
007,1,25,1:54.690,0,,36.429,0,42.586,0,35.675,0,169.9,47:46.515,14:48:20.429,0:36.429,0:42.586,0:35.675,278.6,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.429,42.586,35.675,
007,1,26,1:54.380,0,,36.071,0,42.654,0,35.655,0,170.3,49:40.895,14:50:14.809,0:36.071,0:42.654,0:35.655,266.9,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.071,42.654,35.655,
007,1,27,1:54.504,0,,36.104,0,42.754,0,35.646,0,170.2,51:35.399,14:52:09.313,0:36.104,0:42.754,0:35.646,260.5,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.104,42.754,35.646,
007,1,28,1:57.762,0,,36.206,0,43.402,0,38.154,0,165.4,53:33.161,14:54:07.075,0:36.206,0:43.402,0:38.154,265.6,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.206,43.402,38.154,
007,1,29,1:54.933,0,,36.201,0,42.845,0,35.887,0,169.5,55:28.094,14:56:02.008,0:36.201,0:42.845,0:35.887,263.0,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.201,42.845,35.887,
007,1,30,1:59.192,0,B,36.135,0,42.832,0,40.225,0,163.5,57:27.286,14:58:01.200,0:36.135,0:42.832,0:40.225,261.1,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.135,42.832,40.225,
007,1,31,3:23.218,0,,2:01.745,0,45.224,0,36.249,0,95.9,1:00:50.504,15:01:24.418,2:01.745,0:45.224,0:36.249,140.2,Harry TINCKNELL,0:01:22.766,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,121.745,45.224,36.249,
007,1,32,1:54.827,0,,36.108,0,43.029,0,35.690,0,169.7,1:02:45.331,15:03:19.245,0:36.108,0:43.029,0:35.690,253.8,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.108,43.029,35.690,
007,1,33,1:54.829,0,,35.779,0,42.942,0,36.108,0,169.7,1:04:40.160,15:05:14.074,0:35.779,0:42.942,0:36.108,270.2,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,35.779,42.942,36.108,
007,1,34,1:54.390,0,,35.918,0,43.030,0,35.442,0,170.3,1:06:34.550,15:07:08.464,0:35.918,0:43.030,0:35.442,264.3,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,35.918,43.030,35.442,
007,1,35,1:54.010,0,,35.911,0,42.769,0,35.330,0,170.9,1:08:28.560,15:09:02.474,0:35.911,0:42.769,0:35.330,267.6,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,35.911,42.769,35.330,
007,1,36,1:53.605,0,,36.005,0,42.305,0,35.295,0,171.5,1:10:22.165,15:10:56.079,0:36.005,0:42.305,0:35.295,264.3,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.005,42.305,35.295,
007,1,37,1:53.457,0,,36.012,0,42.224,0,35.221,0,171.7,1:12:15.622,15:12:49.536,0:36.012,0:42.224,0:35.221,262.4,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.012,42.224,35.221,
007,1,38,1:53.895,0,,35.992,0,42.530,0,35.373,0,171.1,1:14:09.517,15:14:43.431,0:35.992,0:42.530,0:35.373,260.5,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,35.992,42.530,35.373,
007,1,39,1:55.765,0,,36.059,0,43.273,0,36.433,0,168.3,1:16:05.282,15:16:39.196,0:36.059,0:43.273,0:36.433,256.2,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.059,43.273,36.433,
007,1,40,1:56.259,0,,36.655,0,43.774,0,35.830,0,167.6,1:18:01.541,15:18:35.455,0:36.655,0:43.774,0:35.830,257.4,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.655,43.774,35.830,
007,1,41,1:55.437,0,,36.590,0,43.092,0,35.755,0,168.8,1:19:56.978,15:20:30.892,0:36.590,0:43.092,0:35.755,259.9,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.590,43.092,35.755,
007,1,42,1:54.589,0,,36.264,0,42.599,0,35.726,0,170.0,1:21:51.567,15:22:25.481,0:36.264,0:42.599,0:35.726,261.1,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.264,42.599,35.726,
007,1,43,1:55.773,0,,36.725,0,43.236,0,35.812,0,168.3,1:23:47.340,15:24:21.254,0:36.725,0:43.236,0:35.812,250.3,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.725,43.236,35.812,
007,1,44,1:53.822,0,,35.971,0,42.441,0,35.410,0,171.2,1:25:41.162,15:26:15.076,0:35.971,0:42.441,0:35.410,263.0,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,35.971,42.441,35.410,
007,1,45,1:54.589,0,,36.000,0,42.741,0,35.848,0,170.0,1:27:35.751,15:28:09.665,0:36.000,0:42.741,0:35.848,261.1,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.000,42.741,35.848,
