TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,AIR_TEMP_UNIT,TRACK_TEMP_UNIT,PRESSURE_UNIT,WIND_SPEED_UNIT,
1776519014,4/18/2026 1:30:14 PM,77.54,107.78,37,1012.5,5,83,0,ºC,ºC,mbar,KPH,
1776519074,4/18/2026 1:31:14 PM,77.54,107.96,36,1012.5,5,57,0,ºC,ºC,mbar,KPH,
1776519139,4/18/2026 1:32:19 PM,77.54,107.96,36,1012.5,4,89,0,ºC,ºC,mbar,KPH,
1776519199,4/18/2026 1:33:19 PM,77.18,107.96,37,1012.5,6,87,0,ºC,ºC,mbar,KPH,
1776519264,4/18/2026 1:34:24 PM,76.46,107.96,37,1012.6,13,80,0,ºC,ºC,mbar,KPH,
1776519324,4/18/2026 1:35:24 PM,77.18,107.96,37,1012.4,11,83,0,ºC,ºC,mbar,KPH,
1776519389,4/18/2026 1:36:29 PM,76.28,107.96,37,1012.5,12,89,0,ºC,ºC,mbar,KPH,
1776519454,4/18/2026 1:37:34 PM,77.18,107.78,38,1012.5,8,88,0,ºC,ºC,mbar,KPH,
1776519519,4/18/2026 1:38:39 PM,77.18,107.78,36,1012.4,10,90,0,ºC,ºC,mbar,KPH,
1776519579,4/18/2026 1:39:39 PM,76.64,107.78,37,1012.5,10,75,0,ºC,ºC,mbar,KPH,
