NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
13,1,1,2:42.122,0,,49.749,0,1:12.803,0,39.570,0,152.8,2:42.122,09:32:01.129,0:49.749,1:12.803,0:39.570,230.1,Prof. Wolfgang Henseler,,LMGTE,,Komo-TeC GmbH,,GF,49.749,72.803,39.570,
13,1,2,2:32.807,0,,43.216,0,1:10.349,0,39.242,0,165.0,5:14.929,09:34:33.936,0:43.216,1:10.349,0:39.242,233.5,Prof. Wolfgang Henseler,,LMGTE,,Komo-TeC GmbH,,GF,43.216,70.349,39.242,
13,1,3,2:30.844,0,,43.034,0,1:09.347,0,38.463,0,167.2,7:45.773,09:37:04.780,0:43.034,1:09.347,0:38.463,246.3,Prof. Wolfgang Henseler,,LMGTE,,Komo-TeC GmbH,,GF,43.034,69.347,38.463,
13,1,4,2:30.327,0,,42.593,0,1:09.230,0,38.504,0,167.7,10:16.100,09:39:35.107,0:42.593,1:09.230,0:38.504,246.3,Prof. Wolfgang Henseler,,LMGTE,,Komo-TeC GmbH,,GF,42.593,69.230,38.504,
13,1,5,2:29.834,0,,42.650,0,1:08.704,2,38.480,0,168.3,12:45.934,09:42:04.941,0:42.650,1:08.704,0:38.480,245.2,Prof. Wolfgang Henseler,,LMGTE,,Komo-TeC GmbH,,GF,42.650,68.704,38.480,
13,1,6,2:32.472,0,,42.919,0,1:11.036,0,38.517,0,165.4,15:18.406,09:44:37.413,0:42.919,1:11.036,0:38.517,244.6,Prof. Wolfgang Henseler,,LMGTE,,Komo-TeC GmbH,,GF,42.919,71.036,38.517,
13,1,7,2:32.691,0,,42.791,0,1:10.546,0,39.354,0,165.1,17:51.097,09:47:10.104,0:42.791,1:10.546,0:39.354,243.5,Prof. Wolfgang Henseler,,LMGTE,,Komo-TeC GmbH,,GF,42.791,70.546,39.354,
13,1,8,2:33.664,0,,43.258,0,1:11.305,0,39.101,0,164.1,20:24.761,09:49:43.768,0:43.258,1:11.305,0:39.101,243.0,Prof. Wolfgang Henseler,,LMGTE,,Komo-TeC GmbH,,GF,43.258,71.305,39.101,
13,1,9,2:34.201,0,,42.784,0,1:10.293,0,41.124,0,163.5,22:58.962,09:52:17.969,0:42.784,1:10.293,0:41.124,242.4,Prof. Wolfgang Henseler,,LMGTE,,Komo-TeC GmbH,,GF,42.784,70.293,41.124,
13,1,10,2:33.850,0,,45.920,0,1:09.124,0,38.806,0,163.9,25:32.812,09:54:51.819,0:45.920,1:09.124,0:38.806,243.0,Prof. Wolfgang Henseler,,LMGTE,,Komo-TeC GmbH,,GF,45.920,69.124,38.806,
13,1,11,2:30.387,0,,42.929,0,1:08.775,0,38.683,0,167.7,28:03.199,09:57:22.206,0:42.929,1:08.775,0:38.683,246.8,Prof. Wolfgang Henseler,,LMGTE,,Komo-TeC GmbH,,GF,42.929,68.775,38.683,
13,1,12,2:30.433,0,,42.377,2,1:09.219,0,38.837,0,167.6,30:33.632,09:59:52.639,0:42.377,1:09.219,0:38.837,245.2,Prof. Wolfgang Henseler,,LMGTE,,Komo-TeC GmbH,,GF,42.377,69.219,38.837,
13,1,13,2:29.690,2,,42.737,0,1:08.920,0,38.033,2,168.4,33:03.322,10:02:22.329,0:42.737,1:08.920,0:38.033,246.8,Prof. Wolfgang Henseler,,LMGTE,,Komo-TeC GmbH,,GF,42.737,68.920,38.033,
13,1,14,2:34.521,0,,46.461,0,1:08.981,0,39.079,0,163.2,35:37.843,10:04:56.850,0:46.461,1:08.981,0:39.079,244.1,Prof. Wolfgang Henseler,,LMGTE,,Komo-TeC GmbH,,GF,46.461,68.981,39.079,
13,1,15,2:33.025,0,,43.213,0,1:10.620,0,39.192,0,164.8,38:10.868,10:07:29.875,0:43.213,1:10.620,0:39.192,246.3,Prof. Wolfgang Henseler,,LMGTE,,Komo-TeC GmbH,,GF,43.213,70.620,39.192,
13,1,16,2:34.415,0,,45.198,0,1:10.240,0,38.977,0,163.3,40:45.283,10:10:04.290,0:45.198,1:10.240,0:38.977,235.6,Prof. Wolfgang Henseler,,LMGTE,,Komo-TeC GmbH,,GF,45.198,70.240,38.977,
13,1,17,2:33.844,0,,43.265,0,1:10.641,0,39.938,0,163.9,43:19.127,10:12:38.134,0:43.265,1:10.641,0:39.938,239.7,Prof. Wolfgang Henseler,,LMGTE,,Komo-TeC GmbH,,FF,43.265,70.641,39.938,
18,1,1,2:41.780,0,,48.990,0,1:13.151,0,39.639,0,153.1,2:41.780,09:32:00.787,0:48.990,1:13.151,0:39.639,215.4,Michael Doppelmayr,,LMP2,,Rinaldi Racing,,GF,48.990,73.151,39.639,
18,1,2,2:32.398,0,,42.399,0,1:10.712,0,39.287,0,165.4,5:14.178,09:34:33.185,0:42.399,1:10.712,0:39.287,218.9,Michael Doppelmayr,,LMP2,,Rinaldi Racing,,GF,42.399,70.712,39.287,
18,1,3,2:32.678,0,,41.696,0,1:10.269,0,40.713,0,165.1,7:46.856,09:37:05.863,0:41.696,1:10.269,0:40.713,236.6,Michael Doppelmayr,,LMP2,,Rinaldi Racing,,GF,41.696,70.269,40.713,
18,1,4,2:47.547,0,B,43.070,0,1:10.819,0,53.658,0,150.5,10:34.403,09:39:53.410,0:43.070,1:10.819,0:53.658,235.1,Michael Doppelmayr,,LMP2,,Rinaldi Racing,,GF,43.070,70.819,53.658,
18,1,5,5:45.058,0,,3:51.833,0,1:12.481,0,40.744,0,73.1,16:19.461,09:45:38.468,3:51.833,1:12.481,0:40.744,204.5,Michael Doppelmayr,0:03:14.976,LMP2,,Rinaldi Racing,,GF,231.833,72.481,40.744,
18,1,6,2:31.567,0,,42.170,0,1:09.598,0,39.799,0,166.4,18:51.028,09:48:10.035,0:42.170,1:09.598,0:39.799,239.7,Michael Doppelmayr,,LMP2,,Rinaldi Racing,,GF,42.170,69.598,39.799,
18,1,7,2:32.202,0,,43.729,0,1:09.195,0,39.278,0,165.7,21:23.230,09:50:42.237,0:43.729,1:09.195,0:39.278,237.1,Michael Doppelmayr,,LMP2,,Rinaldi Racing,,GF,43.729,69.195,39.278,
18,1,8,2:31.178,0,,42.116,0,1:09.837,0,39.225,0,166.8,23:54.408,09:53:13.415,0:42.116,1:09.837,0:39.225,244.6,Michael Doppelmayr,,LMP2,,Rinaldi Racing,,GF,42.116,69.837,39.225,
18,1,9,2:28.827,2,,41.570,0,1:08.197,0,39.060,0,169.4,26:23.235,09:55:42.242,0:41.570,1:08.197,0:39.060,250.3,Michael Doppelmayr,,LMP2,,Rinaldi Racing,,GF,41.570,68.197,39.060,
18,1,10,2:31.588,0,,41.437,0,1:10.673,0,39.478,0,166.3,28:54.823,09:58:13.830,0:41.437,1:10.673,0:39.478,236.1,Michael Doppelmayr,,LMP2,,Rinaldi Racing,,GF,41.437,70.673,39.478,
18,1,11,2:34.022,0,,41.751,0,1:10.877,0,41.394,0,163.7,31:28.845,10:00:47.852,0:41.751,1:10.877,0:41.394,235.1,Michael Doppelmayr,,LMP2,,Rinaldi Racing,,GF,41.751,70.877,41.394,
18,1,12,2:29.837,0,,41.165,2,1:09.489,0,39.183,0,168.3,33:58.682,10:03:17.689,0:41.165,1:09.489,0:39.183,245.7,Michael Doppelmayr,,LMP2,,Rinaldi Racing,,GF,41.165,69.489,39.183,
18,1,13,2:29.432,0,,41.352,0,1:08.549,0,39.531,0,168.7,36:28.114,10:05:47.121,0:41.352,1:08.549,0:39.531,249.7,Michael Doppelmayr,,LMP2,,Rinaldi Racing,,GF,41.352,68.549,39.531,
18,1,14,2:30.818,0,,43.209,0,1:08.751,0,38.858,2,167.2,38:58.932,10:08:17.939,0:43.209,1:08.751,0:38.858,229.6,Michael Doppelmayr,,LMP2,,Rinaldi Racing,,GF,43.209,68.751,38.858,
18,1,15,2:28.881,0,,41.417,0,1:08.186,2,39.278,0,169.4,41:27.813,10:10:46.820,0:41.417,1:08.186,0:39.278,253.2,Michael Doppelmayr,,LMP2,,Rinaldi Racing,,FF,41.417,68.186,39.278,
21,1,1,2:18.674,0,,41.281,0,1:02.946,0,34.447,0,178.7,2:18.674,09:31:37.681,0:41.281,1:02.946,0:34.447,253.2,Jean-Baptiste Lahaye,,INV,,JMB Classic,,GF,41.281,62.946,34.447,
21,1,2,2:13.030,0,,38.079,0,1:01.075,0,33.876,0,189.5,4:31.704,09:33:50.711,0:38.079,1:01.075,0:33.876,269.6,Jean-Baptiste Lahaye,,INV,,JMB Classic,,GF,38.079,61.075,33.876,
21,1,3,2:12.987,0,,37.917,0,1:01.230,0,33.840,0,189.6,6:44.691,09:36:03.698,0:37.917,1:01.230,0:33.840,270.9,Jean-Baptiste Lahaye,,INV,,JMB Classic,,GF,37.917,61.230,33.840,
