POSITION,NUMBER,TEAM,DRIVER_1,DRIVER_2,DRIVER_3,DRIVER_4,VEHICLE,TYRES,CLASS,GROUP,DIVISION,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DRIVER_5,
1,20,BMW M Team WRT,Robin FRIJNS,René RAST,Sheldon VAN DER LINDE,,BMW M Hybrid V8,M,HYPERCAR,,,Classified,54,2:00'37.655,,,52,2'04.391,202.7,,
2,8,Toyota Racing,Sébastien BUEMI,Brendon HARTLEY,Ryo HIRAKAWA,,Toyota TR010 Hybrid,M,HYPERCAR,,,Classified,54,2:00'52.958,15.303,15.303,44,2'05.061,201.6,,
3,12,Cadillac Hertz Team Jota,Will STEVENS,Norman NATO,Louis DELÉTRAZ,,Cadillac V-Series.R,M,HYPERCAR,,,Classified,54,2:01'22.249,44.594,29.291,22,2'04.891,201.9,,
4,35,Alpine Endurance Team,António FÉLIX DA COSTA,Charles MILESI,Ferdinand HABSBURG,,Alpine A424,M,HYPERCAR,,,Classified,54,2:01'27.167,49.512,4.918,22,2'04.948,201.8,,
5,83,AF Corse,Yifei YE,Robert KUBICA,Philip HANSON,,Ferrari 499P,M,HYPERCAR,,,Classified,54,2:01'28.567,50.912,1.400,52,2'04.695,202.2,,
6,94,Peugeot Totalenergies,Loïc DUVAL,Malthe JAKOBSEN,Théo POURCHAIRE,,Peugeot 9X8,M,HYPERCAR,,,Classified,54,2:01'29.261,51.606,0.694,3,2'05.092,201.6,,
7,36,Alpine Endurance Team,Frédéric MAKOWIECKI,Jules GOUNON,Victor MARTINS,,Alpine A424,M,HYPERCAR,,,Classified,54,2:01'29.696,52.041,0.435,22,2'05.146,201.5,,
8,15,BMW M Team WRT,Kevin MAGNUSSEN,Raffaele MARCIELLO,Dries VANTHOOR,,BMW M Hybrid V8,M,HYPERCAR,,,Classified,54,2:01'30.851,53.196,1.155,24,2'05.068,201.6,,
9,51,Ferrari AF Corse,Alessandro PIER GUIDI,James CALADO,Antonio GIOVINAZZI,,Ferrari 499P,M,HYPERCAR,,,Classified,54,2:01'31.239,53.584,0.388,22,2'05.470,201.0,,
10,009,Aston Martin Thor Team,Alex RIBERAS,Marco SØRENSEN,,,Aston Martin Valkyrie,M,HYPERCAR,,,Classified,54,2:01'37.426,59.771,6.187,3,2'05.404,201.1,,
11,007,Aston Martin Thor Team,Harry TINCKNELL,Tom GAMBLE,,,Aston Martin Valkyrie,M,HYPERCAR,,,Classified,54,2:01'38.709,1'01.054,1.283,24,2'04.739,202.1,,
12,93,Peugeot Totalenergies,Paul DI RESTA,Stoffel VANDOORNE,Nick CASSIDY,,Peugeot 9X8,M,HYPERCAR,,,Classified,54,2:01'39.594,1'01.939,0.885,21,2'05.428,201.0,,
13,50,Ferrari AF Corse,Antonio FUOCO,Miguel MOLINA,Nicklas NIELSEN,,Ferrari 499P,M,HYPERCAR,,,Classified,54,2:01'40.009,1'02.354,0.415,3,2'05.267,201.3,,
