NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,SCL2_time,SCL2_elapsed,Z4_time,Z4_elapsed,IP1_time,IP1_elapsed,Z12_time,Z12_elapsed,SCLC_time,SCLC_elapsed,A7-1_time,A7-1_elapsed,IP2_time,IP2_elapsed,A8-1_time,A8-1_elapsed,SCLB_time,SCLB_elapsed,PORIN_time,PORIN_elapsed,POROUT_time,POROUT_elapsed,SCL1_time,SCL1_elapsed,FORDOUT_time,FORDOUT_elapsed,FL_time,FL_elapsed,
007,1,1,4:36.869,0,,1:30.042,0,1:23.937,0,1:42.890,0,175.3,4:36.869,15:34:36.869,1:30.042,1:23.937,1:42.890,323.6,Harry Tincknell,0:00:51.514,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,90.042,83.937,102.890,57.835,57.835,13.854,1:11.689,18.353,1:30.042,35.181,2:05.223,4.692,2:09.915,27.174,2:37.089,16.890,2:53.979,6.784,3:00.763,38.552,3:39.315,16.954,3:56.269,16.994,4:13.263,10.911,4:24.174,9.292,4:33.466,3.403,4:36.869,
007,1,2,3:27.611,0,,32.575,1,1:19.474,1,1:35.562,0,236.3,8:04.480,15:38:04.480,0:32.575,1:19.474,1:35.562,337.6,Harry Tincknell,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.575,79.474,95.562,7.999,7.999,10.105,18.104,14.471,32.575,32.629,1:05.204,4.759,1:09.963,25.433,1:35.396,16.653,1:52.049,6.330,1:58.379,35.774,2:34.153,16.576,2:50.729,15.611,3:06.340,10.973,3:17.313,6.810,3:24.123,3.488,3:27.611,
007,1,3,5:51.858,0,B,32.906,0,1:19.939,0,3:59.013,0,139.4,13:56.338,15:43:56.338,0:32.906,1:19.939,3:59.013,333.5,Harry Tincknell,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.906,79.939,239.013,8.017,8.017,10.108,18.125,14.781,32.906,33.048,1:05.954,4.717,1:10.671,25.452,1:36.123,16.722,1:52.845,6.434,1:59.279,35.990,2:35.269,16.680,2:51.949,15.192,3:07.141,10.262,3:17.403,,,,5:51.858,
007,1,4,9:12.518,0,B,6:09.458,0,1:21.321,0,1:41.739,0,88.8,23:08.856,15:53:08.856,6:09.458,1:21.321,1:41.739,329.5,Harry Tincknell,0:08:04.700,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,369.458,81.321,101.739,5:42.677,5:42.677,11.408,5:54.085,15.373,6:09.458,33.664,6:43.122,4.731,6:47.853,25.943,7:13.796,16.983,7:30.779,6.544,7:37.323,36.467,8:13.790,16.792,8:30.582,15.621,8:46.203,10.365,8:56.568,,,,9:12.518,
007,1,5,9:03.486,0,B,6:01.333,0,1:20.594,0,1:41.559,0,90.3,32:12.342,16:02:12.342,6:01.333,1:20.594,1:41.559,331.5,Harry Tincknell,0:05:38.505,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,361.333,80.594,101.559,5:34.946,5:34.946,11.234,5:46.180,15.153,6:01.333,33.369,6:34.702,4.730,6:39.432,25.604,7:05.036,16.891,7:21.927,6.587,7:28.514,36.104,8:04.618,16.656,8:21.274,15.378,8:36.652,10.568,8:47.220,,,,9:03.486,
007,2,6,5:39.106,0,,2:42.289,0,1:19.918,0,1:36.899,0,144.7,37:51.448,16:07:51.448,2:42.289,1:19.918,1:36.899,335.6,Thomas Gamble,0:02:19.112,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,162.289,79.918,96.899,2:15.395,2:15.395,11.696,2:27.091,15.198,2:42.289,33.008,3:15.297,4.729,3:20.026,25.397,3:45.423,16.784,4:02.207,6.506,4:08.713,36.449,4:45.162,16.751,5:01.913,16.633,5:18.546,10.547,5:29.093,6.522,5:35.615,3.491,5:39.106,
007,2,7,3:28.144,0,,33.073,0,1:19.753,0,1:35.318,0,235.7,41:19.592,16:11:19.592,0:33.073,1:19.753,1:35.318,334.5,Thomas Gamble,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.073,79.753,95.318,8.029,8.029,10.331,18.360,14.713,33.073,32.916,1:05.989,4.721,1:10.710,25.391,1:36.101,16.725,1:52.826,6.534,1:59.360,36.229,2:35.589,16.609,2:52.198,15.440,3:07.638,10.317,3:17.955,6.676,3:24.631,3.513,3:28.144,
007,2,8,3:34.111,0,B,33.217,0,1:19.335,1,1:41.559,0,229.1,44:53.703,16:14:53.703,0:33.217,1:19.335,1:41.559,339.7,Thomas Gamble,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.217,79.335,101.559,8.042,8.042,10.271,18.313,14.904,33.217,32.643,1:05.860,4.709,1:10.569,25.233,1:35.802,16.750,1:52.552,6.495,1:59.047,36.156,2:35.203,16.589,2:51.792,15.415,3:07.207,10.310,3:17.517,,,,3:34.111,
007,2,9,4:55.437,0,,1:55.527,0,1:23.109,0,1:36.801,0,166.0,49:49.140,16:19:49.140,1:55.527,1:23.109,1:36.801,325.5,Thomas Gamble,0:01:27.778,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,115.527,83.109,96.801,1:25.121,1:25.121,13.551,1:38.672,16.855,1:55.527,35.142,2:30.669,4.762,2:35.431,26.200,3:01.631,17.005,3:18.636,6.559,3:25.195,37.189,4:02.384,16.867,4:19.251,15.725,4:34.976,10.586,4:45.562,6.463,4:52.025,3.412,4:55.437,
007,2,10,3:28.673,0,,32.576,0,1:19.702,0,1:36.395,0,235.1,53:17.813,16:23:17.813,0:32.576,1:19.702,1:36.395,332.5,Thomas Gamble,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.576,79.702,96.395,8.054,8.054,10.078,18.132,14.444,32.576,32.858,1:05.434,4.689,1:10.123,25.311,1:35.434,16.844,1:52.278,6.462,1:58.740,36.418,2:35.158,16.594,2:51.752,16.535,3:08.287,10.477,3:18.764,6.460,3:25.224,3.449,3:28.673,
007,2,11,5:02.481,0,,32.465,3,1:46.571,0,2:43.445,0,162.2,58:20.294,16:28:20.294,0:32.465,1:46.571,2:43.445,332.5,Thomas Gamble,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.465,106.571,163.445,8.044,8.044,9.918,17.962,14.503,32.465,32.764,1:05.229,4.713,1:09.942,25.276,1:35.218,43.818,2:19.036,10.419,2:29.455,1:32.947,4:02.402,17.422,4:19.824,19.604,4:39.428,12.446,4:51.874,7.163,4:59.037,3.444,5:02.481,
007,2,12,3:26.293,3,,32.547,0,1:19.396,0,1:34.350,2,237.8,1:01:46.587,16:31:46.587,0:32.547,1:19.396,1:34.350,334.5,Thomas Gamble,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.547,79.396,94.350,8.066,8.066,10.034,18.100,14.447,32.547,32.772,1:05.319,4.704,1:10.023,25.246,1:35.269,16.674,1:51.943,6.397,1:58.340,36.059,2:34.399,16.595,2:50.994,15.315,3:06.309,10.339,3:16.648,6.200,3:22.848,3.445,3:26.293,
