TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,AIR_TEMP_UNIT,TRACK_TEMP_UNIT,PRESSURE_UNIT,WIND_SPEED_UNIT,
1781202970,6/11/2026 6:36:10 PM,68.54,84.74,54,1019.8,9,266,0,ºC,ºC,mbar,KPH,
1781203040,6/11/2026 6:37:20 PM,68.72,84.56,54,1019.7,6,252,0,ºC,ºC,mbar,KPH,
1781203110,6/11/2026 6:38:30 PM,68.36,84.38,54,1019.7,11,308,0,ºC,ºC,mbar,KPH,
1781203180,6/11/2026 6:39:40 PM,68.54,84.2,54,1019.7,10,231,0,ºC,ºC,mbar,KPH,
1781203250,6/11/2026 6:40:50 PM,68.54,84.2,54,1019.7,9,340,0,ºC,ºC,mbar,KPH,
1781203320,6/11/2026 6:42:00 PM,68.36,83.84,54,1019.6,13,295,0,ºC,ºC,mbar,KPH,
1781203390,6/11/2026 6:43:10 PM,68.54,83.66,55,1019.7,6,324,0,ºC,ºC,mbar,KPH,
1781203460,6/11/2026 6:44:20 PM,68.72,83.48,55,1019.7,7,251,0,ºC,ºC,mbar,KPH,
1781203540,6/11/2026 6:45:40 PM,68.54,83.48,55,1019.7,10,247,0,ºC,ºC,mbar,KPH,
1781203610,6/11/2026 6:46:50 PM,68.54,83.3,55,1019.7,9,281,0,ºC,ºC,mbar,KPH,
1781203680,6/11/2026 6:48:00 PM,68.36,83.3,55,1019.8,8,239,0,ºC,ºC,mbar,KPH,
1781203750,6/11/2026 6:49:10 PM,68.72,82.76,55,1019.8,4,239,0,ºC,ºC,mbar,KPH,
