NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,SCL2_time,SCL2_elapsed,Z4_time,Z4_elapsed,IP1_time,IP1_elapsed,Z12_time,Z12_elapsed,SCLC_time,SCLC_elapsed,A7-1_time,A7-1_elapsed,IP2_time,IP2_elapsed,A8-1_time,A8-1_elapsed,SCLB_time,SCLB_elapsed,PORIN_time,PORIN_elapsed,POROUT_time,POROUT_elapsed,SCL1_time,SCL1_elapsed,FORDOUT_time,FORDOUT_elapsed,FL_time,FL_elapsed,
007,3,1,4:23.329,0,,1:08.511,0,1:24.705,0,1:50.113,0,184.3,4:23.329,21:09:23.329,1:08.511,1:24.705,1:50.113,262.6,Ross Gunn,0:00:30.790,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,68.511,84.705,110.113,36.690,36.690,13.773,50.463,18.048,1:08.511,35.865,1:44.376,4.799,1:49.175,26.680,2:15.855,17.361,2:33.216,7.144,2:40.360,39.251,3:19.611,18.257,3:37.868,17.620,3:55.488,15.951,4:11.439,8.450,4:19.889,3.440,4:23.329,
007,3,2,3:24.948,0,,32.655,0,1:18.997,0,1:33.296,0,239.3,7:48.277,21:12:48.277,0:32.655,1:18.997,1:33.296,334.5,Ross Gunn,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.655,78.997,93.296,7.998,7.998,10.101,18.099,14.556,32.655,32.612,1:05.267,4.680,1:09.947,25.114,1:35.061,16.591,1:51.652,6.321,1:57.973,35.842,2:33.815,16.602,2:50.417,14.927,3:05.344,10.184,3:15.528,6.001,3:21.529,3.419,3:24.948,
007,3,3,3:33.534,0,B,32.746,0,1:19.318,0,1:41.470,0,229.7,11:21.811,21:16:21.811,0:32.746,1:19.318,1:41.470,335.6,Ross Gunn,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.746,79.318,101.470,8.000,8.000,10.075,18.075,14.671,32.746,32.749,1:05.495,4.677,1:10.172,25.208,1:35.380,16.684,1:52.064,6.337,1:58.401,35.990,2:34.391,16.665,2:51.056,15.064,3:06.120,10.577,3:16.697,,,,3:33.534,
007,3,4,4:28.314,0,,1:30.126,0,1:21.799,0,1:36.389,0,182.8,15:50.125,21:20:50.125,1:30.126,1:21.799,1:36.389,330.5,Ross Gunn,0:01:02.970,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,90.126,81.799,96.389,1:00.416,1:00.416,12.826,1:13.242,16.884,1:30.126,34.315,2:04.441,4.727,2:09.168,25.874,2:35.042,16.883,2:51.925,6.519,2:58.444,37.323,3:35.767,16.798,3:52.565,15.363,4:07.928,10.628,4:18.556,6.409,4:24.965,3.349,4:28.314,
007,3,5,3:24.004,2,,32.228,2,1:18.721,2,1:33.055,2,240.4,19:14.129,21:24:14.129,0:32.228,1:18.721,1:33.055,333.5,Ross Gunn,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.228,78.721,93.055,7.981,7.981,9.849,17.830,14.398,32.228,32.327,1:04.555,4.684,1:09.239,25.071,1:34.310,16.639,1:50.949,6.284,1:57.233,35.894,2:33.127,16.620,2:49.747,14.685,3:04.432,10.121,3:14.553,5.961,3:20.514,3.490,3:24.004,
007,3,6,3:38.507,0,B,32.781,0,1:20.662,0,1:45.064,0,224.5,22:52.636,21:27:52.636,0:32.781,1:20.662,1:45.064,286.1,Ross Gunn,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,FF,32.781,80.662,105.064,8.087,8.087,9.955,18.042,14.739,32.781,33.868,1:06.649,4.669,1:11.318,25.363,1:36.681,16.762,1:53.443,6.350,1:59.793,36.531,2:36.324,16.808,2:53.132,16.726,3:09.858,11.583,3:21.441,,,,3:38.507,
009,2,1,4:21.030,0,,1:07.837,0,1:24.804,0,1:48.389,0,185.9,4:21.030,21:09:21.030,1:07.837,1:24.804,1:48.389,301.2,Marco Sorensen,0:00:29.755,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,67.837,84.804,108.389,35.328,35.328,14.397,49.725,18.112,1:07.837,35.936,1:43.773,4.824,1:48.597,26.628,2:15.225,17.416,2:32.641,6.866,2:39.507,38.639,3:18.146,18.965,3:37.111,17.216,3:54.327,15.098,4:09.425,8.223,4:17.648,3.382,4:21.030,
009,2,2,3:25.640,0,,32.800,0,1:19.232,0,1:33.608,0,238.5,7:46.670,21:12:46.670,0:32.800,1:19.232,1:33.608,333.5,Marco Sorensen,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.800,79.232,93.608,7.982,7.982,10.206,18.188,14.612,32.800,32.628,1:05.428,4.683,1:10.111,25.193,1:35.304,16.728,1:52.032,6.428,1:58.460,36.059,2:34.519,16.652,2:51.171,14.920,3:06.091,10.224,3:16.315,5.939,3:22.254,3.386,3:25.640,
009,2,3,3:33.735,0,B,32.113,2,1:19.328,0,1:42.294,0,229.5,11:20.405,21:16:20.405,0:32.113,1:19.328,1:42.294,334.5,Marco Sorensen,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.113,79.328,102.294,8.014,8.014,9.841,17.855,14.258,32.113,32.548,1:04.661,4.700,1:09.361,25.228,1:34.589,16.852,1:51.441,6.395,1:57.836,36.104,2:33.940,16.707,2:50.647,15.430,3:06.077,10.958,3:17.035,,,,3:33.735,
009,2,4,4:26.718,0,,1:28.787,0,1:22.138,0,1:35.793,0,183.9,15:47.123,21:20:47.123,1:28.787,1:22.138,1:35.793,327.5,Marco Sorensen,0:01:01.497,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,88.787,82.138,95.793,58.727,58.727,13.218,1:11.945,16.842,1:28.787,34.486,2:03.273,4.743,2:08.016,25.804,2:33.820,17.105,2:50.925,6.615,2:57.540,37.325,3:34.865,16.883,3:51.748,15.217,4:06.965,10.339,4:17.304,6.085,4:23.389,3.329,4:26.718,
