series_code,year,event,event_date,driver,car,class,team,chassis,manufacturer,license,license_rank,country,laps,drive_time_minutes,best_lap,avg_lap,avg_q1,avg_q12,lap_stddev,q1_laps,q2_laps,q3_laps,q4_laps,q1_pct,stint_count
elms,2021,Barcelona,2021-04-18 11:00:00,andrea dromedari,11,LMP3,Eurointernational,Ligier JS P320 - Nissan,Ligier,Bronze,0,ITA,62,115.99,106.852,112.253,NULL,NULL,18.384,0,0,0,0,NULL,2
elms,2021,Barcelona,2021-04-18 11:00:00,mateusz kaprzyk,11,LMP3,Eurointernational,Ligier JS P320 - Nissan,Ligier,Silver,0,POL,69,125.66,102.440,109.271,NULL,NULL,16.085,0,0,0,0,NULL,3
elms,2021,Barcelona,2021-04-18 11:00:00,david hauser,12,LMP3,Racing Experience,Duqueine M30 - D08 - Nissan,Duqueine,Silver,0,LUX,37,95.97,104.019,155.624,NULL,NULL,303.654,0,0,0,0,NULL,2
elms,2021,Barcelona,2021-04-18 11:00:00,gary hauser,12,LMP3,Racing Experience,Duqueine M30 - D08 - Nissan,Duqueine,Silver,0,LUX,36,65.12,104.121,108.53,NULL,NULL,17.337,0,0,0,0,NULL,3
elms,2021,Barcelona,2021-04-18 11:00:00,tom cloet,12,LMP3,Racing Experience,Duqueine M30 - D08 - Nissan,Duqueine,Bronze,0,BEL,42,79.55,104.828,113.642,NULL,NULL,19.574,0,0,0,0,NULL,4
elms,2021,Barcelona,2021-04-18 11:00:00,julien falchero,13,LMP3,Inter Europol Competition,Ligier JS P320 - Nissan,Ligier,Silver,0,FRA,31,56.75,103.641,109.831,NULL,NULL,19.747,0,0,0,0,NULL,2
elms,2021,Barcelona,2021-04-18 11:00:00,martin hippe,13,LMP3,Inter Europol Competition,Ligier JS P320 - Nissan,Ligier,Bronze,0,DEU,68,123.32,103.744,108.815,NULL,NULL,12.383,0,0,0,0,NULL,1
elms,2021,Barcelona,2021-04-18 11:00:00,ugo de wilde,13,LMP3,Inter Europol Competition,Ligier JS P320 - Nissan,Ligier,Gold,0,BEL,34,61.33,102.359,108.237,NULL,NULL,18.746,0,0,0,0,NULL,3
elms,2021,Barcelona,2021-04-18 11:00:00,alessandro bracalente,14,LMP3,Inter Europol Competition,Ligier JS P320 - Nissan,Ligier,Silver,0,ITA,31,57.71,104.303,111.696,NULL,NULL,30.929,0,0,0,0,NULL,3
elms,2021,Barcelona,2021-04-18 11:00:00,julius adomavicius,14,LMP3,Inter Europol Competition,Ligier JS P320 - Nissan,Ligier,Silver,0,LTU,31,56.46,104.677,109.279,NULL,NULL,19.063,0,0,0,0,NULL,2
elms,2021,Barcelona,2021-04-18 11:00:00,mattia pasini,14,LMP3,Inter Europol Competition,Ligier JS P320 - Nissan,Ligier,Bronze,0,ITA,70,126.6,103.548,108.515,NULL,NULL,12.738,0,0,0,0,NULL,1
elms,2021,Barcelona,2021-04-18 11:00:00,alex kapadia,15,LMP3,RLR MSport,Ligier JS P320 - Nissan,Ligier,Silver,0,GBR,36,64.7,103.402,107.837,NULL,NULL,17.545,0,0,0,0,NULL,2
elms,2021,Barcelona,2021-04-18 11:00:00,malthe jakobsen,15,LMP3,RLR MSport,Ligier JS P320 - Nissan,Ligier,Gold,0,DNK,34,60.98,103.732,107.608,NULL,NULL,17.65,0,0,0,0,NULL,3
elms,2021,Barcelona,2021-04-18 11:00:00,michael benham,15,LMP3,RLR MSport,Ligier JS P320 - Nissan,Ligier,Bronze,0,GBR,63,115.21,103.216,109.724,NULL,NULL,16.117,0,0,0,0,NULL,1
elms,2021,Barcelona,2021-04-18 11:00:00,dwight merriman,17,LMP2,IDEC Sport,Oreca 07 - Gibson,ORECA,Bronze,0,USA,29,51.85,99.847,107.285,NULL,NULL,16.256,0,0,0,0,NULL,1
elms,2021,Barcelona,2021-04-18 11:00:00,kyle tilley,17,LMP2,IDEC Sport,Oreca 07 - Gibson,ORECA,Silver,0,GBR,52,90.64,99.189,104.58,NULL,NULL,18.229,0,0,0,0,NULL,3
elms,2021,Barcelona,2021-04-18 11:00:00,ryan dalziel,17,LMP2,IDEC Sport,Oreca 07 - Gibson,ORECA,Gold,0,GBR,58,99.5,97.750,102.933,NULL,NULL,14.206,0,0,0,0,NULL,2
elms,2021,Barcelona,2021-04-18 11:00:00,alessandro bressan,18,LMP3,1 AIM Villorba Corse,Ligier JS P320 - Nissan,Ligier,Silver,0,ITA,35,63.27,102.704,108.464,NULL,NULL,14.409,0,0,0,0,NULL,1
elms,2021,Barcelona,2021-04-18 11:00:00,andreas laskaratos,18,LMP3,1 AIM Villorba Corse,Ligier JS P320 - Nissan,Ligier,Bronze,0,GRC,63,115.05,104.645,109.572,NULL,NULL,15.68,0,0,0,0,NULL,2
elms,2021,Barcelona,2021-04-18 11:00:00,damiano fioravanti,18,LMP3,1 AIM Villorba Corse,Ligier JS P320 - Nissan,Ligier,Silver,0,ITA,35,63.1,104.210,108.169,NULL,NULL,16.918,0,0,0,0,NULL,3
elms,2021,Barcelona,2021-04-18 11:00:00,matthew bell,19,LMP3,COOL Racing,Ligier JS P320 - Nissan,Ligier,Gold,0,GBR,30,54.6,104.634,109.2,NULL,NULL,18.275,0,0,0,0,NULL,3
elms,2021,Barcelona,2021-04-18 11:00:00,nicolas maulini,19,LMP3,COOL Racing,Ligier JS P320 - Nissan,Ligier,Silver,0,CHE,69,124.91,102.925,108.614,NULL,NULL,13.242,0,0,0,0,NULL,1
elms,2021,Barcelona,2021-04-18 11:00:00,niklas kruetten,19,LMP3,COOL Racing,Ligier JS P320 - Nissan,Ligier,Silver,0,DEU,34,61.35,104.018,108.258,NULL,NULL,17.571,0,0,0,0,NULL,2
elms,2021,Barcelona,2021-04-18 11:00:00,edouard cauhaupe,2,LMP3,United Autosports,Ligier JS P320 - Nissan,Ligier,Silver,0,FRA,31,55.79,103.212,107.986,NULL,NULL,18.146,0,0,0,0,NULL,2
elms,2021,Barcelona,2021-04-18 11:00:00,robert wheldon,2,LMP3,United Autosports,Ligier JS P320 - Nissan,Ligier,Bronze,0,GBR,63,129.59,102.419,123.422,NULL,NULL,129.899,0,0,0,0,NULL,1
elms,2021,Barcelona,2021-04-18 11:00:00,wayne boyd,2,LMP3,United Autosports,Ligier JS P320 - Nissan,Ligier,Gold,0,GBR,31,55.42,103.318,107.269,NULL,NULL,15.576,0,0,0,0,NULL,3
elms,2021,Barcelona,2021-04-18 11:00:00,charles crews,20,LMP3,Team Virage,Ligier JS P320 - Nissan,Ligier,Bronze,0,USA,31,56.43,104.911,109.225,NULL,NULL,18.286,0,0,0,0,NULL,3
