POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,96,Classified,10,40:49.314,-,-,9,2:19.449,139.9,,QTCC,,2000,Honda S2000,,,,,,,,,,2002,,ABDULLA,ALI ALKHELAIFI,,,QAT,AAA,,,,,,
2,5,Classified,10,41:00.050,+10.736,+10.736,10,2:22.672,136.7,,QTCC,,2000,Honda S2000,,,,,,,,,,2002,,IBRAHIM,AL ABDULGHANI,,,QAT,IAA,,,,,,
3,42,Classified,10,41:05.749,+16.435,+5.699,3,2:22.904,136.5,,QTCC,,2000,Honda CIVIC,,,,,,,,,,1997,,AHMED,ALASIRI,,,QAT,ALA,,,,,,
4,89,Classified,10,41:16.906,+27.592,+11.157,8,2:28.528,131.3,,QTCC,,2000,Acura RSX Type S,,,,,,,,,,2006,,ALI,EMADADHI,,,QAT,EMA,,,,,,
5,23,Classified,10,41:18.547,+29.233,+1.641,10,2:25.246,134.3,,QTCC,,2000,Toyota GT 86,,,,,,,,,,2014,,IBRAHIM,AL-MANNAI,,,QAT,IAM,,,,,,
6,92,Classified,10,41:23.403,+34.089,+4.856,10,2:28.681,131.2,,QTCC,,2000,Honda CIVIC,,,,,,,,,,2008,,ABDULAZIZ,AL-SAYED,,,QAT,AAS,,,,,,
7,11,Classified,10,41:31.265,+41.951,+7.862,8,2:33.482,127.1,,QTCC,,2000,Honda CIVIC,,,,,,,,,,2010,,ABDULAZIZ,AL JABRI,,,QAT,AAJ,,,,,,
8,8,Classified,10,41:32.850,+43.536,+1.585,10,2:32.836,127.6,,QTCC,,2000,Toyota GT 86,,,,,,,,,,2004,,YOUSEF,AL-JABRI,,,QAT,YAJ,,,,,,
9,3,Classified,10,41:33.163,+43.849,+0.313,10,2:32.856,127.6,,QTCC,,2000,Toyota GT 86,,,,,,,,,,2006,,SAEED,AL HAJRI,,,QAT,SAH,,,,,,
10,99,Classified,10,43:09.353,+2:20.039,+1:36.190,3,2:39.338,122.4,,QTCC,,1600,Renault Clio RS,,,,,,,,,,2015,,MOHAMMED,EMADADHI,,,QAT,EMA,,,,,,
,77,Not classified,6,16:25.513,,,3,2:30.407,129.7,,QTCC,,2000,Toyota GT 86,,,,,,,,,,2014,,OMRAN,KARAMA,,,PSE,KAR,,,,,,
,1,Not classified,4,9:25.517,,,2,2:20.909,138.4,,QTCC,,2000,Lotus Falis,,,,,,,,,,2002,,GHANIN,AL MADHEED,,,QAT,GAM,,,,,,
,100,Not started,0,,,,0,,,,QTCC,,2000,Honda CIVIC,,,,,,,,,,1997,,MOHAMED,MARZOUQ AL BUAINAIN,,,QAT,MAB,,,,,,
,10,Not started,0,,,,0,,,,QTCC,,2000,Honda CIVIC,,,,,,,,,,1998,,NASSER,SHEGHAIL,,,QAT,SHE,,,,,,
,74,Not started,0,,,,0,,,,QTCC,,2000,Toyota GT 86,,,,,,,,,,2014,,MANSOUR,AL-HAJRI,,,QAT,MAH,,,,,,
,85,Not started,0,,,,0,,,,QTCC,,2000,Toyota GT 86,,,,,,,,,,2014,,MOHD,AL MAHMOUD,,,QAT,MAM,,,,,,
