POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,11,11,1:50.044,-,-,189.5,12,CLRT,Pro,,,,,,,,,,,,,,,Florian,LATORRE,,,FRA,,,,,,,
2,19,9,1:50.056,+0.012,+0.012,189.5,12,Martinet by Alméras,Pro / R,,,,,,,,,,,,,,,Dorian,BOCCOLACCI,,,FRA,,,,,,,
3,99,11,1:50.138,+0.094,+0.082,189.4,13,CLRT,Pro,,,,,,,,,,,,,,,Marvin,KLEIN,,,FRA,,,,,,,
4,1,13,1:50.368,+0.324,+0.230,189.0,13,BWT Lechner Racing,Pro,,,,,,,,,,,,,,,Jean-Baptiste,SIMMENAUER,,,FRA,,,,,,,
5,12,10,1:50.636,+0.592,+0.268,188.5,13,Ombra Racing,Pro,,,,,,,,,,,,,,,Gianmarco,QUARESMINI,,,ITA,,,,,,,
6,22,10,1:50.692,+0.648,+0.056,188.4,13,Martinet by Alméras,Pro / R,,,,,,,,,,,,,,,Alessandro,GHIRETTI,,,FRA,,,,,,,
7,16,11,1:50.807,+0.763,+0.115,188.2,13,Pierre Martinet by Alméras,Pro / R,,,,,,,,,,,,,,,Ugo,GAZIL,,,FRA,,,,,,,
8,74,11,1:50.884,+0.840,+0.077,188.1,12,ABM,Pro,,,,,,,,,,,,,,,Victor,BLUGEON,,,FRA,,,,,,,
9,23,10,1:50.888,+0.844,+0.004,188.1,12,Pierre Martinet by Alméras,Pro,,,,,,,,,,,,,,,Victor,WEYRICH,,,FRA,,,,,,,
10,17,6,1:50.904,+0.860,+0.016,188.0,14,EF Racing,Pro,,,,,,,,,,,,,,,Enrico,FULGENZI,,,ITA,,,,,,,
11,33,14,1:50.913,+0.869,+0.009,188.0,14,MRT by CLRT,Pro,,,,,,,,,,,,,,,Evan,SPENLE,,,FRA,,,,,,,
12,911,11,1:50.972,+0.928,+0.059,187.9,13,Pierre Martinet by Alméras,Pro-Am,,,,,,,,,,,,,,,Christophe,LAPIERRE,,,FRA,,,,,,,
13,55,4,1:51.100,+1.056,+0.128,187.7,12,BWT Lechner Racing,Pro-Am,,,,,,,,,,,,,,,Nicolas,MISSLIN,,,MCO,,,,,,,
14,7,6,1:51.376,+1.332,+0.276,187.2,14,YDEO by Racing Technology,Pro-Am,,,,,,,,,,,,,,,Jérôme,BOULLERY,,,FRA,,,,,,,
15,53,12,1:51.414,+1.370,+0.038,187.2,15,Spark by Racing Technology,Pro / R,,,,,,,,,,,,,,,Arthur,MATHIEU,,,FRA,,,,,,,
16,3,12,1:51.423,+1.379,+0.009,187.2,13,MRT by CLRT,Pro / R,,,,,,,,,,,,,,,Milan,PETELET,,,FRA,,,,,,,
17,59,5,1:51.899,+1.855,+0.476,186.4,14,IMSA Performance,Am,,,,,,,,,,,,,,,Maxence,MAURICE,,,FRA,,,,,,,
18,76,12,1:52.000,+1.956,+0.101,186.2,13,IMSA Performance,Pro-Am,,,,,,,,,,,,,,,Raymond,NARAC,,,FRA,,,,,,,
19,73,12,1:52.112,+2.068,+0.112,186.0,13,ABM,Am,,,,,,,,,,,,,,,Sébastien,DUSSOLLIET,,,FRA,,,,,,,
20,21,5,1:52.231,+2.187,+0.119,185.8,12,Martinet by Alméras,Pro-Am,,,,,,,,,,,,,,,Clément,MATEU,,,FRA,,,,,,,
21,15,9,1:52.557,+2.513,+0.326,185.3,14,MRT by CLRT,Pro-Am,,,,,,,,,,,,,,,Henry,HASSID,,,FRA,,,,,,,
22,77,11,1:52.586,+2.542,+0.029,185.2,14,CLRT,Am,,,,,,,,,,,,,,,Tugdual,RABREAU,,,FRA,,,,,,,
23,44,14,1:52.960,+2.916,+0.374,184.6,14,CLRT,Am,,,,,,,,,,,,,,,Franck,LEHERPEUR,,,FRA,,,,,,,
