POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,44,Classified,10,21:24.536,-,-,4,1:53.072,148.1,PATRICK ROGER AUTOSPORT GP,J,,,,,,,,,,,,,,,Lilou,WADOUX,,,FRA,,,,,,,
2,69,Classified,10,21:25.089,+0.553,+0.553,4,1:53.003,148.2,LSGROUP AUTOSPORT GP,,,,,,,,,,,,,,,,Laurent,HURGON,,,FRA,,,,,,,
3,27,Classified,10,21:25.718,+1.182,+0.629,7,1:52.799,148.5,HERRERO RACING,J,,,,,,,,,,,,,,,Ugo,DE WILDE,,,BEL,,,,,,,
4,1,Classified,10,21:26.759,+2.223,+1.041,2,1:52.936,148.3,AUTOSPORT GP,,,,,,,,,,,,,,,,Jean-Baptiste,MELA,,,FRA,,,,,,,
5,11,Classified,10,21:27.289,+2.753,+0.530,4,1:53.350,147.8,HERRERO RACING,J,,,,,,,,,,,,,,,Corentin,TIERCE,,,FRA,,,,,,,
6,3,Classified,10,21:28.187,+3.651,+0.898,4,1:53.688,147.3,CHAZEL TECHNOLOGIE COURSE,,,,,,,,,,,,,,,,Gosia,RDEST,,,POL,,,,,,,
7,9,Classified,10,21:28.887,+4.351,+0.700,7,1:54.838,145.9,CHAZEL TECHNOLOGIE COURSE,G,,,,,,,,,,,,,,,Philippe,BOURGOIS,,,BEL,,,,,,,
8,63,Classified,10,21:29.842,+5.306,+0.955,5,1:54.850,145.8,HERRERO RACING,G,,,,,,,,,,,,,,,Stéphane,AURIACOMBE,,,FRA,,,,,,,
9,110,Classified,10,21:31.021,+6.485,+1.179,5,1:54.909,145.8,CHAZEL TECHNOLOGIE COURSE,G,VIP,,,,,,,,,,,,,,Philippe,QUETAUD,,,FRA,,,,,,,
10,14,Classified,10,21:31.410,+6.874,+0.389,7,1:54.541,146.2,CHAZEL TECHNOLOGIE COURSE,G,,,,,,,,,,,,,,,Jean-Paul,DOMINICI,,,FRA,,,,,,,
11,41,Classified,10,21:32.561,+8.025,+1.151,7,1:54.343,146.5,RACE CARS CONSULTING,G,,,,,,,,,,,,,,,Anthony,FOURNIER,,,FRA,,,,,,,
12,18,Classified,10,21:33.489,+8.953,+0.928,7,1:55.329,145.2,PATRICK ROGER AUTOSPORT GP,G,,,,,,,,,,,,,,,Pierre,MACCHI,,,FRA,,,,,,,
13,33,Classified,10,21:34.485,+9.949,+0.996,5,1:55.840,144.6,AUTOSPORT GP,G,,,,,,,,,,,,,,,Grégory,ROMANO,,,MCO,,,,,,,
14,8,Classified,10,21:36.775,+12.239,+2.290,4,1:53.298,147.8,AUTOSPORT GP,J,,,,,,,,,,,,,,,Simon,TIRMAN,,,FRA,,,,,,,
15,31,Classified,9,18:19.523,1 Lap,1 Lap,4,1:52.831,148.5,RACE CARS CONSULTING,J,,,,,,,,,,,,,,,Louis,MÉRIC,,,FRA,,,,,,,
16,23,Classified,9,21:43.119,1 Lap,+3:23.596,6,1:55.703,144.8,HERRERO RACING,G,,,,,,,,,,,,,,,Laurent,RICHARD,,,FRA,,,,,,,
17,7,Classified,7,17:28.162,3 Laps,2 Laps,5,1:55.700,144.8,HERRERO RACING,G,,,,,,,,,,,,,,,Franc,ROUXEL,,,FRA,,,,,,,
