POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,69,4,1:52.798,-,-,148.5,14,LSGROUP AUTOSPORT GP,,,,,,,,,,,,,,,,Laurent,HURGON,,,FRA,,,,,,,
2,27,13,1:52.850,+0.052,+0.052,148.4,14,HERRERO RACING,J,,,,,,,,,,,,,,,Ugo,DE WILDE,,,BEL,,,,,,,
3,8,4,1:53.053,+0.255,+0.203,148.2,20,AUTOSPORT GP,J,,,,,,,,,,,,,,,Simon,TIRMAN,,,FRA,,,,,,,
4,31,12,1:53.223,+0.425,+0.170,147.9,20,RACE CARS CONSULTING,J,,,,,,,,,,,,,,,Louis,MÉRIC,,,FRA,,,,,,,
5,44,3,1:53.407,+0.609,+0.184,147.7,19,PATRICK ROGER AUTOSPORT GP,J,,,,,,,,,,,,,,,Lilou,WADOUX,,,FRA,,,,,,,
6,1,11,1:53.501,+0.703,+0.094,147.6,17,AUTOSPORT GP,,,,,,,,,,,,,,,,Jean-Baptiste,MELA,,,FRA,,,,,,,
7,11,5,1:53.587,+0.789,+0.086,147.5,15,HERRERO RACING,J,,,,,,,,,,,,,,,Corentin,TIERCE,,,FRA,,,,,,,
8,63,5,1:54.386,+1.588,+0.799,146.4,20,HERRERO RACING,G,,,,,,,,,,,,,,,Stéphane,AURIACOMBE,,,FRA,,,,,,,
9,3,10,1:54.434,+1.636,+0.048,146.4,17,CHAZEL TECHNOLOGIE COURSE,,,,,,,,,,,,,,,,Gosia,RDEST,,,POL,,,,,,,
10,110,7,1:54.964,+2.166,+0.530,145.7,18,CHAZEL TECHNOLOGIE COURSE,G,VIP,,,,,,,,,,,,,,Philippe,QUETAUD,,,FRA,,,,,,,
11,23,15,1:55.246,+2.448,+0.282,145.3,19,HERRERO RACING,G,,,,,,,,,,,,,,,Laurent,RICHARD,,,FRA,,,,,,,
12,41,10,1:55.248,+2.450,+0.002,145.3,16,RACE CARS CONSULTING,G,,,,,,,,,,,,,,,Anthony,FOURNIER,,,FRA,,,,,,,
13,9,12,1:55.401,+2.603,+0.153,145.2,15,CHAZEL TECHNOLOGIE COURSE,G,,,,,,,,,,,,,,,Philippe,BOURGOIS,,,BEL,,,,,,,
14,18,16,1:55.617,+2.819,+0.216,144.9,20,PATRICK ROGER AUTOSPORT GP,G,,,,,,,,,,,,,,,Pierre,MACCHI,,,FRA,,,,,,,
15,14,16,1:55.644,+2.846,+0.027,144.8,20,CHAZEL TECHNOLOGIE COURSE,G,,,,,,,,,,,,,,,Jean-Paul,DOMINICI,,,FRA,,,,,,,
16,7,16,1:57.218,+4.420,+1.574,142.9,17,HERRERO RACING,G,,,,,,,,,,,,,,,Franc,ROUXEL,,,FRA,,,,,,,
17,33,7,1:57.297,+4.499,+0.079,142.8,19,AUTOSPORT GP,G,,,,,,,,,,,,,,,Grégory,ROMANO,,,MCO,,,,,,,
