POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,17,17,1:32.352,-,-,168.3,17,Parker Revs Motorsport,PRO,,,Parker Revs Motorsport,,,,,,,,,,,,Harry,KING,,,GBR,KIN,,,,,,
2,72,17,1:33.410,+1.058,+1.058,166.4,17,Team GP Elite,PRO,,,Team GP Elite,,,,,,,,,,,,Steven,VAN RHEE,,,NLD,RHE,,,,,,
3,15,21,1:33.439,+1.087,+0.029,166.4,21,NGT Racing,PRO,,,Glenn van Parijs,,,,,,,,,,,,Glenn,VAN PARIJS,,,BEL,PAR,,,,,,
4,2,19,1:33.457,+1.105,+0.018,166.3,19,Team GP Elite,PRO,,,Team GP Elite,,,,,,,,,,,,Ghislain,CORDEEL,,,BEL,COR,,,,,,
5,69,17,1:33.598,+1.246,+0.141,166.1,18,Team GP Elite,PRO,,,Team GP Elite,,,,,,,,,,,,Thierry,VERMEULEN,,,NLD,VER,,,,,,
6,33,16,1:33.699,+1.347,+0.101,165.9,17,PG Motorsport,PRO,,,Felix Neuhofer,,,,,,,,,,,,Felix,NEUHOFER,,,AUS,NEU,,,,,,
7,10,18,1:33.872,+1.520,+0.173,165.6,18,#Team PGZ by JW RaceService,PRO,,,Huub vanEijndhoven,,,,,,,,,,,,Huub,VAN EIJNDHOVEN,,,NLD,EIJ,,,,,,
8,9,17,1:34.111,+1.759,+0.239,165.2,18,#TeamPGZ by Red Ant Racing,PRO,,,Xavier Maassen,,,,,,,,,,,,Xavier,MAASSEN,,,NLD,MAA,,,,,,
9,99,19,1:34.200,+1.848,+0.089,165.0,19,Belgium Racing,PRO,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Dylan,DERDAELE,,,BEL,DER,,,,,,
10,4,18,1:34.234,+1.882,+0.034,165.0,18,Team GP Elite,P/AM,,,Team GP Elite,,,,,,,,,,,,Floris,DULLAART,,,NLD,DUL,,,,,,
11,31,16,1:34.696,+2.344,+0.462,164.2,16,PG Motorsport,PRO,,,AKF-Motorsport e.V.,,,,,,,,,,,,Sebastian,FREYMUTH,,,DEU,FRE,,,,,,
12,54,15,1:34.738,+2.386,+0.042,164.1,15,Q1 Trackracing by EMG Motorsport,AM,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Jan,LAURYSSEN,,,BEL,LAU,,,,,,
13,20,20,1:35.209,+2.857,+0.471,163.3,20,Speedlover,AM,,,Wim Meulders,,,,,,,,,,,,Wim,MEULDERS,,,BEL,MEU,,,,,,
14,3,18,1:36.117,+3.765,+0.908,161.7,18,Team GP Elite,P/AM,,,Team GP Elite,,,,,,,,,,,,Ziad,GERIS,,,NLD,GER,,,,,,
15,53,16,1:37.090,+4.738,+0.973,160.1,18,Q1 Trackracing by EMG Motorsport,P/AM,,,Nicolas Vandierendonck,,,,,,,,,,,,Nicolas,VAN DIERENDONCK,,,BEL,DIE,,,,,,
16,22,18,1:38.209,+5.857,+1.119,158.3,18,DUWO Racing,P/AM,,,DUWO Racing,,,,,,,,,,,,Andrey,MUKOVOZ,,,RUS,MUK,,,,,,
17,55,13,1:39.701,+7.349,+1.492,155.9,15,Q1 Trackracing by EMG Motorsport,P/AM,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Filip,TEUNKENS,,,BEL,TEU,,,,,,
18,21,16,1:39.994,+7.642,+0.293,155.5,18,Speedlover,AM,,,Dominique Bastien,,,,,,,,,,,,Dominique,BASTIEN,,,USA,BAS,,,,,,
19,97,5,1:40.260,+7.908,+0.266,155.0,5,Belgium Racing,P/AM,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Nicolas,SAELENS,,,BEL,SAE,,,,,,
20,11,16,1:40.478,+8.126,+0.218,154.7,16,#Team PGZ by Red Ant Racing,AM,,,Ad Geerts,,,,,,,,,,,,Ad,GEERTS,,,BEL,GEE,,,,,,
