POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,97,Classified,15,24:53.839,-,-,6,1:39.185,165.6,Bionic Jack Racing,,,,Bionic Jack Racing Scholarship FRJ,,,,,,,,,,Bionic Jack Racing Scholarship FRJ,,SOTA,OGAWA,,,,,,,,,,
2,8,Classified,15,24:54.256,+0.417,+0.417,10,1:38.966,166.0,Super License,,,,TGR-DC F111/3,,,,,,,,,,TGR-DC F111/3,,MIKI,KOYAMA,,,,,,,,,,
3,6,Classified,15,25:02.924,+9.085,+8.668,12,1:39.516,165.1,Team LeMans with OIRC,,,,Team LeMans F111/3,,,,,,,,,,Team LeMans F111/3,,,KATAYAMA,,,,,,,,,,
4,11,Classified,15,25:16.820,+22.981,+13.896,9,1:40.521,163.4,Rn-Sports,M,,,Rn-sports F111/3,,,,,,,,,,Rn-sportsF111/3,,,HIROBON,,,,,,,,,,
5,14,Classified,15,25:16.896,+23.057,+0.076,15,1:40.124,164.1,Eagle Sport,M,,,ASCRAY EAGLE SPORT,,,,,,,,,,ASCRAY?EAGLE SPORT,,YUKI,TANAKA,,,,,,,,,,
6,7,Classified,15,25:20.900,+27.061,+4.004,8,1:39.536,165.0,Super License,M,,,A-NeKT F111/3,,,,,,,,,,A-NeKT F111/3,,TAKASHI,HATA,,,,,,,,,,
7,34,Classified,15,25:24.253,+30.414,+3.353,14,1:40.727,163.1,CMS Motor Sports Project,M,,,F111/3,,,,,,,,,,F111/3,,MASARU,MIURA,,,,,,,,,,
8,45,Classified,15,25:30.568,+36.729,+6.315,9,1:40.529,163.4,TOM'S Formula,M,,,PONOS Racing,,,,,,,,,,PONOS Racing,,YORIKATSU,TSUJIKO,,,,,,,,,,
9,29,Classified,15,25:31.655,+37.816,+1.087,11,1:41.029,162.6,Eagle Sport,M,,,RS Idia Eagle F111/3,,,,,,,,,,RS Idia Eagle F111/3,,YASUSHI,IDE,,,,,,,,,,
10,18,Classified,15,25:32.458,+38.619,+0.803,13,1:40.755,163.0,NILZZ Racing,M,,,NILZZ Racing F111/3,,,,,,,,,,NILZZ Racing?F111/3,,,YUKI,,,,,,,,,,
11,23,Classified,15,26:13.045,+1:19.206,+40.587,11,1:41.733,161.5,N-Speed,M,,,S2R Racing,,,,,,,,,,S2R Racing,,,YUGO,,,,,,,,,,
,3,Not classified,2,3:40.654,,,0,,,Sutekina Racing Team,,,,Sutekina Racing,,,,,,,,,,Sutekina Racing,,RIKI,OKUSA,,,,,,,,,,
