POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,15,8,2:36.258,-,-,161.4,13,August by NGT,Pro,,,Porsche 911 GT3 Cup (Type 992),,August by NGT,,,,,,,,,,Glenn,Van Parijs,,,BEL,GVP,,,,,,
2,18,4,2:36.559,+0.301,+0.301,161.1,12,Ombra Racing,Pro,,,Porsche 911 GT3 Cup (Type 992),,OMBRA SRL,,,,,,,,,,Keagan,Masters,,,ZAF,KMA,,,,,,
3,46,11,2:36.754,+0.496,+0.195,160.9,12,Richardson Racing,Pro,,,Porsche 911 GT3 Cup (Type 992),,Richardson Racing,,,,,,,,,,Robert,de Haan,,,NLD,HAA,,,,,,
4,26,7,2:36.807,+0.549,+0.053,160.8,12,Team GP Elite,Pro,,,Porsche 911 GT3 Cup (Type 992),,Team GP Elite,,,,,,,,,,Lucas,Groeneveld,,,NLD,GRO,,,,,,
5,9,7,2:37.400,+1.142,+0.593,160.2,12,Revs Motorsport,Pro,,,Porsche 911 GT3 Cup (Type 992),,Revs Motorsport BV,,,,,,,,,,Rik,Koen,,,NLD,KOE,,,,,,
6,57,5,2:37.661,+1.403,+0.261,159.9,13,Q1 Trackracing,Pro,,,Porsche 911 GT3 Cup (Type 992),,Q1 Trackracing,,,,,,,,,,Dirk,Schouten,,,NLD,DSC,,,,,,
7,87,3,2:37.722,+1.464,+0.061,159.9,12,Huber Racing,Pro,,,Porsche 911 GT3 Cup (Type 992),,Huber Racing,,,,,,,,,,Ariel,Levi,,,ISR,LEV,,,,,,
8,92,7,2:37.988,+1.730,+0.266,159.6,12,August by NGT,Pro,,,Porsche 911 GT3 Cup (Type 992),,August by NGT,,,,,,,,,,Benjamin,Paque,,,BEL,PAQ,,,,,,
9,16,12,2:38.331,+2.073,+0.343,159.2,12,Huber Racing,Pro,,,Porsche 911 GT3 Cup (Type 992),,Huber Racing,,,,,,,,,,Flynt,Schuring,,,NLD,FSC,,,,,,
10,777,10,2:38.344,+2.086,+0.013,159.2,12,RedAnt Racing,Pro,,,Porsche 911 GT3 Cup (Type 992),,Nationale Autoclub Excelsior,,,,,,,,,,Sam,Dejonghe,,,BEL,DEJ,,,,,,
11,7,12,2:38.995,+2.737,+0.651,158.6,13,Speedlover,ProAm,,,Porsche 911 GT3 Cup (Type 992),,Speed Lover,,,,,,,,,,Didier,Glorieux,,,BEL,GLO,,,,,,
12,77,11,2:39.062,+2.804,+0.067,158.5,12,Hans Weijs Motorsport,Pro,,,Porsche 911 GT3 Cup (Type 992),,Paul Meijer,,,,,,,,,,Paul,Meijer,,,NLD,MEI,,,,,,
13,88,6,2:39.349,+3.091,+0.287,158.2,13,Huber Racing,Pro,,,Porsche 911 GT3 Cup (Type 992),,Huber Racing,,,,,,,,,,Horst Felix,Felbermayr,,,AUT,FEL,,,,,,
14,10,12,2:39.492,+3.234,+0.143,158.1,12,Ombra Racing,Pro,,,Porsche 911 GT3 Cup (Type 992),,OMBRA SRL,,,,,,,,,,Pietro,Armanni,,,ITA,ARM,,,,,,
15,5,6,2:39.538,+3.280,+0.046,158.0,12,Richardson Racing,Pro,,,Porsche 911 GT3 Cup (Type 992),,Richardson Racing,,,,,,,,,,Micah,Stanley,,,MCO,STA,,,,,,
16,3,7,2:39.986,+3.728,+0.448,157.6,12,Revs Motorsport,ProAm,,,Porsche 911 GT3 Cup (Type 992),,Revs Motorsport BV,,,,,,,,,,Ryan,Ratcliffe,,,GBR,RAT,,,,,,
17,8,10,2:40.116,+3.858,+0.130,157.5,12,Revs Motorsport,ProAm,,,Porsche 911 GT3 Cup (Type 992),,Revs Motorsport BV,,,,,,,,,,Aaron,Mason,,,GBR,AMA,,,,,,
18,21,12,2:40.419,+4.161,+0.303,157.2,12,Team GP Elite,ProAm,,,Porsche 911 GT3 Cup (Type 992),,Team GP Elite,,,,,,,,,,Sacha,Norden,,,NLD,NOR,,,,,,
19,13,11,2:40.529,+4.271,+0.110,157.1,13,Baporo Motorsport,ProAm,,,Porsche 911 GT3 Cup (Type 992),,Baporo Motorsport CA,,,,,,,,,,Joan,Vinyes,,,AND,VIN,,,,,,
20,56,11,2:40.879,+4.621,+0.350,156.7,12,Q1 Trackracing,Pro,,,Porsche 911 GT3 Cup (Type 992),,Q1 Trackracing,,,,,,,,,,Quentin,Antonel,,,FRA,ANT,,,,,,
21,14,8,2:40.927,+4.669,+0.048,156.7,13,JW Raceservice,Pro,,,Porsche 911 GT3 Cup (Type 992),,JW Raceservice,,,,,,,,,,Lucas,Van Eijndhoven,,,NLD,EIN,,,,,,
