POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,19,15,1:44.462,-,-,160.4,46,Martinet by Alméras,Pro / R,,,,,,,,,,,,,,,Dorian,BOCCOLACCI,S,,FRA,,,,,,,
2,99,24,1:44.656,+0.194,+0.194,160.1,49,CLRT,Pro,,,,,,,,,,,,,,,Marvin,KLEIN,S,,FRA,,,,,,,
3,11,37,1:44.660,+0.198,+0.004,160.0,49,CLRT,Pro,,,,,,,,,,,,,,,Florian,LATORRE,S,,FRA,,,,,,,
4,36,16,1:45.032,+0.570,+0.372,159.5,49,Pierre Martinet by Alméras,Pro,,,,,,,,,,,,,,,Cooper,MURRAY,G,,AUS,,,,,,,
5,22,16,1:45.251,+0.789,+0.219,159.2,44,Martinet by Alméras,Pro / R,,,,,,,,,,,,,,,Alessandro,GHIRETTI,S,,FRA,,,,,,,
6,3,27,1:45.253,+0.791,+0.002,159.1,61,MRT by CLRT,Pro / R,,,,,,,,,,,,,,,Milan,PETELET,S,,FRA,,,,,,,
7,33,57,1:45.577,+1.115,+0.324,158.7,67,MRT by CLRT,Pro,,,,,,,,,,,,,,,Evan,SPENLE,S,,FRA,,,,,,,
8,16,39,1:45.761,+1.299,+0.184,158.4,45,Pierre Martinet by Alméras,Pro / R,,,,,,,,,,,,,,,Ugo,GAZIL,S,,FRA,,,,,,,
9,12,41,1:45.875,+1.413,+0.114,158.2,51,Ombra Racing,Pro,,,,,,,,,,,,,,,Gianmarco,QUARESMINI,S,,ITA,,,,,,,
10,87,28,1:46.144,+1.682,+0.269,157.8,53,BWT Lechner Racing,Pro,,,,,,,,,,,,,,,Richard,WAGNER,S,,DEU,,,,,,,
11,74,21,1:46.285,+1.823,+0.141,157.6,46,ABM,Pro,,,,,,,,,,,,,,,Victor,BLUGEON,S,,FRA,,,,,,,
12,1,56,1:46.288,+1.826,+0.003,157.6,57,BWT Lechner Racing,Pro,,,,,,,,,,,,,,,Jean-Baptiste,SIMMENAUER,S,,FRA,,,,,,,
13,911,23,1:46.320,+1.858,+0.032,157.6,48,Pierre Martinet by Alméras,Pro-Am,,,,,,,,,,,,,,,Christophe,LAPIERRE,S,,FRA,,,,,,,
14,77,38,1:46.406,+1.944,+0.086,157.4,58,CLRT,Am,,,,,,,,,,,,,,,Tugdual,RABREAU,S,,FRA,,,,,,,
15,76,43,1:46.450,+1.988,+0.044,157.4,52,IMSA Performance,Pro-Am,,,,,,,,,,,,,,,Raymond,NARAC,S,,FRA,,,,,,,
16,55,40,1:46.599,+2.137,+0.149,157.1,42,BWT Lechner Racing,Pro-Am,,,,,,,,,,,,,,,Nicolas,MISSLIN,S,,MCO,,,,,,,
17,7,23,1:46.777,+2.315,+0.178,156.9,41,YDEO by Racing Technology,Pro-Am,,,,,,,,,,,,,,,Jérôme,BOULLERY,S,,FRA,,,,,,,
18,53,44,1:46.780,+2.318,+0.003,156.9,49,Spark by Racing Technology,Pro / R,,,,,,,,,,,,,,,Arthur,MATHIEU,S,,FRA,,,,,,,
19,73,51,1:47.209,+2.747,+0.429,156.2,55,ABM,Am,,,,,,,,,,,,,,,Sébastien1,DUSSOLLIET,R,,FRA,,,,,,,
20,59,52,1:47.239,+2.777,+0.030,156.2,58,IMSA Performance,Am,,,,,,,,,,,,,,,Maxence,MAURICE,S,,FRA,,,,,,,
21,44,4,1:47.749,+3.287,+0.510,155.5,60,CLRT,Am,,,,,,,,,,,,,,,Franck,LEHERPEUR,S,,FRA,,,,,,,
22,35,27,1:47.808,+3.346,+0.059,155.4,55,YDEO Compétition,Am,,,,,,,,,,,,,,,Benoit,FRETIN,S,,FRA,,,,,,,
23,135,11,1:49.813,+5.351,+2.005,152.5,14,YDEO Compétition,Pro / R,,,,,,,,,,,,,,,Thomas,FRETIN,S,,FRA,,,,,,,
