POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,8,5,2:05.790,-,-,200.4,7,BBM Sport,LMP1,,,Peugeot 908 HDI FAP 2008,,,,,,,,,,,,Kriton,LENTOUDIS,,,GRE,,,,,,,
2,5,3,2:08.814,+3.024,+3.024,195.7,10,Race Performance,LMP1,,,Lola  B07/18 2007,,,,,,,,,,,,Michel,FREY,,,SUI,,,,,,,
3,4,10,2:09.307,+3.517,+0.493,195.0,11,BBM Sport,LMP1,,,Peugeot 908 HDI FAP 2008,,,,,,,,,,,,Shaun,LYNN,,,GBR,,,,,,,
4,6,4,2:10.262,+4.472,+0.955,193.6,6,BBM Sport,LMP1,,,Peugeot 908 2011,,,,,,,,,,,,Stuart,WILTSHIRE,,,GBR,,,,,,,
5,37,12,2:10.440,+4.650,+0.178,193.3,12,Race Performance,LMP1,,,Lola  B06/10 2007,,,,,,,,,,,,Marcel,AEBI,,,SUI,,,,,,,
6,21,6,2:10.535,+4.745,+0.095,193.2,7,JMB Classic,INV,,,Pescarolo  01 2008,,,,,,,,,,,,Jean-Baptiste,LAHAYE,,,FRA,,,,,,,
7,28,6,2:11.699,+5.909,+1.164,191.5,9,IDEC SPORT,LMP2,,,Ligier  JS P2 2014,,,,,,,,,,,,Alexandre,LEROY,,,FRA,,,,,,,
8,47,8,2:12.655,+6.865,+0.956,190.1,10,JWA Motorsport,LMP2,,,Morgan  Nissan  2012,,,,,,,,,,,,Andy,CUMMINGS,,,GBR,,,,,,,
9,46,9,2:13.610,+7.820,+0.955,188.7,12,Front Row Racing,LMP2,,,Oreca  05 2015,,,,,,,,,,,,Evgeny,KIREEV,,,CYP,,,,,,,
10,41,8,2:14.085,+8.295,+0.475,188.0,12,Greaves Motorsport,LMP2,,,Gibson 015 S 2015,,,,,,,,,,,,David,CHENG,,,USA,,,,,,,
11,33,10,2:16.677,+10.887,+2.592,184.5,12,BBM Sport,INV,,,Lola B11/83 2011,,,,,,,,,,,,Alfie,BRIGGS,,,GBR,,,,,,,
12,35,9,2:17.260,+11.470,+0.583,183.7,9,Rinaldi Racing,LMP2,,,Ligier  JS P2 2014,,,,,,,,,,,,Pierre,EHRET,,,GER,,,,,,,
13,39,10,2:25.016,+19.226,+7.756,173.9,10,WA Motorsport,LMP2,,,Honda HPD ARX 04 2015,,,,,,,,,,,,Mark,DRAIN,,,GBR,,,,,,,
14,18,5,2:25.814,+20.024,+0.798,172.9,10,Rinaldi Racing,LMP2,,,Ligier  JS P2 2014,,,,,,,,,,,,Michael,DOPPELMAYR,,,AUT,,,,,,,
15,25,9,2:27.494,+21.704,+1.680,171.0,12,Fanta Racing Legend by code classic,LMGTE,,,Aston Martin Vantage AMR 2020,,,,,,,,,,,,Franz,WUNDERLICH,,,GER,,,,,,,
16,13,4,2:30.574,+24.784,+3.080,167.5,10,Komo-TeC GmbH,LMGTE,,,Lotus  Evora GTE 2011,,,,,,,,,,,,Prof. Wolfgang,HENSELER,,,GER,,,,,,,
,83,0,,,,,1,JMB Classic,LMP2,,,Porsche  RS Spyder  2008,,,,,,,,,,,,François,PERRODO,,,FRA,,,,,,,
