POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,6,Classified,12,24:58.791,-,-,3,2:03.566,157.7,Pure Rxcing,Pro,,,Porsche 992 GT3 CUP,,,,,,,,,,,,Harry,KING,,,GBR,,,,,,,
2,12,Classified,12,25:09.001,+10.210,+10.210,2,2:04.356,156.7,BWT Junior Racing,Pro,,,Porsche 992 GT3 CUP,,,,,,,,,,,,Harri,JONES,,,AUS,,,,,,,
3,75,Classified,12,25:09.627,+10.836,+0.626,3,2:04.300,156.7,Huber Racing,Pro,,,Porsche 992 GT3 CUP,,,,,,,,,,,,Ariel,LEVI,,,ISR,,,,,,,
4,2,Classified,12,25:21.503,+22.712,+11.876,4,2:05.422,155.3,Team GP Elite,Pro,,,Porsche 992 GT3 CUP,,,,,,,,,,,,Ghislain,CORDEEL,,,BEL,,,,,,,
5,89,Classified,12,25:22.398,+23.607,+0.895,4,2:05.553,155.2,Huber Racing,ProAm,,,Porsche 992 GT3 CUP,,,,,,,,,,,,Bashar,MARDINI,,,CAN,,,,,,,
6,7,Classified,12,25:23.238,+24.447,+0.840,4,2:05.225,155.6,Saudi Racing,Pro,GCC,,Porsche 992 GT3 CUP,,,,,,,,,,,,Bandar,ALESAYI,,,SAU,,,,,,,
7,4,Classified,12,25:24.986,+26.195,+1.748,2,2:05.906,154.7,Huber Racing,ProAm,,,Porsche 992 GT3 CUP,,,,,,,,,,,,Georgi,DONCHEV,,,BGR,,,,,,,
8,27,Classified,12,25:28.480,+29.689,+3.494,4,2:06.192,154.4,Team Bahrain,ProAm,GCC,,Porsche 992 GT3 CUP,,,,,,,,,,,,Salman,AL KHALIFA,,,BHR,KHA,,,,,,
9,10,Classified,12,25:29.185,+30.394,+0.705,3,2:05.704,155.0,DHL Team,Pro,,,Porsche 992 GT3 CUP,,,,,,,,,,,,Florian,JANITS,,,AUT,,,,,,,
10,84,Classified,12,25:30.803,+32.012,+1.618,3,2:05.570,155.2,Team Kuwait,ProAm,GCC,,Porsche 992 GT3 CUP,,,,,,,,,,,,Ahmad,AL-SHEHAB,,,KWT,SHE,,,,,,
11,83,Classified,12,25:31.252,+32.461,+0.449,3,2:06.217,154.4,Huber Racing,ProAm,,,Porsche 992 GT3 CUP,,,,,,,,,,,,Frederick,JERICH,,,AUT,,,,,,,
12,5,Classified,12,25:33.105,+34.314,+1.853,3,2:05.875,154.8,Team GP Elite,ProAm,,,Porsche 992 GT3 CUP,,,,,,,,,,,,Soeren,SPRENG,,,DEU,,,,,,,
13,91,Classified,12,25:33.640,+34.849,+0.535,3,2:06.143,154.5,Pure Rxcing,ProAm,,,Porsche 992 GT3 CUP,,,,,,,,,,,,Alex,MALYKHIN,,,GBR,,,,,,,
14,23,Classified,12,25:36.438,+37.647,+2.798,4,2:06.672,153.8,Saudi Racing,ProAm,GCC,Rookie,Porsche 992 GT3 CUP,,,,,,,,,,,,Khaled,ALAHMADI (R),,,SAU,,,,,,,
15,42,Classified,12,25:45.958,+47.167,+9.520,3,2:07.435,152.9,Team GP Elite,Am,,Rookie,Porsche 992 GT3 CUP,,,,,,,,,,,,Cedric,CHASSANG (R),,,FRA,,,,,,,
16,17,Classified,12,25:46.830,+48.039,+0.872,2,2:07.126,153.3,M3L Team,Am,,,Porsche 992 GT3 CUP,,,,,,,,,,,,Mark,J. THOMAS,,,CAN,THO,,,,,,
17,77,Classified,12,25:51.593,+52.802,+4.763,4,2:07.225,153.1,Saudi Racing,ProAm,GCC,Rookie,Porsche 992 GT3 CUP,,,,,,,,,,,,Khaled,ALZAYED (R),,,SAU,,,,,,,
,3,Not classified,0,,,,0,,,Saudi Racing,ProAm,GCC,Rookie,Porsche 992 GT3 CUP,,,,,,,,,,,,Saud,AL SAUD (R),,,SAU,SAU,,,,,,
,25,Not classified,0,,,,0,,,Team GP Elite,Am,,,Porsche 992 GT3 CUP,,,,,,,,,,,,Jan,DOBBER,,,NLD,,,,,,,
