POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,8,7,1:38.007,-,-,167.6,9,Super License,,,,TGR-DC F111/3,,,,,,,,,,TGR-DC F111/3,,MIKI,KOYAMA,,,,,,,,,,
2,3,7,1:38.034,+0.027,+0.027,167.6,9,Sutekina Racing Team,,,,Sutekina Racing,,,,,,,,,,Sutekina Racing,,RIKI,OKUSA,,,,,,,,,,
3,97,6,1:38.328,+0.321,+0.294,167.1,9,Bionic Jack Racing,,,,Bionic Jack Racing Scholarship FRJ,,,,,,,,,,Bionic Jack Racing Scholarship FRJ,,SOTA,OGAWA,,,,,,,,,,
4,6,7,1:38.559,+0.552,+0.231,166.7,7,Team LeMans with OIRC,,,,Team LeMans F111/3,,,,,,,,,,Team LeMans F111/3,,,KATAYAMA,,,,,,,,,,
5,7,5,1:39.027,+1.020,+0.468,165.9,9,Super License,M,,,A-NeKT F111/3,,,,,,,,,,A-NeKT F111/3,,TAKASHI,HATA,,,,,,,,,,
6,11,5,1:39.114,+1.107,+0.087,165.7,9,Rn-Sports,M,,,Rn-sports F111/3,,,,,,,,,,Rn-sportsF111/3,,,HIROBON,,,,,,,,,,
7,14,6,1:39.794,+1.787,+0.680,164.6,8,Eagle Sport,M,,,ASCRAY EAGLE SPORT,,,,,,,,,,ASCRAY?EAGLE SPORT,,YUKI,TANAKA,,,,,,,,,,
8,34,7,1:39.969,+1.962,+0.175,164.3,8,CMS Motor Sports Project,M,,,F111/3,,,,,,,,,,F111/3,,MASARU,MIURA,,,,,,,,,,
9,29,7,1:40.270,+2.263,+0.301,163.8,9,Eagle Sport,M,,,RS Idia Eagle F111/3,,,,,,,,,,RS Idia Eagle F111/3,,YASUSHI,IDE,,,,,,,,,,
10,18,8,1:41.055,+3.048,+0.785,162.6,9,NILZZ Racing,M,,,NILZZ Racing F111/3,,,,,,,,,,NILZZ Racing?F111/3,,,YUKI,,,,,,,,,,
11,45,6,1:41.063,+3.056,+0.008,162.5,9,TOM'S Formula,M,,,PONOS Racing,,,,,,,,,,PONOS Racing,,YORIKATSU,TSUJIKO,,,,,,,,,,
12,23,8,1:43.251,+5.244,+2.188,159.1,8,N-Speed,M,,,S2R Racing,,,,,,,,,,S2R Racing,,,YUGO,,,,,,,,,,
