POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,99,Classified,12,31:00.782,-,-,8,2:23.398,175.8,Belgium Racing,PRO,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Dylan,DERDAELE,,,BEL,,,,,,,
2,10,Classified,12,31:06.174,+5.392,+5.392,2,2:23.801,175.3,#Team PGZ by JW RaceService,PRO,,,Huub vanEijndhoven,,,,,,,,,,,,Huub,VAN EIJNDHOVEN,,,NLD,VEI,,,,,,
3,31,Classified,12,31:09.670,+8.888,+3.496,8,2:23.984,175.1,PG Motorsport,PRO,,,AKF-Motorsport e.V.,,,,,,,,,,,,Sebastian,FREYMUTH,,,DEU,,,,,,,
4,15,Classified,12,31:15.841,+15.059,+6.171,2,2:24.259,174.8,NGT Racing,PRO,,,Glenn van Parijs,,,,,,,,,,,,Glenn,VAN PARIJS,,,BEL,VPA,,,,,,
5,97,Classified,12,31:21.785,+21.003,+5.944,7,2:24.921,174.0,Belgium Racing,P/AM,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Nicolas,SAELENS,,,BEL,,,,,,,
6,54,Classified,12,31:22.653,+21.871,+0.868,8,2:24.659,174.3,Q1 Trackracing by EMG Motorsport,AM,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Jan,LAURYSSEN,,,BEL,,,,,,,
7,21,Classified,12,31:26.915,+26.133,+4.262,12,2:25.377,173.4,Speedlover,P/AM,,,John de Wilde,,,,,,,,,,,,John,DE WILDE,,,BEL,,,,,,,
8,4,Classified,12,31:28.214,+27.432,+1.299,7,2:26.385,172.2,Team GP Elite,P/AM,,,Floris Dullaart,,,,,,,,,,,,Floris,DULLAART,,,NLD,,,,,,,
9,53,Classified,12,31:34.675,+33.893,+6.461,7,2:26.628,172.0,Q1 Trackracing by EMG Motorsport,P/AM,,,Nicolas Vandierendonck,,,,,,,,,,,,Nicolas,VANDIERENDONCK,,,BEL,VDI,,,,,,
10,33,Classified,12,31:37.266,+36.484,+2.591,2,2:25.840,172.9,PG Motorsport,PRO,,,Felix Neuhofer,,,,,,,,,,,,Felix,NEUHOFER,,,AUS,,,,,,,
11,3,Classified,12,31:39.562,+38.780,+2.296,7,2:25.926,172.8,Team GP Elite,P/AM,,,Ziad Geris,,,,,,,,,,,,Ziad,GERIS,,,NLD,,,,,,,
12,2,Classified,12,31:50.971,+50.189,+11.409,12,2:28.268,170.1,Team GP Elite,PRO,,,Ghislain Cordeel,,,,,,,,,,,,Ghislain,CORDEEL,,,BEL,,,,,,,
13,11,Classified,12,31:54.473,+53.691,+3.502,7,2:29.764,168.4,#Team PGZ by Red Ant Racing,AM,,,Luc Vanderfeesten,,,,,,,,,,,,Luc,VANDERFEESTEN,,,BEL,VDE,,,,,,
14,22,Classified,12,31:58.019,+57.237,+3.546,9,2:29.029,169.2,DUWO Racing,P/AM,,,,,,,,,,,,,,,Andrey,MUKOVOZ,,,RUS,,,,,,,
15,55,Classified,12,32:02.244,+1:01.462,+4.225,2,2:29.118,169.1,Q1 Trackracing by EMG Motorsport,P/AM,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Filip,TEUNKENS,,,BEL,,,,,,,
16,14,Classified,12,32:02.709,+1:01.927,+0.465,7,2:25.727,173.0,NGT Racing,P/AM,,,Nationale Autoclub Excelsior,,,,,,,,,,,,Michaël,COOL,,,BEL,,,,,,,
17,917,Classified,12,33:02.125,+2:01.343,+59.416,6,2:38.361,159.2,Parker Revs Motorsport,AM,,,Parker Revs Motorsport,,,,,,,,,,,,Jeroen,KREEFT,,,NLD,,,,,,,
,72,Not classified,2,4:55.908,,,2,2:24.857,174.1,Team GP Elite,PRO,,,Steven van Rhee,,,,,,,,,,,,Steven,VAN RHEE,,,NLD,VRE,,,,,,
,69,Not classified,2,4:56.197,,,2,2:24.800,174.1,Team GP Elite,PRO,,,Thierry Vermeulen,,,,,,,,,,,,Thierry,VERMEULEN,,,NLD,,,,,,,
